false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.800
         0.000,         0.009,         0.800
         0.001,         0.009,         0.722
         0.001,         0.019,         0.720
         0.003,         0.019,         0.719
         0.003,         0.019,         0.718
         0.003,         0.028,         0.718
         0.004,         0.028,         0.705
         0.004,         0.037,         0.698
         0.004,         0.037,         0.697
         0.004,         0.056,         0.694
         0.004,         0.065,         0.692
         0.005,         0.065,         0.688
         0.005,         0.075,         0.685
         0.006,         0.075,         0.682
         0.006,         0.084,         0.681
         0.007,         0.084,         0.680
         0.007,         0.093,         0.679
         0.007,         0.093,         0.677
         0.007,         0.103,         0.676
         0.008,         0.103,         0.672
         0.008,         0.112,         0.670
         0.009,         0.112,         0.660
         0.009,         0.121,         0.660
         0.010,         0.121,         0.658
         0.010,         0.121,         0.657
         0.011,         0.121,         0.654
         0.011,         0.131,         0.653
         0.011,         0.131,         0.651
         0.011,         0.159,         0.651
         0.012,         0.159,         0.647
         0.012,         0.168,         0.647
         0.013,         0.168,         0.646
         0.013,         0.178,         0.644
         0.013,         0.178,         0.643
         0.013,         0.187,         0.642
         0.014,         0.187,         0.641
         0.014,         0.206,         0.639
         0.014,         0.206,         0.637
         0.014,         0.215,         0.637
         0.015,         0.215,         0.636
         0.015,         0.224,         0.634
         0.015,         0.224,         0.632
         0.015,         0.234,         0.632
         0.015,         0.234,         0.631
         0.015,         0.243,         0.630
         0.016,         0.243,         0.630
         0.016,         0.252,         0.630
         0.016,         0.252,         0.627
         0.016,         0.271,         0.626
         0.019,         0.271,         0.618
         0.019,         0.280,         0.618
         0.020,         0.280,         0.616
         0.020,         0.290,         0.616
         0.021,         0.290,         0.614
         0.021,         0.299,         0.613
         0.024,         0.299,         0.603
         0.024,         0.318,         0.603
         0.027,         0.318,         0.597
         0.027,         0.327,         0.597
         0.027,         0.327,         0.597
         0.027,         0.336,         0.597
         0.028,         0.336,         0.596
         0.028,         0.346,         0.596
         0.031,         0.346,         0.592
         0.031,         0.355,         0.592
         0.031,         0.355,         0.592
         0.031,         0.364,         0.592
         0.033,         0.364,         0.588
         0.033,         0.374,         0.587
         0.034,         0.374,         0.586
         0.034,         0.383,         0.586
         0.036,         0.383,         0.583
         0.036,         0.393,         0.583
         0.037,         0.393,         0.583
         0.037,         0.402,         0.583
         0.037,         0.402,         0.581
         0.037,         0.411,         0.581
         0.040,         0.411,         0.578
         0.040,         0.421,         0.578
         0.040,         0.421,         0.578
         0.041,         0.421,         0.578
         0.041,         0.421,         0.576
         0.041,         0.430,         0.576
         0.042,         0.430,         0.575
         0.042,         0.439,         0.575
         0.043,         0.439,         0.574
         0.043,         0.449,         0.574
         0.047,         0.449,         0.568
         0.047,         0.458,         0.568
         0.052,         0.458,         0.560
         0.052,         0.467,         0.560
         0.059,         0.467,         0.551
         0.059,         0.477,         0.551
         0.060,         0.477,         0.550
         0.060,         0.486,         0.550
         0.062,         0.486,         0.549
         0.062,         0.495,         0.549
         0.064,         0.495,         0.547
         0.064,         0.514,         0.547
         0.064,         0.514,         0.546
         0.064,         0.523,         0.546
         0.066,         0.523,         0.544
         0.066,         0.533,         0.544
         0.066,         0.533,         0.543
         0.066,         0.542,         0.543
         0.080,         0.542,         0.530
         0.080,         0.551,         0.530
         0.093,         0.551,         0.516
         0.093,         0.561,         0.516
         0.094,         0.561,         0.514
         0.094,         0.570,         0.514
         0.096,         0.570,         0.512
         0.096,         0.589,         0.511
         0.103,         0.589,         0.507
         0.103,         0.589,         0.507
         0.107,         0.589,         0.504
         0.107,         0.598,         0.504
         0.111,         0.598,         0.500
         0.111,         0.607,         0.500
         0.111,         0.607,         0.500
         0.111,         0.617,         0.500
         0.118,         0.617,         0.496
         0.118,         0.626,         0.495
         0.125,         0.626,         0.491
         0.125,         0.636,         0.491
         0.132,         0.636,         0.487
         0.132,         0.636,         0.487
         0.134,         0.636,         0.486
         0.134,         0.645,         0.486
         0.147,         0.645,         0.478
         0.148,         0.645,         0.478
         0.152,         0.645,         0.475
         0.152,         0.654,         0.475
         0.158,         0.654,         0.472
         0.158,         0.664,         0.471
         0.160,         0.664,         0.470
         0.160,         0.673,         0.470
         0.163,         0.673,         0.468
         0.163,         0.692,         0.468
         0.164,         0.692,         0.467
         0.164,         0.701,         0.467
         0.173,         0.701,         0.463
         0.173,         0.710,         0.463
         0.173,         0.710,         0.462
         0.173,         0.710,         0.462
         0.177,         0.710,         0.460
         0.177,         0.720,         0.460
         0.180,         0.720,         0.459
         0.180,         0.720,         0.459
         0.182,         0.720,         0.457
         0.182,         0.720,         0.457
         0.184,         0.720,         0.457
         0.184,         0.729,         0.456
         0.187,         0.729,         0.454
         0.188,         0.729,         0.454
         0.196,         0.729,         0.451
         0.196,         0.738,         0.451
         0.201,         0.738,         0.448
         0.201,         0.738,         0.448
         0.201,         0.748,         0.448
         0.203,         0.748,         0.447
         0.203,         0.757,         0.447
         0.203,         0.757,         0.447
         0.203,         0.766,         0.447
         0.209,         0.766,         0.444
         0.209,         0.776,         0.444
         0.236,         0.776,         0.433
         0.236,         0.785,         0.433
         0.241,         0.785,         0.430
         0.241,         0.794,         0.430
         0.242,         0.794,         0.430
         0.242,         0.794,         0.430
         0.251,         0.794,         0.426
         0.252,         0.794,         0.425
         0.254,         0.794,         0.424
         0.254,         0.794,         0.424
         0.255,         0.794,         0.424
         0.255,         0.804,         0.424
         0.258,         0.804,         0.422
         0.258,         0.822,         0.422
         0.267,         0.822,         0.418
         0.267,         0.832,         0.418
         0.268,         0.832,         0.417
         0.268,         0.841,         0.417
         0.282,         0.841,         0.412
         0.282,         0.841,         0.412
         0.289,         0.841,         0.409
         0.289,         0.850,         0.409
         0.299,         0.850,         0.405
         0.299,         0.860,         0.405
         0.321,         0.860,         0.397
         0.321,         0.869,         0.397
         0.334,         0.869,         0.392
         0.335,         0.869,         0.392
         0.335,         0.869,         0.392
         0.336,         0.869,         0.392
         0.350,         0.869,         0.386
         0.350,         0.879,         0.386
         0.351,         0.879,         0.386
         0.351,         0.879,         0.386
         0.361,         0.879,         0.382
