false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         2.000
         0.000,         0.242,         1.000
         0.000,         0.244,         0.761
         0.001,         0.244,         0.702
         0.001,         0.247,         0.687
         0.001,         0.247,         0.685
         0.001,         0.249,         0.676
         0.001,         0.249,         0.663
         0.001,         0.252,         0.662
         0.002,         0.252,         0.657
         0.002,         0.254,         0.657
         0.002,         0.254,         0.653
         0.002,         0.262,         0.650
         0.002,         0.262,         0.649
         0.002,         0.264,         0.649
         0.003,         0.264,         0.639
         0.003,         0.267,         0.639
         0.004,         0.267,         0.633
         0.004,         0.270,         0.633
         0.004,         0.270,         0.632
         0.004,         0.272,         0.632
         0.007,         0.272,         0.622
         0.007,         0.275,         0.621
         0.008,         0.275,         0.620
         0.008,         0.277,         0.618
         0.008,         0.277,         0.618
         0.009,         0.277,         0.618
         0.009,         0.277,         0.618
         0.009,         0.280,         0.617
         0.009,         0.280,         0.616
         0.009,         0.282,         0.616
         0.012,         0.282,         0.610
         0.012,         0.285,         0.610
         0.012,         0.285,         0.610
         0.012,         0.287,         0.609
         0.013,         0.287,         0.608
         0.013,         0.290,         0.607
         0.013,         0.290,         0.607
         0.013,         0.295,         0.606
         0.015,         0.295,         0.604
         0.015,         0.297,         0.603
         0.016,         0.297,         0.600
         0.016,         0.297,         0.600
         0.017,         0.297,         0.599
         0.017,         0.302,         0.599
         0.017,         0.302,         0.598
         0.017,         0.305,         0.598
         0.017,         0.305,         0.597
         0.017,         0.310,         0.596
         0.018,         0.310,         0.596
         0.018,         0.312,         0.596
         0.018,         0.312,         0.595
         0.018,         0.317,         0.594
         0.019,         0.317,         0.594
         0.019,         0.320,         0.594
         0.019,         0.320,         0.594
         0.019,         0.322,         0.594
         0.020,         0.322,         0.593
         0.020,         0.325,         0.593
         0.020,         0.325,         0.592
         0.020,         0.327,         0.592
         0.025,         0.327,         0.586
         0.025,         0.332,         0.586
         0.025,         0.332,         0.584
         0.025,         0.335,         0.584
         0.027,         0.335,         0.582
         0.027,         0.338,         0.582
         0.028,         0.338,         0.579
         0.028,         0.340,         0.579
         0.029,         0.340,         0.579
         0.029,         0.343,         0.578
         0.029,         0.343,         0.578
         0.029,         0.345,         0.578
         0.030,         0.345,         0.576
         0.030,         0.348,         0.576
         0.030,         0.348,         0.576
         0.030,         0.350,         0.576
         0.031,         0.350,         0.574
         0.031,         0.355,         0.573
         0.033,         0.355,         0.570
         0.033,         0.360,         0.570
         0.034,         0.360,         0.569
         0.034,         0.363,         0.569
         0.034,         0.363,         0.568
         0.034,         0.365,         0.568
         0.035,         0.365,         0.568
         0.035,         0.368,         0.567
         0.035,         0.368,         0.566
         0.035,         0.370,         0.566
         0.037,         0.370,         0.564
         0.037,         0.370,         0.564
         0.038,         0.370,         0.563
         0.038,         0.370,         0.563
         0.039,         0.370,         0.562
         0.039,         0.373,         0.562
         0.041,         0.373,         0.559
         0.041,         0.378,         0.559
         0.041,         0.378,         0.559
         0.041,         0.380,         0.559
         0.042,         0.380,         0.558
         0.042,         0.383,         0.557
         0.043,         0.383,         0.556
         0.043,         0.388,         0.556
         0.044,         0.388,         0.555
         0.044,         0.390,         0.554
         0.048,         0.390,         0.551
         0.048,         0.395,         0.550
         0.048,         0.395,         0.550
         0.048,         0.398,         0.550
         0.049,         0.398,         0.550
         0.050,         0.398,         0.548
         0.050,         0.401,         0.548
         0.051,         0.401,         0.547
         0.051,         0.403,         0.547
         0.052,         0.403,         0.546
         0.052,         0.406,         0.545
         0.052,         0.406,         0.544
         0.052,         0.408,         0.544
         0.054,         0.408,         0.544
         0.054,         0.411,         0.544
         0.054,         0.411,         0.543
         0.054,         0.413,         0.543
         0.055,         0.413,         0.542
         0.055,         0.416,         0.542
         0.056,         0.416,         0.541
         0.056,         0.418,         0.541
