false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.836
         0.000,         0.000,         0.836
         0.000,         0.000,         0.832
         0.000,         0.005,         0.806
         0.001,         0.005,         0.803
         0.001,         0.012,         0.792
         0.001,         0.012,         0.791
         0.001,         0.014,         0.789
         0.002,         0.014,         0.778
         0.002,         0.016,         0.776
         0.002,         0.016,         0.775
         0.002,         0.019,         0.774
         0.002,         0.019,         0.770
         0.002,         0.023,         0.767
         0.003,         0.023,         0.763
         0.003,         0.023,         0.762
         0.003,         0.026,         0.762
         0.003,         0.035,         0.762
         0.003,         0.035,         0.761
         0.003,         0.040,         0.758
         0.003,         0.040,         0.758
         0.004,         0.042,         0.756
         0.005,         0.042,         0.749
         0.005,         0.047,         0.749
         0.005,         0.054,         0.746
         0.006,         0.054,         0.743
         0.006,         0.068,         0.743
         0.006,         0.068,         0.743
         0.006,         0.073,         0.741
         0.006,         0.073,         0.740
         0.006,         0.075,         0.740
         0.007,         0.075,         0.738
         0.007,         0.077,         0.738
         0.007,         0.077,         0.737
         0.007,         0.080,         0.736
         0.007,         0.080,         0.735
         0.007,         0.084,         0.733
         0.008,         0.084,         0.733
         0.008,         0.098,         0.730
         0.008,         0.098,         0.730
         0.008,         0.103,         0.730
         0.008,         0.103,         0.729
         0.008,         0.105,         0.729
         0.009,         0.105,         0.729
         0.009,         0.110,         0.728
         0.009,         0.110,         0.727
         0.009,         0.112,         0.724
         0.010,         0.112,         0.717
         0.010,         0.115,         0.716
         0.011,         0.115,         0.713
         0.012,         0.115,         0.713
         0.012,         0.115,         0.712
         0.012,         0.117,         0.712
         0.014,         0.117,         0.709
         0.014,         0.124,         0.708
         0.014,         0.124,         0.707
         0.014,         0.129,         0.707
         0.015,         0.129,         0.706
         0.015,         0.131,         0.706
         0.015,         0.131,         0.706
         0.015,         0.136,         0.704
         0.016,         0.136,         0.703
         0.016,         0.136,         0.703
         0.016,         0.141,         0.702
         0.016,         0.141,         0.702
         0.016,         0.143,         0.701
         0.017,         0.143,         0.700
         0.017,         0.145,         0.699
         0.017,         0.155,         0.699
         0.018,         0.155,         0.698
         0.018,         0.159,         0.698
         0.018,         0.159,         0.697
         0.018,         0.164,         0.697
         0.018,         0.164,         0.696
         0.018,         0.169,         0.695
         0.019,         0.169,         0.695
         0.019,         0.171,         0.695
         0.019,         0.171,         0.694
         0.019,         0.171,         0.693
         0.020,         0.171,         0.693
         0.020,         0.176,         0.692
         0.020,         0.176,         0.691
         0.020,         0.178,         0.691
         0.020,         0.178,         0.690
         0.020,         0.180,         0.690
         0.021,         0.180,         0.689
         0.021,         0.183,         0.689
         0.022,         0.183,         0.687
         0.022,         0.185,         0.686
         0.023,         0.185,         0.684
         0.023,         0.187,         0.684
         0.024,         0.187,         0.683
         0.024,         0.190,         0.683
         0.025,         0.190,         0.681
         0.025,         0.192,         0.680
         0.026,         0.192,         0.680
         0.026,         0.194,         0.679
         0.026,         0.194,         0.679
         0.026,         0.197,         0.679
         0.026,         0.197,         0.678
         0.026,         0.201,         0.677
         0.027,         0.201,         0.677
         0.027,         0.204,         0.677
         0.027,         0.204,         0.676
         0.027,         0.211,         0.675
         0.028,         0.211,         0.673
         0.028,         0.213,         0.673
         0.029,         0.213,         0.672
         0.029,         0.215,         0.672
         0.029,         0.215,         0.671
         0.029,         0.215,         0.670
         0.029,         0.220,         0.669
         0.030,         0.220,         0.669
         0.030,         0.222,         0.668
         0.030,         0.222,         0.668
         0.031,         0.248,         0.668
         0.031,         0.251,         0.668
         0.031,         0.251,         0.666
         0.031,         0.253,         0.666
         0.032,         0.253,         0.664
         0.032,         0.255,         0.664
         0.033,         0.255,         0.663
         0.033,         0.258,         0.663
         0.034,         0.258,         0.661
         0.035,         0.258,         0.661
         0.035,         0.258,         0.661
         0.035,         0.260,         0.660
         0.035,         0.260,         0.659
         0.036,         0.260,         0.659
         0.037,         0.260,         0.657
         0.037,         0.262,         0.657
         0.037,         0.262,         0.656
         0.037,         0.267,         0.655
         0.038,         0.267,         0.654
         0.038,         0.269,         0.654
         0.038,         0.269,         0.654
         0.038,         0.272,         0.653
         0.040,         0.272,         0.651
         0.040,         0.276,         0.651
         0.040,         0.279,         0.651
         0.040,         0.279,         0.650
         0.040,         0.281,         0.649
         0.041,         0.281,         0.649
         0.041,         0.283,         0.648
         0.044,         0.283,         0.643
         0.044,         0.288,         0.643
         0.045,         0.288,         0.641
         0.045,         0.290,         0.641
         0.045,         0.290,         0.641
         0.045,         0.295,         0.640
         0.046,         0.295,         0.640
         0.046,         0.297,         0.640
         0.046,         0.297,         0.639
         0.046,         0.300,         0.638
         0.047,         0.300,         0.637
         0.047,         0.302,         0.637
         0.047,         0.302,         0.636
         0.047,         0.304,         0.636
         0.049,         0.304,         0.630
         0.049,         0.309,         0.630
         0.050,         0.309,         0.629
         0.050,         0.314,         0.629
         0.050,         0.314,         0.628
         0.050,         0.319,         0.628
         0.051,         0.319,         0.626
         0.051,         0.319,         0.626
         0.052,         0.319,         0.624
         0.052,         0.321,         0.623
         0.052,         0.326,         0.623
         0.053,         0.326,         0.621
         0.053,         0.330,         0.620
         0.054,         0.330,         0.619
         0.056,         0.330,         0.619
         0.057,         0.330,         0.618
         0.057,         0.340,         0.617
         0.058,         0.340,         0.615
         0.058,         0.340,         0.615
         0.058,         0.344,         0.615
         0.058,         0.344,         0.614
         0.058,         0.347,         0.614
         0.059,         0.347,         0.613
         0.059,         0.349,         0.613
         0.059,         0.349,         0.612
         0.059,         0.351,         0.612
         0.060,         0.351,         0.611
         0.060,         0.356,         0.610
         0.062,         0.356,         0.607
         0.062,         0.363,         0.606
         0.062,         0.363,         0.605
         0.062,         0.365,         0.605
         0.063,         0.365,         0.602
         0.063,         0.368,         0.602
         0.063,         0.368,         0.602
         0.063,         0.372,         0.601
         0.064,         0.372,         0.601
         0.064,         0.375,         0.600
         0.067,         0.375,         0.597
         0.067,         0.377,         0.597
         0.067,         0.377,         0.596
         0.067,         0.379,         0.596
         0.068,         0.379,         0.596
         0.068,         0.382,         0.596
         0.069,         0.382,         0.596
         0.069,         0.386,         0.595
         0.069,         0.386,         0.594
         0.069,         0.389,         0.594
         0.071,         0.389,         0.593
         0.071,         0.389,         0.592
         0.075,         0.389,         0.585
         0.075,         0.391,         0.585
         0.075,         0.391,         0.585
         0.075,         0.393,         0.585
         0.076,         0.393,         0.584
         0.076,         0.396,         0.583
         0.076,         0.396,         0.582
         0.076,         0.398,         0.581
         0.079,         0.398,         0.578
         0.079,         0.403,         0.577
         0.079,         0.403,         0.577
         0.079,         0.410,         0.577
         0.079,         0.410,         0.577
         0.079,         0.412,         0.576
         0.079,         0.412,         0.576
         0.079,         0.415,         0.576
         0.080,         0.415,         0.575
         0.080,         0.422,         0.574
         0.080,         0.422,         0.574
         0.080,         0.424,         0.573
         0.081,         0.424,         0.571
         0.081,         0.431,         0.571
         0.082,         0.431,         0.569
         0.082,         0.433,         0.569
         0.082,         0.433,         0.569
         0.082,         0.440,         0.567
         0.083,         0.440,         0.566
         0.083,         0.443,         0.566
         0.083,         0.443,         0.566
         0.083,         0.447,         0.565
         0.085,         0.447,         0.563
         0.085,         0.450,         0.562
         0.086,         0.450,         0.560
         0.086,         0.459,         0.559
         0.087,         0.459,         0.558
         0.087,         0.461,         0.558
         0.088,         0.461,         0.555
         0.088,         0.464,         0.555
         0.090,         0.464,         0.552
         0.090,         0.466,         0.551
         0.091,         0.466,         0.550
         0.091,         0.471,         0.549
         0.092,         0.471,         0.548
         0.092,         0.473,         0.548
         0.093,         0.473,         0.547
         0.093,         0.475,         0.547
         0.095,         0.475,         0.545
         0.095,         0.480,         0.544
         0.095,         0.480,         0.544
         0.095,         0.482,         0.544
         0.095,         0.482,         0.543
         0.095,         0.485,         0.543
         0.097,         0.485,         0.540
         0.097,         0.487,         0.540
         0.097,         0.487,         0.539
         0.097,         0.492,         0.539
         0.097,         0.492,         0.539
         0.097,         0.494,         0.539
         0.098,         0.494,         0.539
         0.098,         0.496,         0.539
         0.100,         0.496,         0.535
         0.100,         0.501,         0.535
         0.100,         0.501,         0.535
         0.100,         0.504,         0.535
         0.101,         0.504,         0.534
         0.101,         0.506,         0.534
         0.102,         0.506,         0.533
         0.102,         0.508,         0.533
         0.102,         0.508,         0.532
         0.102,         0.511,         0.532
         0.104,         0.511,         0.530
         0.105,         0.511,         0.529
         0.106,         0.511,         0.528
         0.106,         0.518,         0.528
         0.108,         0.518,         0.526
         0.108,         0.520,         0.526
         0.108,         0.520,         0.526
         0.108,         0.522,         0.526
         0.108,         0.522,         0.525
         0.108,         0.527,         0.525
         0.108,         0.527,         0.524
         0.108,         0.529,         0.524
         0.110,         0.529,         0.520
         0.110,         0.532,         0.520
         0.111,         0.532,         0.519
         0.111,         0.534,         0.519
         0.113,         0.534,         0.516
         0.113,         0.536,         0.516
         0.114,         0.536,         0.514
         0.114,         0.539,         0.514
         0.115,         0.539,         0.513
         0.115,         0.541,         0.513
         0.115,         0.541,         0.512
         0.118,         0.541,         0.510
         0.118,         0.543,         0.510
         0.119,         0.543,         0.510
         0.119,         0.546,         0.510
         0.119,         0.546,         0.510
         0.119,         0.548,         0.510
         0.120,         0.548,         0.509
         0.120,         0.550,         0.509
         0.120,         0.550,         0.508
         0.120,         0.553,         0.508
         0.121,         0.553,         0.506
         0.121,         0.555,         0.506
         0.123,         0.555,         0.505
         0.123,         0.557,         0.505
         0.125,         0.557,         0.501
         0.125,         0.560,         0.501
         0.126,         0.560,         0.501
         0.126,         0.562,         0.500
         0.126,         0.562,         0.500
         0.126,         0.564,         0.500
         0.126,         0.564,         0.500
         0.126,         0.567,         0.500
         0.127,         0.567,         0.499
         0.127,         0.569,         0.499
         0.127,         0.569,         0.499
         0.127,         0.571,         0.499
         0.129,         0.571,         0.498
         0.129,         0.574,         0.498
         0.129,         0.574,         0.496
         0.129,         0.576,         0.496
         0.132,         0.576,         0.494
         0.132,         0.578,         0.493
         0.133,         0.578,         0.493
         0.133,         0.581,         0.493
         0.134,         0.581,         0.493
         0.135,         0.581,         0.493
         0.135,         0.583,         0.493
         0.137,         0.583,         0.492
         0.137,         0.585,         0.491
         0.137,         0.585,         0.491
         0.137,         0.588,         0.491
         0.137,         0.588,         0.491
         0.137,         0.590,         0.490
         0.137,         0.590,         0.490
         0.137,         0.593,         0.490
         0.138,         0.593,         0.489
         0.138,         0.593,         0.489
         0.140,         0.593,         0.489
         0.140,         0.593,         0.489
         0.142,         0.593,         0.488
         0.142,         0.595,         0.488
         0.142,         0.595,         0.488
         0.143,         0.595,         0.487
         0.143,         0.597,         0.487
         0.144,         0.597,         0.485
         0.144,         0.600,         0.485
         0.146,         0.600,         0.484
         0.146,         0.602,         0.484
         0.146,         0.602,         0.484
         0.146,         0.607,         0.484
         0.147,         0.607,         0.484
         0.147,         0.609,         0.483
         0.148,         0.609,         0.483
         0.148,         0.611,         0.482
         0.149,         0.611,         0.481
         0.149,         0.614,         0.481
         0.150,         0.614,         0.480
         0.150,         0.616,         0.480
         0.151,         0.616,         0.480
         0.151,         0.621,         0.479
         0.151,         0.621,         0.479
         0.151,         0.623,         0.479
         0.151,         0.623,         0.479
