false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.775
         0.000,         0.000,         0.775
         0.001,         0.000,         0.759
         0.001,         0.005,         0.751
         0.001,         0.005,         0.749
         0.001,         0.008,         0.748
         0.003,         0.008,         0.736
         0.003,         0.010,         0.733
         0.003,         0.010,         0.730
         0.003,         0.013,         0.729
         0.003,         0.013,         0.725
         0.003,         0.018,         0.723
         0.005,         0.018,         0.718
         0.005,         0.028,         0.714
         0.005,         0.028,         0.713
         0.005,         0.031,         0.713
         0.005,         0.031,         0.709
         0.005,         0.034,         0.708
         0.005,         0.034,         0.707
         0.005,         0.036,         0.707
         0.006,         0.036,         0.705
         0.006,         0.039,         0.705
         0.007,         0.039,         0.702
         0.007,         0.041,         0.702
         0.008,         0.041,         0.701
         0.008,         0.044,         0.700
         0.008,         0.044,         0.699
         0.008,         0.046,         0.699
         0.008,         0.046,         0.698
         0.008,         0.049,         0.697
         0.009,         0.049,         0.697
         0.009,         0.054,         0.696
         0.010,         0.054,         0.692
         0.010,         0.057,         0.692
         0.011,         0.057,         0.687
         0.011,         0.059,         0.687
         0.011,         0.059,         0.686
         0.011,         0.067,         0.685
         0.012,         0.067,         0.681
         0.012,         0.072,         0.680
         0.013,         0.072,         0.677
         0.013,         0.075,         0.677
         0.013,         0.075,         0.676
         0.013,         0.077,         0.676
         0.013,         0.077,         0.676
         0.013,         0.080,         0.675
         0.013,         0.080,         0.675
         0.013,         0.088,         0.674
         0.014,         0.088,         0.674
         0.014,         0.090,         0.674
         0.014,         0.090,         0.673
         0.014,         0.098,         0.673
         0.015,         0.098,         0.672
         0.015,         0.106,         0.670
         0.016,         0.106,         0.670
         0.016,         0.108,         0.670
         0.016,         0.108,         0.670
         0.016,         0.111,         0.669
         0.016,         0.111,         0.669
         0.016,         0.113,         0.669
         0.016,         0.113,         0.669
         0.016,         0.119,         0.668
         0.017,         0.119,         0.667
         0.017,         0.121,         0.667
         0.017,         0.121,         0.666
         0.017,         0.126,         0.665
         0.017,         0.126,         0.664
         0.017,         0.131,         0.663
         0.018,         0.131,         0.663
         0.018,         0.137,         0.663
         0.018,         0.137,         0.662
         0.018,         0.144,         0.662
         0.018,         0.144,         0.662
         0.018,         0.147,         0.662
         0.021,         0.147,         0.657
         0.021,         0.152,         0.656
         0.022,         0.152,         0.655
         0.022,         0.160,         0.654
         0.023,         0.160,         0.654
         0.023,         0.162,         0.653
         0.024,         0.162,         0.653
         0.024,         0.165,         0.653
         0.024,         0.165,         0.652
         0.024,         0.168,         0.652
         0.025,         0.168,         0.651
         0.025,         0.170,         0.651
         0.026,         0.170,         0.650
         0.026,         0.173,         0.649
         0.026,         0.173,         0.649
         0.026,         0.175,         0.648
         0.027,         0.175,         0.647
         0.027,         0.183,         0.647
         0.029,         0.183,         0.643
         0.029,         0.188,         0.642
         0.029,         0.188,         0.642
         0.029,         0.191,         0.642
         0.030,         0.191,         0.641
         0.030,         0.196,         0.641
         0.031,         0.196,         0.639
         0.031,         0.198,         0.639
         0.032,         0.198,         0.639
         0.032,         0.206,         0.637
         0.032,         0.206,         0.637
         0.032,         0.209,         0.636
         0.033,         0.209,         0.636
         0.033,         0.211,         0.636
         0.033,         0.211,         0.636
         0.033,         0.214,         0.635
         0.033,         0.214,         0.635
         0.033,         0.216,         0.635
         0.035,         0.216,         0.632
         0.035,         0.229,         0.630
         0.036,         0.229,         0.630
         0.036,         0.235,         0.629
         0.036,         0.235,         0.628
         0.036,         0.240,         0.628
         0.036,         0.240,         0.627
         0.036,         0.242,         0.627
         0.037,         0.242,         0.627
         0.037,         0.245,         0.627
         0.037,         0.245,         0.627
         0.037,         0.247,         0.626
         0.037,         0.247,         0.626
         0.037,         0.250,         0.626
         0.038,         0.250,         0.625
         0.038,         0.253,         0.625
         0.038,         0.253,         0.625
         0.038,         0.260,         0.624
         0.038,         0.260,         0.624
         0.038,         0.268,         0.624
         0.038,         0.268,         0.624
         0.038,         0.271,         0.623
         0.038,         0.271,         0.623
         0.038,         0.273,         0.623
         0.039,         0.273,         0.622
         0.039,         0.276,         0.622
         0.040,         0.276,         0.621
         0.040,         0.278,         0.620
         0.040,         0.278,         0.620
         0.040,         0.281,         0.620
         0.040,         0.281,         0.619
         0.040,         0.284,         0.619
         0.041,         0.284,         0.618
         0.041,         0.286,         0.618
         0.043,         0.286,         0.616
         0.043,         0.289,         0.616
         0.043,         0.289,         0.616
         0.043,         0.291,         0.616
         0.044,         0.291,         0.616
         0.044,         0.294,         0.616
         0.044,         0.294,         0.615
         0.044,         0.299,         0.615
         0.045,         0.299,         0.614
         0.045,         0.304,         0.613
         0.046,         0.304,         0.612
         0.046,         0.307,         0.612
         0.047,         0.307,         0.611
         0.047,         0.309,         0.611
         0.047,         0.309,         0.611
         0.047,         0.312,         0.611
         0.051,         0.312,         0.608
         0.051,         0.314,         0.608
         0.051,         0.314,         0.608
         0.051,         0.317,         0.608
         0.051,         0.317,         0.608
         0.051,         0.320,         0.607
         0.052,         0.320,         0.607
         0.052,         0.322,         0.607
         0.053,         0.322,         0.606
         0.053,         0.327,         0.605
         0.053,         0.327,         0.603
         0.053,         0.332,         0.603
         0.054,         0.332,         0.603
         0.054,         0.335,         0.602
         0.054,         0.335,         0.602
         0.054,         0.338,         0.602
         0.055,         0.338,         0.602
         0.055,         0.343,         0.602
         0.055,         0.343,         0.601
         0.055,         0.348,         0.601
         0.056,         0.348,         0.601
         0.056,         0.351,         0.601
         0.056,         0.351,         0.601
         0.056,         0.353,         0.601
         0.056,         0.353,         0.601
         0.056,         0.356,         0.601
         0.057,         0.356,         0.600
         0.057,         0.358,         0.600
         0.058,         0.358,         0.599
         0.058,         0.361,         0.599
         0.059,         0.361,         0.598
         0.059,         0.363,         0.598
         0.059,         0.363,         0.598
         0.059,         0.366,         0.598
         0.060,         0.366,         0.597
         0.060,         0.369,         0.597
         0.060,         0.369,         0.596
         0.060,         0.371,         0.596
         0.061,         0.371,         0.595
         0.061,         0.376,         0.595
         0.062,         0.376,         0.594
         0.062,         0.384,         0.594
         0.063,         0.384,         0.593
         0.063,         0.387,         0.593
         0.064,         0.387,         0.593
         0.064,         0.389,         0.593
         0.065,         0.389,         0.592
         0.065,         0.394,         0.592
         0.066,         0.394,         0.590
         0.066,         0.402,         0.590
         0.067,         0.402,         0.589
         0.067,         0.405,         0.589
         0.067,         0.405,         0.589
         0.067,         0.407,         0.589
         0.067,         0.407,         0.589
         0.067,         0.412,         0.589
         0.068,         0.412,         0.588
         0.068,         0.415,         0.588
         0.068,         0.415,         0.588
         0.068,         0.420,         0.588
         0.068,         0.420,         0.588
         0.068,         0.425,         0.587
         0.069,         0.425,         0.586
         0.069,         0.430,         0.585
         0.070,         0.430,         0.584
         0.070,         0.433,         0.584
         0.070,         0.433,         0.584
         0.070,         0.436,         0.584
         0.071,         0.436,         0.583
         0.071,         0.438,         0.583
         0.071,         0.438,         0.583
         0.071,         0.441,         0.583
         0.071,         0.441,         0.583
         0.071,         0.446,         0.582
         0.074,         0.446,         0.581
         0.074,         0.448,         0.580
         0.074,         0.448,         0.580
         0.074,         0.454,         0.580
         0.075,         0.454,         0.580
         0.075,         0.459,         0.579
         0.076,         0.459,         0.579
         0.076,         0.464,         0.579
         0.078,         0.464,         0.577
         0.078,         0.469,         0.577
         0.079,         0.469,         0.576
         0.079,         0.474,         0.576
         0.079,         0.474,         0.576
         0.079,         0.477,         0.575
         0.080,         0.477,         0.575
         0.080,         0.479,         0.574
         0.080,         0.479,         0.574
         0.080,         0.482,         0.574
         0.082,         0.482,         0.573
         0.082,         0.485,         0.572
         0.084,         0.485,         0.571
         0.084,         0.492,         0.570
         0.084,         0.492,         0.570
         0.084,         0.497,         0.570
         0.086,         0.497,         0.569
         0.086,         0.503,         0.569
         0.086,         0.503,         0.568
         0.086,         0.505,         0.568
         0.088,         0.505,         0.567
         0.088,         0.508,         0.567
         0.088,         0.508,         0.567
         0.088,         0.513,         0.567
         0.089,         0.513,         0.566
         0.089,         0.515,         0.566
         0.089,         0.515,         0.566
         0.089,         0.518,         0.566
         0.090,         0.518,         0.566
         0.090,         0.521,         0.565
         0.091,         0.521,         0.564
         0.091,         0.523,         0.564
         0.093,         0.523,         0.562
         0.093,         0.526,         0.562
         0.093,         0.526,         0.562
         0.093,         0.528,         0.562
         0.093,         0.528,         0.561
