false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.852
         0.000,         0.003,         0.852
         0.000,         0.067,         0.741
         0.000,         0.067,         0.740
         0.000,         0.080,         0.727
         0.000,         0.080,         0.726
         0.000,         0.086,         0.725
         0.001,         0.086,         0.715
         0.001,         0.089,         0.714
         0.001,         0.089,         0.714
         0.001,         0.102,         0.710
         0.001,         0.102,         0.710
         0.001,         0.109,         0.707
         0.001,         0.109,         0.707
         0.001,         0.125,         0.703
         0.002,         0.125,         0.700
         0.002,         0.166,         0.686
         0.002,         0.166,         0.685
         0.002,         0.179,         0.676
         0.002,         0.179,         0.675
         0.002,         0.185,         0.674
         0.002,         0.185,         0.673
         0.002,         0.188,         0.671
         0.002,         0.188,         0.669
         0.002,         0.195,         0.668
         0.003,         0.195,         0.667
         0.003,         0.201,         0.665
         0.003,         0.201,         0.664
         0.003,         0.211,         0.662
         0.003,         0.211,         0.659
         0.003,         0.220,         0.657
         0.003,         0.220,         0.657
         0.003,         0.224,         0.657
         0.004,         0.224,         0.655
         0.004,         0.233,         0.654
         0.004,         0.233,         0.652
         0.004,         0.236,         0.652
         0.005,         0.236,         0.651
         0.005,         0.240,         0.651
         0.006,         0.240,         0.648
         0.006,         0.246,         0.648
         0.006,         0.246,         0.648
         0.006,         0.249,         0.646
         0.006,         0.249,         0.646
         0.006,         0.256,         0.645
         0.006,         0.256,         0.645
         0.006,         0.259,         0.644
         0.006,         0.259,         0.643
         0.006,         0.262,         0.642
         0.007,         0.262,         0.642
         0.007,         0.265,         0.642
         0.008,         0.265,         0.640
         0.008,         0.278,         0.639
         0.008,         0.278,         0.635
         0.008,         0.291,         0.634
         0.009,         0.291,         0.634
         0.009,         0.297,         0.632
         0.009,         0.297,         0.632
         0.009,         0.300,         0.631
         0.010,         0.300,         0.630
         0.010,         0.304,         0.629
         0.010,         0.304,         0.629
         0.010,         0.307,         0.627
         0.010,         0.307,         0.627
         0.010,         0.310,         0.626
         0.011,         0.310,         0.623
         0.011,         0.326,         0.621
         0.011,         0.326,         0.620
         0.011,         0.332,         0.620
         0.013,         0.332,         0.615
         0.013,         0.335,         0.615
         0.013,         0.335,         0.614
         0.013,         0.339,         0.614
         0.013,         0.339,         0.614
         0.013,         0.342,         0.613
         0.014,         0.342,         0.613
         0.014,         0.345,         0.613
         0.015,         0.345,         0.611
         0.015,         0.348,         0.611
         0.016,         0.348,         0.606
         0.016,         0.351,         0.606
         0.017,         0.351,         0.606
         0.017,         0.361,         0.604
         0.017,         0.361,         0.603
         0.017,         0.364,         0.602
         0.017,         0.364,         0.602
         0.017,         0.367,         0.602
         0.017,         0.367,         0.601
         0.017,         0.371,         0.601
         0.018,         0.371,         0.601
         0.018,         0.374,         0.600
         0.019,         0.374,         0.597
         0.019,         0.380,         0.597
         0.020,         0.380,         0.596
         0.020,         0.383,         0.596
         0.020,         0.383,         0.596
         0.020,         0.390,         0.595
         0.020,         0.390,         0.593
         0.020,         0.393,         0.593
         0.021,         0.393,         0.592
         0.021,         0.396,         0.592
         0.022,         0.396,         0.592
         0.022,         0.399,         0.592
         0.023,         0.399,         0.589
         0.023,         0.409,         0.588
         0.024,         0.409,         0.586
         0.024,         0.412,         0.586
         0.024,         0.412,         0.585
         0.024,         0.415,         0.585
         0.025,         0.415,         0.585
         0.025,         0.419,         0.585
         0.027,         0.419,         0.582
         0.027,         0.422,         0.581
         0.027,         0.422,         0.581
         0.027,         0.425,         0.581
         0.030,         0.425,         0.578
         0.030,         0.431,         0.578
         0.030,         0.431,         0.576
         0.030,         0.438,         0.575
         0.030,         0.438,         0.575
         0.030,         0.441,         0.575
         0.031,         0.441,         0.575
         0.031,         0.450,         0.574
         0.032,         0.450,         0.573
         0.032,         0.457,         0.572
         0.033,         0.457,         0.572
         0.033,         0.460,         0.572
         0.034,         0.460,         0.570
         0.034,         0.466,         0.570
         0.035,         0.466,         0.569
         0.035,         0.470,         0.569
         0.036,         0.470,         0.568
         0.036,         0.473,         0.568
         0.037,         0.473,         0.567
         0.037,         0.476,         0.567
         0.037,         0.476,         0.567
         0.037,         0.479,         0.567
         0.038,         0.479,         0.565
         0.038,         0.482,         0.565
         0.039,         0.482,         0.565
         0.039,         0.489,         0.564
         0.039,         0.489,         0.564
         0.039,         0.492,         0.564
         0.040,         0.492,         0.563
         0.041,         0.492,         0.563
         0.042,         0.492,         0.562
         0.042,         0.498,         0.562
         0.042,         0.498,         0.562
         0.042,         0.502,         0.561
         0.043,         0.502,         0.560
         0.043,         0.508,         0.559
         0.044,         0.508,         0.559
         0.044,         0.514,         0.559
         0.045,         0.514,         0.557
         0.045,         0.521,         0.557
         0.047,         0.521,         0.555
         0.047,         0.527,         0.554
         0.048,         0.527,         0.554
         0.048,         0.534,         0.553
         0.049,         0.534,         0.553
         0.049,         0.534,         0.552
         0.049,         0.537,         0.552
         0.050,         0.537,         0.552
         0.050,         0.540,         0.552
         0.053,         0.540,         0.549
         0.053,         0.543,         0.549
         0.053,         0.543,         0.549
         0.053,         0.546,         0.549
         0.055,         0.546,         0.548
         0.055,         0.550,         0.548
         0.055,         0.550,         0.548
         0.055,         0.553,         0.548
         0.055,         0.553,         0.548
         0.055,         0.556,         0.548
         0.055,         0.556,         0.548
         0.055,         0.559,         0.547
         0.056,         0.559,         0.547
         0.056,         0.559,         0.547
         0.057,         0.559,         0.547
         0.057,         0.559,         0.546
         0.057,         0.559,         0.546
         0.057,         0.562,         0.546
         0.058,         0.562,         0.545
         0.058,         0.565,         0.545
         0.059,         0.565,         0.544
         0.059,         0.565,         0.544
         0.060,         0.565,         0.543
         0.060,         0.569,         0.543
         0.063,         0.569,         0.541
         0.063,         0.575,         0.541
         0.063,         0.575,         0.540
         0.063,         0.581,         0.540
         0.064,         0.581,         0.540
         0.064,         0.588,         0.540
         0.066,         0.588,         0.538
         0.066,         0.591,         0.538
         0.066,         0.591,         0.538
         0.066,         0.594,         0.538
         0.067,         0.594,         0.538
         0.067,         0.597,         0.537
         0.068,         0.597,         0.537
         0.068,         0.604,         0.537
         0.068,         0.604,         0.537
         0.068,         0.610,         0.537
         0.071,         0.610,         0.534
         0.071,         0.613,         0.534
         0.071,         0.613,         0.534
         0.071,         0.613,         0.534
         0.071,         0.617,         0.534
         0.072,         0.617,         0.534
         0.072,         0.620,         0.533
         0.074,         0.620,         0.531
         0.074,         0.626,         0.531
         0.075,         0.626,         0.531
         0.075,         0.629,         0.531
         0.077,         0.629,         0.529
         0.077,         0.633,         0.529
         0.079,         0.633,         0.527
         0.079,         0.636,         0.527
         0.080,         0.636,         0.527
         0.080,         0.639,         0.527
         0.080,         0.639,         0.527
         0.080,         0.642,         0.526
         0.081,         0.642,         0.526
         0.081,         0.645,         0.526
         0.082,         0.645,         0.525
         0.082,         0.649,         0.525
         0.083,         0.649,         0.524
         0.083,         0.652,         0.524
         0.085,         0.652,         0.523
         0.085,         0.652,         0.523
         0.088,         0.652,         0.520
         0.088,         0.655,         0.520
