false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.802
         0.000,         0.000,         0.802
         0.000,         0.000,         0.787
         0.000,         0.003,         0.783
         0.001,         0.003,         0.776
         0.001,         0.014,         0.758
         0.001,         0.014,         0.755
         0.001,         0.017,         0.755
         0.002,         0.017,         0.751
         0.002,         0.020,         0.747
         0.002,         0.020,         0.746
         0.002,         0.023,         0.745
         0.002,         0.023,         0.743
         0.002,         0.025,         0.742
         0.003,         0.025,         0.742
         0.003,         0.028,         0.740
         0.003,         0.028,         0.737
         0.003,         0.042,         0.733
         0.003,         0.042,         0.731
         0.003,         0.048,         0.730
         0.003,         0.048,         0.729
         0.003,         0.051,         0.729
         0.004,         0.051,         0.729
         0.004,         0.054,         0.725
         0.004,         0.054,         0.725
         0.004,         0.062,         0.723
         0.004,         0.062,         0.721
         0.004,         0.065,         0.720
         0.005,         0.065,         0.718
         0.005,         0.068,         0.718
         0.005,         0.068,         0.715
         0.005,         0.070,         0.714
         0.006,         0.070,         0.714
         0.006,         0.073,         0.713
         0.006,         0.073,         0.712
         0.006,         0.079,         0.710
         0.006,         0.079,         0.709
         0.006,         0.082,         0.709
         0.007,         0.082,         0.708
         0.007,         0.082,         0.707
         0.008,         0.082,         0.705
         0.008,         0.085,         0.705
         0.009,         0.085,         0.704
         0.009,         0.087,         0.703
         0.009,         0.087,         0.703
         0.009,         0.090,         0.703
         0.009,         0.090,         0.703
         0.009,         0.093,         0.703
         0.009,         0.093,         0.702
         0.009,         0.096,         0.701
         0.011,         0.096,         0.699
         0.011,         0.101,         0.699
         0.011,         0.101,         0.698
         0.011,         0.104,         0.698
         0.011,         0.104,         0.698
         0.011,         0.107,         0.697
         0.012,         0.107,         0.697
         0.012,         0.107,         0.696
         0.014,         0.107,         0.693
         0.014,         0.115,         0.692
         0.014,         0.115,         0.690
         0.014,         0.118,         0.690
         0.015,         0.118,         0.690
         0.015,         0.121,         0.689
         0.015,         0.121,         0.689
         0.015,         0.124,         0.689
         0.016,         0.124,         0.686
         0.016,         0.127,         0.685
         0.017,         0.127,         0.684
         0.017,         0.130,         0.684
         0.019,         0.130,         0.682
         0.019,         0.132,         0.682
         0.019,         0.132,         0.681
         0.019,         0.138,         0.679
         0.020,         0.138,         0.679
         0.020,         0.141,         0.678
         0.020,         0.141,         0.678
         0.020,         0.149,         0.677
         0.021,         0.149,         0.677
         0.021,         0.152,         0.677
         0.021,         0.152,         0.675
         0.021,         0.155,         0.675
         0.022,         0.155,         0.674
         0.022,         0.158,         0.673
         0.022,         0.158,         0.673
         0.022,         0.161,         0.672
         0.023,         0.161,         0.672
         0.023,         0.163,         0.672
         0.023,         0.163,         0.671
         0.023,         0.169,         0.671
         0.024,         0.169,         0.671
         0.024,         0.172,         0.670
         0.024,         0.172,         0.670
         0.024,         0.175,         0.670
         0.025,         0.175,         0.668
         0.025,         0.180,         0.668
         0.025,         0.180,         0.667
         0.025,         0.183,         0.666
         0.025,         0.183,         0.666
         0.025,         0.186,         0.666
         0.027,         0.186,         0.665
         0.027,         0.192,         0.665
         0.028,         0.192,         0.663
         0.028,         0.194,         0.662
         0.028,         0.194,         0.661
         0.028,         0.197,         0.661
         0.029,         0.197,         0.660
         0.029,         0.200,         0.660
         0.030,         0.200,         0.660
         0.030,         0.203,         0.659
         0.030,         0.203,         0.659
         0.030,         0.208,         0.659
         0.030,         0.208,         0.659
         0.030,         0.211,         0.658
         0.031,         0.211,         0.657
         0.031,         0.214,         0.657
         0.031,         0.214,         0.655
         0.031,         0.217,         0.655
         0.032,         0.217,         0.655
         0.032,         0.223,         0.654
         0.032,         0.223,         0.654
         0.032,         0.225,         0.654
         0.032,         0.225,         0.654
         0.032,         0.228,         0.654
         0.032,         0.228,         0.653
         0.032,         0.231,         0.653
         0.033,         0.231,         0.653
         0.033,         0.234,         0.652
         0.035,         0.234,         0.648
         0.035,         0.237,         0.648
         0.037,         0.237,         0.646
         0.037,         0.239,         0.646
         0.039,         0.239,         0.644
         0.039,         0.245,         0.643
         0.039,         0.245,         0.642
         0.039,         0.251,         0.642
         0.041,         0.251,         0.640
         0.041,         0.259,         0.640
         0.042,         0.259,         0.638
         0.042,         0.262,         0.637
         0.042,         0.262,         0.637
         0.042,         0.265,         0.637
         0.043,         0.265,         0.636
         0.043,         0.268,         0.636
         0.043,         0.268,         0.636
         0.043,         0.270,         0.636
         0.045,         0.270,         0.634
         0.045,         0.276,         0.634
         0.046,         0.276,         0.633
         0.046,         0.282,         0.633
         0.047,         0.282,         0.632
         0.047,         0.285,         0.632
         0.047,         0.285,         0.632
         0.047,         0.287,         0.632
         0.047,         0.287,         0.632
         0.047,         0.293,         0.631
         0.048,         0.293,         0.631
         0.048,         0.296,         0.630
         0.049,         0.296,         0.629
         0.049,         0.299,         0.629
         0.051,         0.299,         0.626
         0.051,         0.301,         0.626
         0.052,         0.301,         0.623
         0.052,         0.304,         0.622
         0.053,         0.304,         0.622
         0.053,         0.310,         0.621
         0.055,         0.310,         0.620
         0.055,         0.313,         0.620
         0.056,         0.313,         0.618
         0.056,         0.315,         0.618
         0.057,         0.315,         0.615
         0.057,         0.318,         0.614
         0.060,         0.318,         0.610
         0.060,         0.324,         0.609
         0.062,         0.324,         0.608
         0.062,         0.327,         0.608
         0.062,         0.327,         0.608
         0.062,         0.330,         0.608
         0.063,         0.330,         0.606
         0.063,         0.332,         0.606
         0.063,         0.332,         0.606
         0.063,         0.335,         0.606
         0.064,         0.335,         0.606
         0.064,         0.335,         0.606
         0.069,         0.335,         0.602
         0.069,         0.341,         0.602
         0.069,         0.341,         0.601
         0.069,         0.341,         0.601
         0.069,         0.346,         0.601
         0.070,         0.346,         0.600
         0.070,         0.349,         0.600
         0.070,         0.349,         0.599
         0.070,         0.352,         0.599
         0.071,         0.352,         0.598
         0.071,         0.358,         0.598
         0.072,         0.358,         0.597
         0.072,         0.363,         0.596
         0.072,         0.363,         0.596
         0.072,         0.366,         0.596
         0.076,         0.366,         0.593
         0.076,         0.369,         0.593
         0.077,         0.369,         0.592
         0.077,         0.372,         0.592
         0.078,         0.372,         0.590
         0.078,         0.375,         0.590
         0.081,         0.375,         0.587
         0.081,         0.380,         0.587
         0.081,         0.383,         0.587
         0.084,         0.383,         0.585
         0.084,         0.386,         0.584
         0.084,         0.386,         0.584
         0.084,         0.389,         0.584
         0.084,         0.389,         0.583
         0.084,         0.392,         0.583
         0.085,         0.392,         0.582
         0.085,         0.397,         0.582
         0.086,         0.397,         0.581
         0.086,         0.400,         0.581
         0.087,         0.400,         0.580
         0.087,         0.403,         0.580
         0.088,         0.403,         0.580
         0.088,         0.406,         0.579
         0.089,         0.406,         0.578
         0.089,         0.408,         0.578
         0.092,         0.408,         0.576
         0.092,         0.411,         0.576
         0.092,         0.411,         0.576
         0.092,         0.414,         0.576
         0.092,         0.414,         0.576
         0.092,         0.417,         0.575
         0.094,         0.417,         0.574
         0.094,         0.423,         0.574
         0.094,         0.423,         0.574
         0.094,         0.425,         0.574
         0.095,         0.425,         0.572
         0.095,         0.428,         0.572
         0.097,         0.428,         0.571
         0.097,         0.434,         0.571
         0.099,         0.434,         0.569
         0.099,         0.439,         0.569
         0.100,         0.439,         0.567
         0.100,         0.442,         0.567
         0.102,         0.442,         0.566
         0.102,         0.445,         0.566
         0.102,         0.445,         0.566
         0.102,         0.448,         0.565
         0.102,         0.448,         0.565
         0.102,         0.451,         0.565
         0.103,         0.451,         0.564
         0.103,         0.454,         0.564
         0.106,         0.454,         0.563
         0.106,         0.456,         0.563
         0.107,         0.456,         0.562
         0.107,         0.459,         0.562
         0.108,         0.459,         0.562
         0.108,         0.462,         0.562
         0.110,         0.462,         0.561
         0.110,         0.465,         0.561
         0.113,         0.465,         0.559
         0.113,         0.468,         0.558
         0.115,         0.468,         0.557
         0.115,         0.470,         0.557
         0.117,         0.470,         0.556
         0.117,         0.473,         0.555
         0.120,         0.473,         0.554
         0.120,         0.476,         0.554
         0.121,         0.476,         0.552
         0.121,         0.479,         0.552
         0.124,         0.479,         0.550
         0.124,         0.482,         0.550
         0.127,         0.482,         0.548
         0.127,         0.485,         0.548
         0.128,         0.485,         0.548
         0.128,         0.487,         0.547
         0.129,         0.487,         0.547
         0.129,         0.493,         0.546
         0.130,         0.493,         0.546
         0.130,         0.496,         0.546
         0.131,         0.496,         0.544
         0.131,         0.499,         0.544
         0.132,         0.499,         0.544
         0.132,         0.501,         0.544
         0.134,         0.501,         0.542
         0.134,         0.504,         0.542
         0.137,         0.504,         0.540
         0.137,         0.507,         0.540
         0.139,         0.507,         0.539
         0.139,         0.510,         0.539
         0.140,         0.510,         0.538
         0.140,         0.513,         0.538
         0.143,         0.513,         0.535
         0.143,         0.518,         0.535
         0.143,         0.518,         0.535
         0.143,         0.521,         0.534
         0.144,         0.521,         0.534
         0.144,         0.524,         0.534
         0.144,         0.524,         0.534
         0.144,         0.527,         0.533
         0.145,         0.527,         0.533
         0.145,         0.530,         0.533
         0.148,         0.530,         0.530
         0.148,         0.532,         0.530
         0.148,         0.532,         0.530
         0.148,         0.541,         0.530
         0.148,         0.541,         0.530
         0.148,         0.544,         0.530
         0.150,         0.544,         0.529
         0.150,         0.546,         0.529
         0.150,         0.546,         0.529
         0.150,         0.552,         0.529
         0.151,         0.552,         0.528
         0.151,         0.555,         0.528
         0.153,         0.555,         0.527
         0.153,         0.558,         0.527
         0.153,         0.558,         0.527
         0.153,         0.566,         0.527
         0.157,         0.566,         0.524
         0.157,         0.569,         0.524
         0.159,         0.569,         0.522
         0.159,         0.572,         0.522
         0.159,         0.572,         0.522
         0.159,         0.575,         0.521
         0.161,         0.575,         0.519
         0.161,         0.577,         0.519
         0.164,         0.577,         0.517
         0.164,         0.580,         0.517
         0.166,         0.580,         0.516
         0.166,         0.583,         0.516
         0.167,         0.583,         0.516
         0.167,         0.586,         0.515
         0.171,         0.586,         0.513
         0.171,         0.589,         0.513
         0.172,         0.589,         0.512
         0.172,         0.592,         0.512
         0.173,         0.592,         0.512
         0.173,         0.594,         0.512
         0.174,         0.594,         0.511
         0.174,         0.597,         0.510
         0.176,         0.597,         0.509
         0.176,         0.600,         0.509
         0.176,         0.600,         0.509
         0.176,         0.603,         0.509
         0.178,         0.603,         0.508
         0.178,         0.606,         0.508
         0.179,         0.606,         0.508
         0.179,         0.608,         0.507
         0.179,         0.608,         0.507
         0.179,         0.614,         0.507
         0.180,         0.614,         0.506
         0.180,         0.617,         0.506
         0.188,         0.617,         0.501
         0.188,         0.623,         0.501
         0.189,         0.623,         0.500
         0.189,         0.625,         0.500
         0.190,         0.625,         0.500
         0.190,         0.628,         0.500
         0.190,         0.628,         0.500
         0.190,         0.634,         0.499
         0.191,         0.634,         0.499
         0.191,         0.637,         0.499
         0.196,         0.637,         0.495
         0.196,         0.639,         0.495
         0.197,         0.639,         0.495
         0.197,         0.645,         0.495
         0.199,         0.645,         0.494
         0.199,         0.648,         0.494
         0.200,         0.648,         0.494
         0.200,         0.651,         0.493
         0.200,         0.651,         0.493
         0.200,         0.654,         0.493
         0.204,         0.654,         0.490
         0.204,         0.656,         0.490
         0.209,         0.656,         0.487
         0.209,         0.659,         0.487
         0.211,         0.659,         0.486
         0.211,         0.662,         0.486
         0.214,         0.662,         0.485
         0.214,         0.665,         0.485
         0.223,         0.665,         0.481
         0.223,         0.668,         0.481
         0.224,         0.668,         0.481
         0.224,         0.670,         0.481
         0.226,         0.670,         0.479
         0.226,         0.673,         0.479
         0.230,         0.673,         0.477
         0.230,         0.676,         0.476
         0.230,         0.676,         0.476
         0.230,         0.679,         0.476
         0.233,         0.679,         0.475
         0.233,         0.682,         0.475
         0.236,         0.682,         0.473
         0.236,         0.687,         0.473
         0.241,         0.687,         0.471
         0.241,         0.690,         0.470
         0.242,         0.690,         0.470
         0.242,         0.693,         0.470
         0.243,         0.693,         0.469
         0.243,         0.696,         0.469
         0.244,         0.696,         0.469
         0.244,         0.699,         0.469
         0.244,         0.699,         0.469
         0.244,         0.701,         0.469
         0.246,         0.701,         0.468
         0.246,         0.704,         0.468
         0.251,         0.704,         0.465
         0.251,         0.707,         0.465
         0.252,         0.707,         0.465
         0.252,         0.710,         0.465
         0.257,         0.710,         0.463
         0.257,         0.713,         0.463
         0.259,         0.713,         0.462
         0.259,         0.715,         0.462
         0.261,         0.715,         0.461
         0.261,         0.718,         0.461
         0.263,         0.718,         0.459
         0.263,         0.721,         0.459
         0.267,         0.721,         0.458
         0.267,         0.724,         0.458
         0.274,         0.724,         0.455
         0.274,         0.727,         0.455
         0.278,         0.727,         0.453
         0.278,         0.730,         0.453
         0.279,         0.730,         0.453
         0.281,         0.730,         0.453
         0.284,         0.730,         0.451
         0.284,         0.735,         0.451
         0.287,         0.735,         0.449
         0.287,         0.735,         0.449
         0.292,         0.735,         0.447
         0.292,         0.738,         0.447
         0.295,         0.738,         0.445
         0.295,         0.741,         0.445
         0.298,         0.741,         0.444
         0.298,         0.744,         0.444
         0.304,         0.744,         0.441
         0.304,         0.746,         0.441
         0.307,         0.746,         0.440
         0.307,         0.749,         0.440
         0.308,         0.749,         0.440
         0.308,         0.752,         0.440
         0.309,         0.752,         0.439
         0.309,         0.755,         0.439
         0.310,         0.755,         0.439
         0.310,         0.758,         0.439
         0.318,         0.758,         0.435
         0.318,         0.763,         0.435
         0.329,         0.763,         0.430
         0.329,         0.766,         0.430
         0.332,         0.766,         0.429
         0.332,         0.769,         0.429
         0.340,         0.769,         0.426
         0.340,         0.772,         0.426
         0.348,         0.772,         0.424
         0.348,         0.777,         0.423
         0.349,         0.777,         0.423
         0.349,         0.780,         0.423
         0.359,         0.780,         0.419
         0.359,         0.783,         0.418
         0.360,         0.783,         0.418
         0.360,         0.786,         0.418
         0.361,         0.786,         0.418
         0.361,         0.789,         0.418
         0.361,         0.789,         0.418
         0.361,         0.792,         0.418
         0.367,         0.792,         0.416
         0.367,         0.794,         0.416
         0.369,         0.794,         0.415
         0.369,         0.797,         0.415
         0.374,         0.797,         0.413
         0.374,         0.800,         0.413
         0.380,         0.800,         0.411
         0.380,         0.803,         0.410
         0.381,         0.803,         0.410
         0.381,         0.806,         0.410
         0.381,         0.806,         0.410
         0.382,         0.806,         0.410
         0.386,         0.806,         0.408
         0.386,         0.811,         0.408
         0.391,         0.811,         0.407
         0.391,         0.814,         0.407
         0.394,         0.814,         0.406
         0.394,         0.820,         0.406
         0.395,         0.820,         0.406
         0.395,         0.823,         0.406
         0.400,         0.823,         0.404
         0.400,         0.825,         0.403
         0.405,         0.825,         0.402
         0.405,         0.828,         0.402
         0.407,         0.828,         0.401
         0.407,         0.828,         0.401
         0.410,         0.828,         0.400
         0.410,         0.831,         0.400
         0.414,         0.831,         0.400
         0.414,         0.834,         0.399
         0.418,         0.834,         0.398
         0.418,         0.837,         0.398
         0.419,         0.837,         0.398
         0.419,         0.839,         0.398
