false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.216
         0.000,         0.000,         0.216
         0.000,         0.000,         0.214
         0.000,         0.005,         0.210
         0.001,         0.005,         0.210
         0.001,         0.016,         0.203
         0.001,         0.016,         0.197
         0.001,         0.018,         0.197
         0.001,         0.018,         0.197
         0.001,         0.024,         0.193
         0.001,         0.024,         0.193
         0.001,         0.040,         0.181
         0.002,         0.040,         0.180
         0.002,         0.045,         0.177
         0.002,         0.045,         0.177
         0.002,         0.053,         0.175
         0.002,         0.053,         0.174
         0.002,         0.055,         0.174
         0.002,         0.055,         0.172
         0.002,         0.069,         0.166
         0.003,         0.069,         0.164
         0.003,         0.077,         0.162
         0.004,         0.077,         0.159
         0.004,         0.079,         0.158
         0.005,         0.079,         0.156
         0.005,         0.084,         0.152
         0.005,         0.084,         0.152
         0.005,         0.087,         0.150
         0.005,         0.092,         0.149
         0.005,         0.095,         0.148
         0.006,         0.095,         0.148
         0.006,         0.100,         0.147
         0.006,         0.100,         0.146
         0.006,         0.106,         0.145
         0.007,         0.106,         0.143
         0.007,         0.116,         0.142
         0.007,         0.116,         0.142
         0.007,         0.121,         0.141
         0.007,         0.121,         0.141
         0.007,         0.127,         0.141
         0.007,         0.129,         0.141
         0.008,         0.129,         0.140
         0.008,         0.132,         0.139
         0.008,         0.132,         0.139
         0.008,         0.142,         0.136
         0.008,         0.142,         0.136
         0.008,         0.148,         0.135
         0.009,         0.148,         0.134
         0.009,         0.153,         0.134
         0.009,         0.153,         0.134
         0.009,         0.156,         0.134
         0.009,         0.156,         0.132
         0.009,         0.161,         0.132
         0.009,         0.161,         0.132
         0.009,         0.164,         0.132
         0.010,         0.164,         0.131
         0.010,         0.169,         0.129
         0.010,         0.169,         0.128
         0.010,         0.172,         0.128
         0.011,         0.172,         0.128
         0.011,         0.177,         0.127
         0.011,         0.177,         0.126
         0.011,         0.179,         0.125
         0.012,         0.179,         0.125
         0.012,         0.182,         0.121
         0.012,         0.182,         0.121
         0.012,         0.185,         0.120
         0.012,         0.185,         0.120
         0.012,         0.187,         0.119
         0.013,         0.187,         0.117
         0.013,         0.190,         0.117
         0.013,         0.190,         0.117
         0.013,         0.193,         0.117
         0.014,         0.193,         0.116
         0.014,         0.193,         0.116
         0.014,         0.195,         0.115
         0.014,         0.198,         0.115
         0.015,         0.198,         0.113
         0.015,         0.201,         0.113
         0.016,         0.201,         0.110
         0.016,         0.203,         0.110
         0.016,         0.203,         0.110
         0.016,         0.208,         0.109
         0.017,         0.208,         0.109
         0.017,         0.211,         0.109
         0.017,         0.211,         0.108
         0.017,         0.214,         0.108
         0.018,         0.214,         0.107
         0.018,         0.214,         0.107
         0.019,         0.214,         0.107
         0.019,         0.216,         0.106
         0.019,         0.216,         0.105
         0.019,         0.219,         0.105
         0.019,         0.219,         0.104
         0.019,         0.224,         0.103
         0.019,         0.224,         0.103
         0.019,         0.232,         0.103
         0.020,         0.232,         0.103
         0.020,         0.235,         0.103
         0.020,         0.235,         0.103
         0.020,         0.243,         0.102
         0.021,         0.243,         0.101
         0.021,         0.245,         0.101
         0.022,         0.245,         0.100
         0.022,         0.248,         0.100
         0.022,         0.248,         0.100
         0.022,         0.251,         0.100
         0.022,         0.251,         0.100
         0.022,         0.253,         0.099
         0.023,         0.253,         0.098
         0.023,         0.256,         0.098
         0.023,         0.256,         0.098
         0.023,         0.259,         0.098
         0.024,         0.259,         0.097
         0.024,         0.261,         0.097
         0.024,         0.261,         0.097
         0.024,         0.264,         0.097
         0.024,         0.264,         0.096
         0.024,         0.269,         0.095
         0.025,         0.269,         0.094
         0.025,         0.277,         0.094
         0.025,         0.277,         0.094
         0.025,         0.277,         0.093
         0.025,         0.280,         0.093
         0.026,         0.280,         0.093
         0.026,         0.282,         0.092
         0.027,         0.282,         0.092
         0.028,         0.282,         0.091
         0.028,         0.288,         0.091
         0.029,         0.288,         0.088
         0.029,         0.290,         0.088
         0.029,         0.290,         0.088
         0.029,         0.293,         0.088
         0.030,         0.293,         0.087
         0.030,         0.296,         0.087
         0.030,         0.296,         0.087
         0.030,         0.296,         0.087
         0.030,         0.301,         0.087
         0.031,         0.301,         0.086
         0.031,         0.303,         0.085
         0.031,         0.303,         0.085
         0.031,         0.309,         0.084
         0.031,         0.309,         0.083
         0.031,         0.311,         0.082
         0.031,         0.311,         0.082
         0.031,         0.314,         0.082
         0.031,         0.314,         0.082
         0.031,         0.319,         0.081
         0.032,         0.319,         0.081
         0.032,         0.322,         0.080
         0.032,         0.322,         0.079
         0.032,         0.325,         0.079
         0.033,         0.325,         0.077
         0.033,         0.327,         0.076
         0.034,         0.327,         0.075
         0.034,         0.330,         0.075
         0.034,         0.330,         0.074
         0.034,         0.335,         0.074
         0.035,         0.335,         0.073
         0.035,         0.338,         0.073
         0.035,         0.338,         0.073
         0.035,         0.340,         0.073
         0.035,         0.340,         0.073
         0.035,         0.343,         0.073
         0.035,         0.343,         0.072
         0.035,         0.346,         0.072
         0.036,         0.346,         0.071
         0.036,         0.348,         0.070
         0.036,         0.348,         0.070
         0.036,         0.351,         0.069
         0.037,         0.351,         0.068
         0.037,         0.356,         0.068
         0.037,         0.356,         0.067
         0.038,         0.359,         0.067
         0.038,         0.359,         0.067
         0.038,         0.367,         0.066
         0.038,         0.367,         0.065
         0.038,         0.369,         0.065
         0.039,         0.369,         0.065
         0.039,         0.372,         0.064
         0.039,         0.372,         0.064
         0.039,         0.375,         0.064
         0.039,         0.375,         0.063
         0.039,         0.380,         0.062
         0.040,         0.380,         0.062
         0.040,         0.388,         0.061
         0.040,         0.388,         0.061
         0.040,         0.391,         0.060
         0.040,         0.391,         0.060
         0.040,         0.396,         0.060
         0.040,         0.396,         0.059
         0.040,         0.398,         0.059
         0.042,         0.398,         0.057
         0.042,         0.404,         0.057
         0.042,         0.404,         0.056
         0.042,         0.406,         0.056
         0.043,         0.406,         0.054
         0.043,         0.409,         0.053
         0.043,         0.409,         0.053
         0.043,         0.417,         0.052
         0.044,         0.417,         0.051
         0.044,         0.420,         0.051
         0.045,         0.420,         0.047
         0.046,         0.420,         0.047
         0.046,         0.430,         0.047
         0.046,         0.438,         0.046
         0.046,         0.438,         0.045
         0.046,         0.441,         0.045
         0.047,         0.441,         0.044
         0.047,         0.443,         0.044
         0.047,         0.443,         0.043
         0.047,         0.446,         0.042
         0.047,         0.446,         0.042
         0.047,         0.451,         0.041
         0.048,         0.451,         0.040
         0.048,         0.454,         0.040
         0.048,         0.454,         0.039
         0.048,         0.459,         0.038
         0.048,         0.459,         0.037
         0.048,         0.462,         0.037
         0.049,         0.462,         0.036
         0.049,         0.464,         0.036
         0.050,         0.464,         0.035
         0.050,         0.464,         0.035
         0.050,         0.467,         0.034
         0.050,         0.467,         0.034
         0.050,         0.470,         0.034
         0.050,         0.470,         0.033
         0.050,         0.475,         0.032
         0.052,         0.475,         0.031
         0.052,         0.478,         0.031
         0.052,         0.478,         0.031
         0.052,         0.480,         0.031
         0.052,         0.480,         0.031
         0.052,         0.483,         0.030
         0.053,         0.483,         0.030
         0.053,         0.483,         0.030
         0.053,         0.483,         0.030
         0.053,         0.488,         0.029
         0.054,         0.488,         0.029
         0.054,         0.491,         0.029
         0.054,         0.491,         0.028
         0.054,         0.496,         0.027
         0.055,         0.496,         0.027
         0.055,         0.499,         0.027
         0.056,         0.499,         0.026
         0.056,         0.501,         0.026
         0.056,         0.501,         0.025
         0.056,         0.501,         0.025
         0.057,         0.501,         0.025
         0.057,         0.509,         0.024
         0.057,         0.509,         0.023
         0.057,         0.512,         0.023
         0.058,         0.512,         0.023
         0.058,         0.515,         0.023
         0.059,         0.515,         0.020
         0.059,         0.517,         0.020
         0.060,         0.517,         0.019
         0.060,         0.520,         0.019
         0.060,         0.520,         0.019
         0.060,         0.522,         0.018
         0.061,         0.522,         0.017
         0.061,         0.528,         0.016
         0.062,         0.528,         0.015
         0.062,         0.533,         0.014
         0.062,         0.533,         0.014
         0.062,         0.538,         0.013
         0.063,         0.538,         0.013
         0.063,         0.541,         0.012
         0.063,         0.541,         0.012
         0.063,         0.544,         0.011
         0.066,         0.544,         0.010
         0.066,         0.546,         0.010
         0.066,         0.546,         0.010
         0.066,         0.549,         0.009
         0.066,         0.549,         0.009
         0.066,         0.551,         0.008
         0.067,         0.551,         0.008
         0.067,         0.554,         0.007
         0.070,         0.554,         0.004
         0.070,         0.557,         0.004
         0.071,         0.557,         0.004
         0.071,         0.559,         0.003
         0.071,         0.559,         0.003
         0.071,         0.565,         0.002
         0.072,         0.565,         0.000
         0.072,         0.567,         0.000
         0.073,         0.567,        -0.001
         0.073,         0.570,        -0.002
         0.073,         0.570,        -0.002
         0.073,         0.573,        -0.002
         0.074,         0.573,        -0.003
         0.074,         0.575,        -0.003
         0.075,         0.575,        -0.004
         0.075,         0.578,        -0.004
         0.075,         0.578,        -0.005
         0.076,         0.578,        -0.005
         0.078,         0.578,        -0.007
         0.078,         0.580,        -0.007
         0.079,         0.580,        -0.007
         0.079,         0.583,        -0.008
         0.079,         0.583,        -0.008
         0.079,         0.591,        -0.009
         0.080,         0.591,        -0.009
         0.080,         0.594,        -0.009
         0.080,         0.594,        -0.009
         0.080,         0.596,        -0.010
         0.081,         0.596,        -0.012
         0.081,         0.602,        -0.014
         0.082,         0.602,        -0.014
         0.082,         0.604,        -0.015
         0.082,         0.604,        -0.015
         0.082,         0.607,        -0.015
         0.082,         0.607,        -0.015
         0.082,         0.612,        -0.016
         0.083,         0.612,        -0.017
         0.083,         0.612,        -0.017
         0.084,         0.612,        -0.020
         0.084,         0.615,        -0.020
         0.084,         0.615,        -0.020
         0.084,         0.620,        -0.021
         0.085,         0.620,        -0.021
         0.085,         0.623,        -0.021
         0.086,         0.623,        -0.022
         0.086,         0.625,        -0.023
         0.088,         0.625,        -0.026
         0.089,         0.625,        -0.026
         0.089,         0.625,        -0.028
         0.089,         0.631,        -0.028
         0.089,         0.633,        -0.028
         0.090,         0.633,        -0.029
         0.090,         0.636,        -0.029
         0.090,         0.641,        -0.029
         0.091,         0.641,        -0.031
         0.091,         0.644,        -0.031
         0.091,         0.644,        -0.031
         0.091,         0.646,        -0.031
         0.092,         0.646,        -0.032
         0.092,         0.652,        -0.032
         0.094,         0.652,        -0.035
         0.095,         0.652,        -0.035
         0.096,         0.652,        -0.035
         0.096,         0.657,        -0.036
         0.097,         0.657,        -0.037
         0.097,         0.662,        -0.037
         0.098,         0.662,        -0.038
         0.098,         0.668,        -0.038
         0.098,         0.668,        -0.038
         0.098,         0.670,        -0.039
         0.098,         0.670,        -0.039
         0.098,         0.673,        -0.040
         0.099,         0.673,        -0.041
         0.099,         0.678,        -0.041
         0.099,         0.678,        -0.041
         0.099,         0.681,        -0.041
         0.102,         0.681,        -0.043
         0.102,         0.683,        -0.043
         0.102,         0.683,        -0.043
         0.103,         0.683,        -0.043
         0.106,         0.683,        -0.046
         0.106,         0.686,        -0.046
         0.108,         0.686,        -0.048
         0.111,         0.689,        -0.048
         0.112,         0.689,        -0.049
         0.112,         0.691,        -0.049
         0.113,         0.691,        -0.049
         0.113,         0.694,        -0.050
         0.113,         0.694,        -0.050
         0.113,         0.697,        -0.050
         0.113,         0.697,        -0.050
         0.113,         0.699,        -0.050
         0.114,         0.699,        -0.051
         0.114,         0.702,        -0.051
         0.115,         0.702,        -0.052
         0.115,         0.704,        -0.052
         0.115,         0.704,        -0.052
         0.115,         0.707,        -0.052
         0.116,         0.707,        -0.052
         0.116,         0.710,        -0.052
         0.116,         0.710,        -0.053
         0.116,         0.712,        -0.053
         0.116,         0.712,        -0.054
         0.117,         0.712,        -0.054
         0.117,         0.712,        -0.054
