false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.252
         0.000,         0.003,         0.252
         0.000,         0.008,         0.227
         0.000,         0.008,         0.217
         0.000,         0.018,         0.202
         0.001,         0.018,         0.192
         0.001,         0.031,         0.183
         0.001,         0.031,         0.183
         0.001,         0.034,         0.181
         0.001,         0.034,         0.181
         0.001,         0.039,         0.180
         0.002,         0.039,         0.179
         0.002,         0.042,         0.178
         0.002,         0.042,         0.176
         0.002,         0.065,         0.164
         0.002,         0.065,         0.162
         0.002,         0.068,         0.161
         0.002,         0.068,         0.159
         0.002,         0.073,         0.158
         0.002,         0.073,         0.157
         0.002,         0.079,         0.156
         0.002,         0.079,         0.154
         0.002,         0.084,         0.152
         0.003,         0.084,         0.151
         0.003,         0.089,         0.151
         0.003,         0.089,         0.150
         0.003,         0.092,         0.148
         0.003,         0.092,         0.145
         0.003,         0.097,         0.142
         0.004,         0.097,         0.141
         0.004,         0.099,         0.141
         0.004,         0.099,         0.137
         0.004,         0.102,         0.136
         0.005,         0.102,         0.136
         0.005,         0.105,         0.136
         0.005,         0.105,         0.136
         0.005,         0.107,         0.136
         0.006,         0.107,         0.135
         0.006,         0.110,         0.135
         0.006,         0.110,         0.135
         0.006,         0.120,         0.133
         0.006,         0.120,         0.133
         0.006,         0.128,         0.132
         0.007,         0.128,         0.126
         0.007,         0.139,         0.125
         0.007,         0.139,         0.123
         0.007,         0.144,         0.121
         0.008,         0.144,         0.120
         0.008,         0.147,         0.120
         0.008,         0.147,         0.119
         0.008,         0.152,         0.119
         0.009,         0.152,         0.118
         0.009,         0.157,         0.117
         0.009,         0.157,         0.116
         0.009,         0.160,         0.114
         0.009,         0.160,         0.113
         0.009,         0.168,         0.111
         0.010,         0.168,         0.110
         0.010,         0.175,         0.110
         0.011,         0.175,         0.107
         0.011,         0.183,         0.106
         0.011,         0.183,         0.105
         0.011,         0.188,         0.104
         0.012,         0.188,         0.103
         0.012,         0.196,         0.102
         0.012,         0.196,         0.102
         0.012,         0.202,         0.102
         0.012,         0.202,         0.099
         0.012,         0.204,         0.098
         0.013,         0.204,         0.097
         0.014,         0.209,         0.095
         0.014,         0.215,         0.094
         0.015,         0.215,         0.091
         0.015,         0.220,         0.091
         0.015,         0.220,         0.090
         0.015,         0.223,         0.090
         0.015,         0.223,         0.089
         0.015,         0.225,         0.088
         0.016,         0.225,         0.088
         0.016,         0.228,         0.088
         0.016,         0.228,         0.088
         0.016,         0.233,         0.086
         0.016,         0.233,         0.086
         0.016,         0.236,         0.086
         0.016,         0.236,         0.086
         0.016,         0.243,         0.084
         0.016,         0.243,         0.084
         0.016,         0.254,         0.084
         0.016,         0.254,         0.083
         0.016,         0.259,         0.082
         0.017,         0.259,         0.082
         0.017,         0.264,         0.081
         0.017,         0.264,         0.080
         0.017,         0.267,         0.079
         0.018,         0.267,         0.079
         0.018,         0.272,         0.079
         0.019,         0.272,         0.078
         0.019,         0.277,         0.077
         0.019,         0.277,         0.076
         0.019,         0.280,         0.076
         0.020,         0.280,         0.075
         0.020,         0.285,         0.074
         0.020,         0.285,         0.074
         0.020,         0.288,         0.074
         0.020,         0.288,         0.073
         0.020,         0.291,         0.073
         0.020,         0.291,         0.072
         0.020,         0.296,         0.072
         0.020,         0.296,         0.071
         0.020,         0.298,         0.071
         0.021,         0.298,         0.071
         0.021,         0.301,         0.071
         0.021,         0.301,         0.071
         0.021,         0.304,         0.070
         0.021,         0.304,         0.070
         0.021,         0.306,         0.070
         0.021,         0.306,         0.069
         0.021,         0.319,         0.067
         0.022,         0.319,         0.066
         0.022,         0.322,         0.066
         0.023,         0.322,         0.065
         0.023,         0.327,         0.065
         0.023,         0.327,         0.064
         0.023,         0.338,         0.063
         0.023,         0.338,         0.062
         0.023,         0.343,         0.062
         0.024,         0.343,         0.061
         0.024,         0.351,         0.060
         0.025,         0.351,         0.058
         0.025,         0.359,         0.057
         0.026,         0.359,         0.057
         0.026,         0.361,         0.057
         0.027,         0.361,         0.056
         0.027,         0.364,         0.056
         0.028,         0.364,         0.055
         0.028,         0.366,         0.055
         0.029,         0.366,         0.054
         0.029,         0.374,         0.053
         0.029,         0.374,         0.053
         0.029,         0.380,         0.053
         0.029,         0.380,         0.053
         0.029,         0.387,         0.052
         0.029,         0.387,         0.052
         0.029,         0.390,         0.052
         0.030,         0.390,         0.051
         0.030,         0.393,         0.051
         0.030,         0.393,         0.050
         0.030,         0.403,         0.050
         0.031,         0.403,         0.049
         0.031,         0.408,         0.049
         0.032,         0.408,         0.048
         0.032,         0.414,         0.048
         0.033,         0.414,         0.047
         0.033,         0.419,         0.047
         0.033,         0.419,         0.047
         0.033,         0.421,         0.046
         0.034,         0.421,         0.045
         0.034,         0.429,         0.044
         0.035,         0.429,         0.044
         0.035,         0.432,         0.044
         0.035,         0.432,         0.043
         0.035,         0.435,         0.043
         0.035,         0.435,         0.043
         0.035,         0.437,         0.042
         0.036,         0.437,         0.042
         0.036,         0.437,         0.042
         0.036,         0.442,         0.041
         0.036,         0.442,         0.041
         0.036,         0.448,         0.041
         0.039,         0.448,         0.039
         0.039,         0.453,         0.038
         0.039,         0.453,         0.037
         0.039,         0.455,         0.037
         0.040,         0.455,         0.037
         0.040,         0.458,         0.037
         0.040,         0.458,         0.037
         0.040,         0.461,         0.036
         0.040,         0.461,         0.036
         0.040,         0.463,         0.036
         0.041,         0.463,         0.036
         0.041,         0.466,         0.036
         0.043,         0.466,         0.034
         0.043,         0.469,         0.034
         0.043,         0.469,         0.034
         0.043,         0.471,         0.033
         0.043,         0.471,         0.033
         0.043,         0.474,         0.033
         0.044,         0.474,         0.032
         0.044,         0.479,         0.032
         0.045,         0.479,         0.031
         0.045,         0.482,         0.031
         0.049,         0.482,         0.028
         0.049,         0.487,         0.028
         0.050,         0.487,         0.027
         0.050,         0.490,         0.026
         0.051,         0.490,         0.026
         0.051,         0.492,         0.026
         0.051,         0.492,         0.025
         0.051,         0.495,         0.025
         0.052,         0.495,         0.024
         0.052,         0.497,         0.024
         0.052,         0.497,         0.024
         0.052,         0.500,         0.023
         0.053,         0.500,         0.023
         0.053,         0.503,         0.023
         0.053,         0.503,         0.023
         0.053,         0.505,         0.023
         0.053,         0.505,         0.023
         0.053,         0.508,         0.023
         0.054,         0.508,         0.022
         0.054,         0.510,         0.022
         0.055,         0.510,         0.021
         0.055,         0.513,         0.021
         0.056,         0.513,         0.019
         0.056,         0.516,         0.019
         0.056,         0.516,         0.019
         0.056,         0.518,         0.018
