false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.262
         0.000,         0.000,         0.262
         0.000,         0.019,         0.214
         0.000,         0.019,         0.204
         0.000,         0.037,         0.187
         0.001,         0.037,         0.179
         0.001,         0.047,         0.178
         0.002,         0.047,         0.151
         0.002,         0.047,         0.151
         0.003,         0.047,         0.146
         0.003,         0.065,         0.145
         0.003,         0.065,         0.142
         0.005,         0.065,         0.141
         0.006,         0.065,         0.141
         0.006,         0.075,         0.140
         0.007,         0.075,         0.135
         0.007,         0.093,         0.130
         0.008,         0.093,         0.124
         0.008,         0.112,         0.123
         0.008,         0.112,         0.121
         0.008,         0.121,         0.120
         0.009,         0.121,         0.120
         0.009,         0.140,         0.119
         0.009,         0.140,         0.115
         0.009,         0.150,         0.114
         0.010,         0.150,         0.111
         0.010,         0.159,         0.111
         0.012,         0.159,         0.107
         0.012,         0.168,         0.107
         0.013,         0.168,         0.105
         0.013,         0.178,         0.104
         0.015,         0.178,         0.101
         0.015,         0.187,         0.101
         0.015,         0.187,         0.099
         0.015,         0.196,         0.098
         0.016,         0.196,         0.097
         0.016,         0.206,         0.096
         0.017,         0.206,         0.093
         0.017,         0.215,         0.092
         0.017,         0.215,         0.091
         0.017,         0.224,         0.090
         0.018,         0.224,         0.089
         0.018,         0.234,         0.089
         0.021,         0.234,         0.085
         0.021,         0.243,         0.085
         0.021,         0.243,         0.085
         0.021,         0.252,         0.085
         0.022,         0.252,         0.082
         0.022,         0.262,         0.082
         0.024,         0.262,         0.079
         0.024,         0.271,         0.079
         0.026,         0.271,         0.076
         0.026,         0.290,         0.076
         0.026,         0.290,         0.075
         0.026,         0.299,         0.074
         0.027,         0.299,         0.074
         0.027,         0.318,         0.073
         0.028,         0.318,         0.072
         0.028,         0.327,         0.071
         0.029,         0.327,         0.071
         0.029,         0.327,         0.071
         0.030,         0.327,         0.070
         0.030,         0.336,         0.070
         0.031,         0.336,         0.069
         0.031,         0.346,         0.068
         0.031,         0.346,         0.067
         0.031,         0.355,         0.067
         0.032,         0.355,         0.067
         0.032,         0.364,         0.067
         0.032,         0.364,         0.066
         0.032,         0.374,         0.065
         0.034,         0.374,         0.062
         0.034,         0.383,         0.062
         0.037,         0.383,         0.056
         0.037,         0.393,         0.056
         0.038,         0.393,         0.055
         0.038,         0.402,         0.055
         0.038,         0.402,         0.054
         0.038,         0.411,         0.054
         0.045,         0.411,         0.044
         0.045,         0.421,         0.044
         0.046,         0.421,         0.043
         0.046,         0.430,         0.043
         0.047,         0.430,         0.042
         0.047,         0.439,         0.042
         0.049,         0.439,         0.040
         0.049,         0.449,         0.040
         0.049,         0.449,         0.040
         0.049,         0.458,         0.039
         0.050,         0.458,         0.038
         0.050,         0.467,         0.038
         0.050,         0.467,         0.037
         0.050,         0.477,         0.037
         0.051,         0.477,         0.036
         0.051,         0.486,         0.036
         0.059,         0.486,         0.026
         0.059,         0.505,         0.026
         0.062,         0.505,         0.023
         0.062,         0.514,         0.023
         0.072,         0.514,         0.009
         0.072,         0.523,         0.009
         0.075,         0.523,         0.005
         0.075,         0.533,         0.005
         0.076,         0.533,         0.005
         0.076,         0.542,         0.005
         0.081,         0.542,         0.000
         0.081,         0.542,        -0.000
         0.082,         0.542,        -0.001
         0.082,         0.551,        -0.002
         0.088,         0.551,        -0.006
         0.088,         0.561,        -0.006
         0.091,         0.561,        -0.009
         0.091,         0.570,        -0.009
         0.094,         0.570,        -0.011
         0.094,         0.579,        -0.011
         0.099,         0.579,        -0.016
         0.099,         0.589,        -0.016
         0.100,         0.589,        -0.017
         0.100,         0.598,        -0.018
         0.103,         0.598,        -0.020
         0.103,         0.598,        -0.020
         0.104,         0.598,        -0.021
         0.104,         0.607,        -0.021
         0.114,         0.607,        -0.029
         0.114,         0.607,        -0.029
         0.116,         0.607,        -0.031
         0.116,         0.617,        -0.031
         0.117,         0.617,        -0.031
         0.117,         0.626,        -0.031
         0.121,         0.626,        -0.036
         0.121,         0.636,        -0.036
         0.124,         0.636,        -0.039
         0.124,         0.654,        -0.039
         0.125,         0.654,        -0.039
         0.125,         0.664,        -0.039
         0.132,         0.664,        -0.044
         0.132,         0.673,        -0.044
         0.132,         0.673,        -0.044
         0.136,         0.673,        -0.047
         0.136,         0.682,        -0.047
         0.139,         0.682,        -0.049
         0.140,         0.682,        -0.049
         0.142,         0.682,        -0.050
         0.142,         0.692,        -0.050
         0.144,         0.692,        -0.052
         0.144,         0.692,        -0.052
         0.150,         0.692,        -0.056
         0.150,         0.701,        -0.056
         0.154,         0.701,        -0.058
         0.154,         0.710,        -0.059
         0.155,         0.710,        -0.059
         0.155,         0.720,        -0.059
         0.160,         0.720,        -0.062
         0.160,         0.729,        -0.062
         0.161,         0.729,        -0.063
         0.161,         0.738,        -0.063
         0.179,         0.738,        -0.073
         0.179,         0.748,        -0.073
         0.180,         0.748,        -0.074
         0.180,         0.757,        -0.074
         0.184,         0.757,        -0.076
         0.184,         0.766,        -0.076
         0.185,         0.766,        -0.077
         0.185,         0.766,        -0.077
         0.186,         0.766,        -0.077
         0.186,         0.776,        -0.077
         0.194,         0.776,        -0.083
         0.194,         0.776,        -0.083
         0.195,         0.776,        -0.083
         0.195,         0.785,        -0.083
         0.198,         0.785,        -0.084
         0.198,         0.804,        -0.084
         0.209,         0.804,        -0.089
         0.209,         0.813,        -0.089
         0.222,         0.813,        -0.095
         0.222,         0.813,        -0.095
         0.228,         0.813,        -0.098
         0.228,         0.822,        -0.098
         0.237,         0.822,        -0.102
         0.237,         0.832,        -0.102
         0.243,         0.832,        -0.104
         0.243,         0.832,        -0.104
         0.247,         0.832,        -0.106
         0.247,         0.841,        -0.106
         0.258,         0.841,        -0.109
         0.258,         0.850,        -0.109
         0.270,         0.850,        -0.115
         0.271,         0.850,        -0.115
         0.280,         0.850,        -0.119
         0.280,         0.850,        -0.119
         0.283,         0.850,        -0.120
         0.283,         0.860,        -0.120
         0.283,         0.860,        -0.121
         0.284,         0.860,        -0.121
         0.292,         0.860,        -0.124
         0.293,         0.860,        -0.124
         0.299,         0.860,        -0.127
         0.299,         0.869,        -0.127
         0.304,         0.869,        -0.129
         0.304,         0.869,        -0.129
         0.317,         0.869,        -0.134
         0.317,         0.869,        -0.134
         0.340,         0.869,        -0.142
         0.341,         0.869,        -0.142
         0.359,         0.869,        -0.148
