false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.211
         0.000,         0.000,         0.211
         0.000,         0.008,         0.188
         0.001,         0.008,         0.168
         0.001,         0.011,         0.168
         0.001,         0.011,         0.160
         0.001,         0.015,         0.158
         0.001,         0.015,         0.157
         0.001,         0.026,         0.155
         0.002,         0.026,         0.152
         0.002,         0.034,         0.152
         0.002,         0.034,         0.152
         0.002,         0.038,         0.150
         0.002,         0.038,         0.149
         0.002,         0.045,         0.148
         0.002,         0.045,         0.148
         0.002,         0.053,         0.147
         0.003,         0.053,         0.144
         0.003,         0.057,         0.143
         0.003,         0.057,         0.143
         0.003,         0.072,         0.142
         0.003,         0.072,         0.141
         0.003,         0.075,         0.141
         0.003,         0.075,         0.140
         0.003,         0.091,         0.136
         0.004,         0.091,         0.132
         0.004,         0.094,         0.132
         0.004,         0.094,         0.131
         0.004,         0.098,         0.130
         0.005,         0.098,         0.130
         0.005,         0.109,         0.129
         0.005,         0.109,         0.129
         0.005,         0.125,         0.128
         0.005,         0.125,         0.126
         0.005,         0.132,         0.125
         0.006,         0.132,         0.124
         0.006,         0.140,         0.123
         0.006,         0.140,         0.123
         0.006,         0.158,         0.120
         0.008,         0.158,         0.117
         0.008,         0.162,         0.116
         0.009,         0.162,         0.115
         0.009,         0.166,         0.115
         0.009,         0.166,         0.115
         0.009,         0.174,         0.114
         0.010,         0.174,         0.113
         0.010,         0.177,         0.112
         0.010,         0.177,         0.112
         0.010,         0.181,         0.112
         0.011,         0.181,         0.109
         0.011,         0.185,         0.109
         0.012,         0.185,         0.108
         0.012,         0.189,         0.107
         0.014,         0.189,         0.105
         0.014,         0.192,         0.105
         0.014,         0.192,         0.105
         0.014,         0.196,         0.105
         0.014,         0.196,         0.104
         0.014,         0.204,         0.103
         0.015,         0.204,         0.103
         0.015,         0.211,         0.102
         0.015,         0.211,         0.101
         0.015,         0.215,         0.100
         0.016,         0.215,         0.099
         0.016,         0.219,         0.099
         0.018,         0.219,         0.095
         0.018,         0.223,         0.095
         0.019,         0.223,         0.095
         0.019,         0.226,         0.094
         0.019,         0.226,         0.094
         0.019,         0.230,         0.094
         0.021,         0.230,         0.093
         0.021,         0.234,         0.092
         0.022,         0.234,         0.092
         0.022,         0.238,         0.092
         0.023,         0.238,         0.090
         0.023,         0.242,         0.090
         0.023,         0.242,         0.090
         0.023,         0.245,         0.090
         0.024,         0.245,         0.089
         0.024,         0.249,         0.089
         0.029,         0.249,         0.085
         0.029,         0.253,         0.085
         0.029,         0.253,         0.085
         0.029,         0.257,         0.085
         0.030,         0.257,         0.084
         0.030,         0.260,         0.084
         0.031,         0.260,         0.082
         0.031,         0.264,         0.082
         0.032,         0.264,         0.081
         0.032,         0.275,         0.081
         0.033,         0.275,         0.080
         0.033,         0.279,         0.080
         0.033,         0.279,         0.080
         0.033,         0.283,         0.080
         0.034,         0.283,         0.079
         0.034,         0.291,         0.079
         0.034,         0.291,         0.079
         0.034,         0.294,         0.079
         0.035,         0.294,         0.078
         0.035,         0.298,         0.078
         0.036,         0.298,         0.077
         0.036,         0.302,         0.077
         0.036,         0.302,         0.077
         0.036,         0.306,         0.077
         0.039,         0.306,         0.075
         0.039,         0.309,         0.075
         0.039,         0.309,         0.074
         0.039,         0.317,         0.074
         0.040,         0.317,         0.073
         0.040,         0.321,         0.073
         0.043,         0.321,         0.071
         0.043,         0.325,         0.071
         0.044,         0.325,         0.070
         0.044,         0.328,         0.070
         0.044,         0.328,         0.070
         0.044,         0.332,         0.070
         0.045,         0.332,         0.070
         0.045,         0.336,         0.070
         0.045,         0.336,         0.069
         0.045,         0.340,         0.069
         0.048,         0.340,         0.067
         0.048,         0.343,         0.067
         0.048,         0.343,         0.067
         0.048,         0.347,         0.067
         0.056,         0.347,         0.063
         0.056,         0.351,         0.063
         0.058,         0.351,         0.061
         0.058,         0.355,         0.061
         0.059,         0.355,         0.061
         0.059,         0.358,         0.061
         0.060,         0.358,         0.060
         0.060,         0.362,         0.060
         0.060,         0.362,         0.060
         0.060,         0.366,         0.060
         0.062,         0.366,         0.059
         0.062,         0.370,         0.058
         0.064,         0.370,         0.057
         0.064,         0.374,         0.057
         0.065,         0.374,         0.057
         0.065,         0.377,         0.057
         0.065,         0.377,         0.056
         0.065,         0.381,         0.056
         0.067,         0.381,         0.055
         0.067,         0.385,         0.055
         0.070,         0.385,         0.052
         0.070,         0.389,         0.052
         0.071,         0.389,         0.052
         0.071,         0.392,         0.052
         0.071,         0.392,         0.051
         0.071,         0.396,         0.051
         0.073,         0.396,         0.050
         0.073,         0.400,         0.050
         0.073,         0.400,         0.050
         0.074,         0.400,         0.050
         0.074,         0.400,         0.050
         0.074,         0.404,         0.050
         0.076,         0.404,         0.049
         0.076,         0.408,         0.049
         0.076,         0.408,         0.048
         0.076,         0.411,         0.048
         0.078,         0.411,         0.047
         0.078,         0.415,         0.047
         0.078,         0.415,         0.047
         0.078,         0.419,         0.047
         0.079,         0.419,         0.047
         0.079,         0.423,         0.047
         0.081,         0.423,         0.046
         0.081,         0.426,         0.046
         0.081,         0.426,         0.046
         0.081,         0.430,         0.046
         0.082,         0.430,         0.046
         0.082,         0.438,         0.045
         0.082,         0.438,         0.045
         0.082,         0.445,         0.045
         0.084,         0.445,         0.044
         0.084,         0.449,         0.044
         0.085,         0.449,         0.044
         0.085,         0.453,         0.044
         0.085,         0.453,         0.044
         0.085,         0.457,         0.044
         0.087,         0.457,         0.043
         0.087,         0.460,         0.043
         0.089,         0.460,         0.042
         0.089,         0.460,         0.042
         0.089,         0.464,         0.042
         0.090,         0.464,         0.042
         0.090,         0.468,         0.041
         0.090,         0.468,         0.041
         0.090,         0.472,         0.041
         0.091,         0.472,         0.041
         0.091,         0.483,         0.040
         0.092,         0.483,         0.040
         0.092,         0.487,         0.040
         0.097,         0.487,         0.039
         0.097,         0.491,         0.039
         0.097,         0.491,         0.039
         0.097,         0.494,         0.039
         0.097,         0.494,         0.038
         0.097,         0.498,         0.038
         0.100,         0.498,         0.037
         0.100,         0.502,         0.037
         0.102,         0.502,         0.036
         0.102,         0.506,         0.036
         0.106,         0.506,         0.035
         0.106,         0.509,         0.035
         0.108,         0.509,         0.034
         0.108,         0.513,         0.034
         0.109,         0.513,         0.034
         0.109,         0.517,         0.034
         0.112,         0.517,         0.032
         0.112,         0.521,         0.032
         0.112,         0.521,         0.032
         0.112,         0.528,         0.032
         0.122,         0.528,         0.028
         0.122,         0.532,         0.028
         0.123,         0.532,         0.028
         0.123,         0.536,         0.028
         0.123,         0.536,         0.028
         0.123,         0.540,         0.028
         0.123,         0.540,         0.028
         0.123,         0.543,         0.027
         0.124,         0.543,         0.027
         0.124,         0.547,         0.027
         0.128,         0.547,         0.025
         0.128,         0.551,         0.025
         0.129,         0.551,         0.025
         0.129,         0.555,         0.025
         0.132,         0.555,         0.023
         0.132,         0.558,         0.023
         0.140,         0.558,         0.019
         0.140,         0.562,         0.019
         0.142,         0.562,         0.019
         0.142,         0.566,         0.019
         0.143,         0.566,         0.018
         0.143,         0.574,         0.018
         0.144,         0.574,         0.017
         0.144,         0.577,         0.017
         0.144,         0.577,         0.017
         0.144,         0.581,         0.017
         0.147,         0.581,         0.016
         0.147,         0.589,         0.016
         0.152,         0.589,         0.013
         0.152,         0.592,         0.013
         0.155,         0.592,         0.012
         0.155,         0.596,         0.012
         0.157,         0.596,         0.011
         0.157,         0.600,         0.011
         0.161,         0.600,         0.010
         0.161,         0.604,         0.009
         0.163,         0.604,         0.009
         0.163,         0.608,         0.009
         0.166,         0.608,         0.007
         0.166,         0.611,         0.007
         0.167,         0.611,         0.006
         0.167,         0.615,         0.006
         0.168,         0.615,         0.006
         0.168,         0.619,         0.006
         0.169,         0.619,         0.005
         0.169,         0.623,         0.005
         0.171,         0.623,         0.004
         0.171,         0.626,         0.004
         0.173,         0.626,         0.003
         0.173,         0.630,         0.003
         0.174,         0.630,         0.003
         0.174,         0.634,         0.003
         0.175,         0.634,         0.003
         0.176,         0.634,         0.003
         0.177,         0.634,         0.002
         0.177,         0.638,         0.002
         0.182,         0.638,         0.001
         0.182,         0.642,         0.001
         0.184,         0.642,         0.000
         0.184,         0.645,         0.000
         0.194,         0.645,        -0.004
         0.194,         0.645,        -0.004
         0.197,         0.645,        -0.005
         0.197,         0.649,        -0.005
         0.197,         0.649,        -0.005
         0.197,         0.653,        -0.005
         0.204,         0.653,        -0.007
         0.204,         0.657,        -0.007
         0.208,         0.657,        -0.009
         0.210,         0.657,        -0.009
         0.212,         0.657,        -0.009
         0.212,         0.664,        -0.010
         0.221,         0.664,        -0.013
         0.221,         0.668,        -0.013
         0.223,         0.668,        -0.013
         0.223,         0.672,        -0.013
         0.223,         0.672,        -0.013
         0.223,         0.675,        -0.013
         0.230,         0.675,        -0.015
         0.230,         0.679,        -0.015
         0.234,         0.679,        -0.017
         0.234,         0.683,        -0.017
         0.243,         0.683,        -0.019
         0.243,         0.687,        -0.019
         0.243,         0.687,        -0.020
         0.243,         0.691,        -0.020
         0.245,         0.691,        -0.020
         0.245,         0.691,        -0.020
         0.245,         0.691,        -0.020
         0.245,         0.694,        -0.020
         0.247,         0.694,        -0.021
         0.247,         0.698,        -0.021
         0.251,         0.698,        -0.022
         0.251,         0.702,        -0.022
         0.252,         0.702,        -0.022
         0.252,         0.706,        -0.022
         0.259,         0.706,        -0.024
