false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.199
         0.000,         0.000,         0.199
         0.002,         0.000,         0.176
         0.002,         0.005,         0.174
         0.002,         0.005,         0.174
         0.002,         0.008,         0.174
         0.002,         0.008,         0.173
         0.002,         0.010,         0.171
         0.004,         0.010,         0.160
         0.004,         0.013,         0.157
         0.004,         0.013,         0.153
         0.004,         0.015,         0.153
         0.005,         0.015,         0.149
         0.005,         0.018,         0.148
         0.005,         0.018,         0.148
         0.005,         0.023,         0.146
         0.006,         0.023,         0.143
         0.006,         0.026,         0.143
         0.007,         0.026,         0.142
         0.007,         0.028,         0.141
         0.007,         0.028,         0.139
         0.007,         0.036,         0.138
         0.007,         0.036,         0.137
         0.007,         0.039,         0.137
         0.008,         0.039,         0.136
         0.008,         0.041,         0.134
         0.008,         0.041,         0.133
         0.008,         0.046,         0.131
         0.008,         0.046,         0.131
         0.008,         0.049,         0.131
         0.009,         0.049,         0.129
         0.009,         0.052,         0.129
         0.010,         0.052,         0.126
         0.010,         0.057,         0.125
         0.010,         0.057,         0.125
         0.010,         0.059,         0.124
         0.011,         0.059,         0.123
         0.011,         0.064,         0.121
         0.011,         0.064,         0.121
         0.011,         0.067,         0.120
         0.012,         0.067,         0.117
         0.012,         0.070,         0.117
         0.013,         0.070,         0.116
         0.013,         0.072,         0.116
         0.014,         0.072,         0.111
         0.014,         0.075,         0.111
         0.015,         0.075,         0.110
         0.015,         0.077,         0.110
         0.015,         0.077,         0.110
         0.015,         0.085,         0.106
         0.016,         0.085,         0.105
         0.016,         0.088,         0.105
         0.016,         0.088,         0.105
         0.016,         0.093,         0.104
         0.016,         0.093,         0.103
         0.016,         0.095,         0.103
         0.017,         0.095,         0.103
         0.017,         0.098,         0.102
         0.017,         0.098,         0.102
         0.017,         0.101,         0.102
         0.018,         0.101,         0.101
         0.018,         0.103,         0.101
         0.018,         0.103,         0.100
         0.018,         0.106,         0.100
         0.018,         0.106,         0.099
         0.018,         0.108,         0.099
         0.019,         0.108,         0.099
         0.019,         0.116,         0.098
         0.019,         0.116,         0.098
         0.019,         0.119,         0.098
         0.019,         0.119,         0.097
         0.019,         0.126,         0.097
         0.021,         0.126,         0.096
         0.021,         0.129,         0.096
         0.021,         0.129,         0.096
         0.021,         0.134,         0.094
