false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.243
         0.000,         0.003,         0.243
         0.000,         0.016,         0.211
         0.000,         0.016,         0.206
         0.000,         0.026,         0.193
         0.000,         0.026,         0.193
         0.000,         0.038,         0.183
         0.001,         0.038,         0.182
         0.001,         0.042,         0.180
         0.001,         0.042,         0.176
         0.001,         0.045,         0.173
         0.002,         0.045,         0.166
         0.002,         0.089,         0.143
         0.002,         0.089,         0.141
         0.002,         0.096,         0.137
         0.002,         0.096,         0.135
         0.002,         0.102,         0.134
         0.002,         0.102,         0.133
         0.002,         0.112,         0.132
         0.003,         0.112,         0.123
         0.003,         0.118,         0.123
         0.003,         0.118,         0.123
         0.003,         0.121,         0.122
         0.003,         0.121,         0.122
         0.003,         0.125,         0.122
         0.004,         0.125,         0.120
         0.004,         0.131,         0.118
         0.005,         0.131,         0.116
         0.005,         0.134,         0.116
         0.005,         0.134,         0.110
         0.005,         0.144,         0.108
         0.006,         0.144,         0.107
         0.006,         0.160,         0.103
         0.007,         0.160,         0.102
         0.007,         0.166,         0.101
         0.007,         0.166,         0.101
         0.007,         0.179,         0.100
         0.007,         0.179,         0.100
         0.007,         0.185,         0.098
         0.007,         0.185,         0.098
         0.007,         0.188,         0.098
         0.008,         0.188,         0.098
         0.008,         0.195,         0.097
         0.008,         0.195,         0.095
         0.008,         0.204,         0.094
         0.009,         0.204,         0.092
         0.009,         0.246,         0.084
         0.010,         0.246,         0.079
         0.010,         0.249,         0.079
         0.011,         0.249,         0.078
         0.011,         0.256,         0.077
         0.013,         0.256,         0.072
         0.013,         0.265,         0.069
         0.013,         0.265,         0.069
         0.013,         0.268,         0.068
         0.014,         0.268,         0.067
         0.014,         0.272,         0.067
         0.014,         0.272,         0.065
         0.014,         0.275,         0.065
         0.015,         0.275,         0.065
         0.015,         0.278,         0.064
         0.015,         0.278,         0.063
         0.015,         0.281,         0.063
         0.016,         0.281,         0.063
         0.016,         0.284,         0.062
         0.016,         0.284,         0.062
         0.016,         0.288,         0.062
         0.017,         0.288,         0.059
         0.017,         0.291,         0.059
         0.017,         0.291,         0.058
         0.017,         0.294,         0.058
         0.018,         0.294,         0.058
         0.018,         0.297,         0.057
         0.018,         0.297,         0.055
         0.018,         0.316,         0.053
         0.019,         0.316,         0.053
         0.019,         0.319,         0.053
         0.020,         0.319,         0.050
         0.020,         0.323,         0.050
         0.021,         0.323,         0.048
         0.021,         0.326,         0.048
         0.022,         0.326,         0.048
         0.022,         0.329,         0.047
         0.022,         0.329,         0.047
         0.022,         0.332,         0.046
         0.023,         0.332,         0.045
         0.023,         0.335,         0.045
         0.024,         0.335,         0.044
         0.024,         0.342,         0.044
         0.024,         0.342,         0.043
         0.024,         0.348,         0.042
         0.025,         0.348,         0.041
         0.025,         0.351,         0.041
         0.025,         0.351,         0.041
         0.025,         0.355,         0.041
         0.026,         0.355,         0.039
         0.026,         0.361,         0.039
         0.027,         0.361,         0.039
         0.027,         0.367,         0.039
         0.027,         0.367,         0.038
         0.027,         0.371,         0.038
         0.028,         0.371,         0.037
         0.028,         0.374,         0.036
         0.028,         0.374,         0.036
         0.028,         0.383,         0.036
         0.028,         0.383,         0.036
         0.028,         0.387,         0.035
         0.029,         0.387,         0.035
         0.029,         0.390,         0.035
         0.030,         0.390,         0.034
         0.030,         0.393,         0.034
         0.030,         0.393,         0.033
         0.030,         0.396,         0.033
         0.032,         0.396,         0.031
         0.032,         0.403,         0.031
         0.033,         0.403,         0.030
         0.033,         0.406,         0.030
         0.033,         0.406,         0.029
         0.034,         0.406,         0.029
         0.035,         0.406,         0.029
         0.035,         0.412,         0.029
         0.035,         0.412,         0.028
         0.035,         0.415,         0.028
         0.036,         0.415,         0.026
         0.036,         0.425,         0.026
         0.036,         0.425,         0.025
         0.036,         0.428,         0.025
         0.036,         0.428,         0.025
         0.036,         0.431,         0.025
         0.040,         0.431,         0.021
         0.040,         0.438,         0.021
         0.040,         0.438,         0.020
         0.040,         0.441,         0.020
         0.040,         0.441,         0.020
         0.040,         0.444,         0.020
         0.041,         0.444,         0.020
         0.041,         0.447,         0.020
         0.041,         0.447,         0.019
         0.042,         0.447,         0.019
         0.042,         0.447,         0.019
         0.042,         0.457,         0.018
         0.045,         0.457,         0.015
         0.045,         0.460,         0.015
         0.046,         0.460,         0.014
         0.046,         0.463,         0.014
         0.046,         0.463,         0.014
         0.046,         0.466,         0.014
         0.046,         0.466,         0.014
         0.046,         0.470,         0.014
         0.047,         0.470,         0.013
         0.047,         0.470,         0.013
         0.047,         0.470,         0.013
         0.048,         0.470,         0.013
         0.048,         0.473,         0.013
         0.048,         0.473,         0.012
         0.048,         0.476,         0.012
         0.049,         0.476,         0.012
         0.049,         0.479,         0.012
         0.049,         0.479,         0.011
         0.049,         0.482,         0.011
         0.049,         0.482,         0.011
         0.049,         0.486,         0.011
         0.050,         0.486,         0.010
         0.051,         0.486,         0.010
         0.054,         0.486,         0.007
         0.054,         0.492,         0.007
         0.054,         0.492,         0.007
         0.054,         0.498,         0.007
         0.054,         0.498,         0.006
         0.054,         0.502,         0.006
         0.055,         0.502,         0.006
         0.055,         0.505,         0.006
         0.056,         0.505,         0.005
         0.056,         0.508,         0.005
         0.056,         0.508,         0.005
         0.056,         0.514,         0.004
         0.057,         0.514,         0.004
         0.057,         0.518,         0.004
         0.057,         0.518,         0.004
         0.057,         0.524,         0.004
         0.058,         0.524,         0.003
         0.058,         0.527,         0.003
         0.060,         0.527,         0.001
         0.060,         0.527,         0.000
         0.060,         0.527,         0.000
         0.060,         0.530,        -0.000
         0.063,         0.530,        -0.002
         0.063,         0.534,        -0.002
         0.063,         0.534,        -0.003
         0.063,         0.537,        -0.003
         0.063,         0.537,        -0.003
         0.063,         0.540,        -0.003
         0.065,         0.540,        -0.004
         0.065,         0.543,        -0.004
         0.065,         0.543,        -0.005
         0.065,         0.546,        -0.005
         0.066,         0.546,        -0.006
         0.066,         0.550,        -0.007
         0.067,         0.550,        -0.007
         0.067,         0.553,        -0.007
         0.068,         0.553,        -0.008
         0.068,         0.559,        -0.008
         0.069,         0.559,        -0.009
         0.069,         0.562,        -0.009
         0.070,         0.562,        -0.009
         0.070,         0.565,        -0.010
         0.071,         0.565,        -0.010
         0.072,         0.565,        -0.011
         0.072,         0.565,        -0.011
         0.072,         0.569,        -0.011
         0.073,         0.569,        -0.012
         0.073,         0.572,        -0.012
         0.074,         0.572,        -0.013
         0.074,         0.581,        -0.014
         0.074,         0.581,        -0.014
         0.074,         0.585,        -0.014
         0.075,         0.585,        -0.015
         0.075,         0.588,        -0.015
         0.075,         0.588,        -0.015
         0.075,         0.591,        -0.016
         0.077,         0.591,        -0.018
         0.078,         0.591,        -0.018
         0.082,         0.591,        -0.021
         0.082,         0.591,        -0.022
         0.084,         0.591,        -0.023
         0.084,         0.594,        -0.023
         0.086,         0.594,        -0.024
         0.086,         0.597,        -0.024
         0.086,         0.597,        -0.024
         0.086,         0.604,        -0.024
         0.092,         0.604,        -0.027
         0.092,         0.607,        -0.027
         0.093,         0.607,        -0.028
         0.093,         0.607,        -0.028
         0.094,         0.607,        -0.028
         0.094,         0.613,        -0.028
         0.097,         0.613,        -0.030
         0.097,         0.617,        -0.030
         0.098,         0.617,        -0.031
         0.098,         0.620,        -0.031
         0.100,         0.620,        -0.032
         0.100,         0.623,        -0.032
         0.101,         0.623,        -0.033
         0.101,         0.626,        -0.033
         0.104,         0.626,        -0.035
         0.104,         0.629,        -0.035
         0.104,         0.629,        -0.035
         0.104,         0.633,        -0.035
         0.108,         0.633,        -0.038
         0.108,         0.636,        -0.038
         0.109,         0.636,        -0.038
         0.109,         0.639,        -0.038
         0.110,         0.639,        -0.038
         0.110,         0.642,        -0.038
         0.115,         0.642,        -0.041
         0.115,         0.645,        -0.041
         0.117,         0.645,        -0.043
         0.117,         0.649,        -0.043
         0.118,         0.649,        -0.043
         0.118,         0.652,        -0.043
         0.120,         0.652,        -0.044
         0.120,         0.655,        -0.044
         0.120,         0.655,        -0.044
         0.120,         0.658,        -0.044
         0.122,         0.658,        -0.045
         0.122,         0.661,        -0.045
         0.125,         0.661,        -0.046
         0.125,         0.665,        -0.047
         0.129,         0.665,        -0.048
         0.129,         0.668,        -0.048
         0.130,         0.668,        -0.049
         0.130,         0.671,        -0.049
         0.132,         0.671,        -0.050
         0.132,         0.674,        -0.050
         0.133,         0.674,        -0.051
         0.133,         0.677,        -0.051
         0.134,         0.677,        -0.051
         0.134,         0.681,        -0.051
         0.136,         0.681,        -0.051
         0.136,         0.684,        -0.051
         0.137,         0.684,        -0.052
         0.137,         0.687,        -0.052
         0.137,         0.687,        -0.052
         0.137,         0.690,        -0.052
         0.140,         0.690,        -0.054
         0.140,         0.693,        -0.054
         0.143,         0.693,        -0.056
         0.143,         0.696,        -0.056
         0.147,         0.696,        -0.057
         0.147,         0.700,        -0.057
         0.151,         0.700,        -0.059
         0.151,         0.703,        -0.059
         0.153,         0.703,        -0.060
         0.153,         0.706,        -0.060
         0.153,         0.706,        -0.060
         0.153,         0.709,        -0.060
         0.155,         0.709,        -0.061
         0.155,         0.712,        -0.061
         0.155,         0.712,        -0.061
         0.155,         0.716,        -0.061
         0.157,         0.716,        -0.061
         0.157,         0.719,        -0.061
         0.165,         0.719,        -0.066
         0.165,         0.722,        -0.066
         0.168,         0.722,        -0.068
         0.168,         0.725,        -0.068
         0.170,         0.725,        -0.069
         0.170,         0.728,        -0.069
         0.171,         0.728,        -0.070
         0.171,         0.732,        -0.070
         0.174,         0.732,        -0.071
         0.174,         0.735,        -0.072
         0.174,         0.735,        -0.072
         0.174,         0.738,        -0.072
         0.175,         0.738,        -0.072
         0.175,         0.741,        -0.073
         0.176,         0.741,        -0.074
         0.176,         0.744,        -0.074
         0.178,         0.744,        -0.074
         0.178,         0.748,        -0.074
         0.179,         0.748,        -0.074
         0.179,         0.751,        -0.074
         0.180,         0.751,        -0.075
         0.181,         0.751,        -0.075
         0.181,         0.751,        -0.075
         0.181,         0.754,        -0.075
         0.182,         0.754,        -0.075
         0.182,         0.754,        -0.076
         0.182,         0.757,        -0.076
         0.186,         0.757,        -0.077
         0.186,         0.760,        -0.077
         0.187,         0.760,        -0.078
         0.187,         0.764,        -0.078
         0.188,         0.764,        -0.078
         0.188,         0.767,        -0.078
         0.191,         0.767,        -0.080
         0.191,         0.770,        -0.080
         0.194,         0.770,        -0.081
         0.194,         0.773,        -0.081
         0.197,         0.773,        -0.082
         0.197,         0.776,        -0.082
         0.200,         0.776,        -0.083
         0.200,         0.776,        -0.084
         0.203,         0.776,        -0.085
         0.203,         0.780,        -0.085
         0.216,         0.780,        -0.090
         0.216,         0.783,        -0.090
         0.221,         0.783,        -0.092
         0.221,         0.786,        -0.092
         0.227,         0.786,        -0.094
         0.227,         0.789,        -0.094
         0.229,         0.789,        -0.095
         0.229,         0.792,        -0.095
         0.237,         0.792,        -0.097
         0.237,         0.796,        -0.097
         0.243,         0.796,        -0.100
         0.243,         0.799,        -0.101
         0.244,         0.799,        -0.101
         0.244,         0.802,        -0.101
         0.245,         0.802,        -0.101
         0.245,         0.805,        -0.101
         0.248,         0.805,        -0.102
         0.248,         0.808,        -0.102
         0.251,         0.808,        -0.103
         0.251,         0.812,        -0.103
         0.257,         0.812,        -0.105
         0.257,         0.815,        -0.105
         0.257,         0.815,        -0.105
         0.257,         0.818,        -0.105
         0.258,         0.818,        -0.106
         0.258,         0.821,        -0.106
         0.260,         0.821,        -0.106
         0.260,         0.824,        -0.106
         0.262,         0.824,        -0.107
         0.262,         0.827,        -0.107
         0.266,         0.827,        -0.108
         0.266,         0.831,        -0.108
         0.272,         0.831,        -0.110
         0.272,         0.834,        -0.110
         0.273,         0.834,        -0.110
         0.273,         0.837,        -0.111
         0.280,         0.837,        -0.113
         0.280,         0.840,        -0.113
         0.299,         0.840,        -0.119
         0.299,         0.843,        -0.119
         0.299,         0.843,        -0.119
         0.299,         0.847,        -0.119
         0.303,         0.847,        -0.120
         0.303,         0.850,        -0.120
         0.308,         0.850,        -0.121
         0.308,         0.853,        -0.121
         0.310,         0.853,        -0.122
         0.310,         0.856,        -0.122
         0.310,         0.856,        -0.122
         0.310,         0.859,        -0.122
         0.313,         0.859,        -0.123
         0.313,         0.863,        -0.123
         0.321,         0.863,        -0.125
         0.321,         0.866,        -0.126
         0.322,         0.866,        -0.126
         0.322,         0.869,        -0.126
         0.323,         0.869,        -0.126
         0.323,         0.872,        -0.126
         0.325,         0.872,        -0.127
         0.325,         0.875,        -0.127
         0.327,         0.875,        -0.128
         0.327,         0.879,        -0.128
         0.332,         0.879,        -0.129
         0.332,         0.882,        -0.129
         0.350,         0.882,        -0.134
         0.350,         0.885,        -0.134
         0.368,         0.885,        -0.140
         0.368,         0.888,        -0.140
         0.376,         0.888,        -0.142
         0.376,         0.891,        -0.142
         0.377,         0.891,        -0.142
         0.377,         0.895,        -0.142
         0.381,         0.895,        -0.143
         0.381,         0.898,        -0.143
         0.388,         0.898,        -0.145
         0.388,         0.901,        -0.145
         0.389,         0.901,        -0.145
         0.389,         0.904,        -0.145
         0.394,         0.904,        -0.146
         0.394,         0.907,        -0.146
         0.396,         0.907,        -0.147
         0.396,         0.911,        -0.147
         0.401,         0.911,        -0.148
         0.402,         0.911,        -0.148
         0.402,         0.914,        -0.148
         0.410,         0.914,        -0.150
         0.410,         0.917,        -0.150
         0.415,         0.917,        -0.152
         0.416,         0.917,        -0.152
         0.428,         0.917,        -0.155
         0.428,         0.920,        -0.155
         0.430,         0.920,        -0.156
         0.430,         0.923,        -0.156
         0.435,         0.923,        -0.157
         0.436,         0.923,        -0.157
         0.441,         0.923,        -0.158
         0.441,         0.927,        -0.158
         0.458,         0.927,        -0.163
         0.458,         0.930,        -0.163
         0.475,         0.930,        -0.168
         0.475,         0.933,        -0.168
         0.479,         0.933,        -0.169
         0.479,         0.936,        -0.169
         0.483,         0.936,        -0.170
         0.483,         0.936,        -0.170
         0.484,         0.936,        -0.171
         0.484,         0.939,        -0.171
         0.499,         0.939,        -0.174
         0.499,         0.939,        -0.174
         0.500,         0.939,        -0.174
         0.500,         0.942,        -0.174
         0.522,         0.942,        -0.180
         0.522,         0.942,        -0.180
         0.525,         0.942,        -0.180
         0.525,         0.946,        -0.180
         0.525,         0.946,        -0.180
         0.525,         0.946,        -0.180
         0.537,         0.946,        -0.183
         0.537,         0.949,        -0.183
         0.537,         0.949,        -0.184
         0.537,         0.952,        -0.184
         0.547,         0.952,        -0.186
         0.547,         0.955,        -0.186
         0.547,         0.955,        -0.187
         0.547,         0.958,        -0.187
         0.556,         0.958,        -0.189
         0.556,         0.962,        -0.189
         0.566,         0.962,        -0.192
         0.566,         0.965,        -0.192
         0.573,         0.965,        -0.194
         0.573,         0.968,        -0.194
         0.574,         0.968,        -0.195
         0.574,         0.968,        -0.195
         0.575,         0.968,        -0.195
         0.575,         0.971,        -0.195
         0.582,         0.971,        -0.197
         0.582,         0.971,        -0.197
         0.602,         0.971,        -0.203
         0.602,         0.971,        -0.203
         0.616,         0.971,        -0.207
         0.616,         0.974,        -0.207
         0.619,         0.974,        -0.209
         0.619,         0.974,        -0.209
         0.630,         0.974,        -0.212
         0.630,         0.974,        -0.212
         0.659,         0.974,        -0.221
         0.660,         0.974,        -0.221
         0.684,         0.974,        -0.230
         0.684,         0.978,        -0.230
         0.714,         0.978,        -0.240
         0.715,         0.978,        -0.240
         0.724,         0.978,        -0.244
         0.725,         0.978,        -0.244
         0.727,         0.978,        -0.245
         0.727,         0.981,        -0.245
         0.730,         0.981,        -0.246
         0.730,         0.981,        -0.246
         0.743,         0.981,        -0.250
         0.745,         0.981,        -0.250
         0.754,         0.981,        -0.254
         0.754,         0.984,        -0.254
         0.761,         0.984,        -0.256
         0.761,         0.987,        -0.257
         0.769,         0.987,        -0.261
         0.770,         0.987,        -0.261
         0.772,         0.987,        -0.262
         0.773,         0.987,        -0.262
         0.773,         0.987,        -0.262
         0.773,         0.987,        -0.262
         0.782,         0.987,        -0.266
         0.783,         0.987,        -0.266
         0.798,         0.987,        -0.273
         0.798,         0.987,        -0.273
         0.804,         0.987,        -0.276
         0.805,         0.987,        -0.276
         0.807,         0.987,        -0.277
         0.807,         0.987,        -0.277
         0.818,         0.987,        -0.281
         0.819,         0.987,        -0.281
         0.819,         0.987,        -0.281
         0.819,         0.987,        -0.281
         0.829,         0.987,        -0.287
         0.847,         0.987,        -0.287
         0.851,         0.987,        -0.288
         0.852,         0.987,        -0.288
         0.858,         0.987,        -0.292
         0.859,         0.987,        -0.292
         0.861,         0.987,        -0.293
         0.861,         0.987,        -0.293
         0.876,         0.987,        -0.301
         0.876,         0.990,        -0.301
         0.877,         0.990,        -0.302
         0.877,         0.990,        -0.302
         0.883,         0.990,        -0.306
         0.883,         0.994,        -0.306
         0.888,         0.994,        -0.309
         0.889,         0.994,        -0.309
         0.900,         0.994,        -0.315
         0.900,         0.994,        -0.315
         0.901,         0.994,        -0.316
         0.901,         0.994,        -0.316
         0.903,         0.994,        -0.318
         0.904,         0.994,        -0.318
         0.921,         0.994,        -0.332
         0.921,         0.997,        -0.332
         0.924,         0.997,        -0.334
         0.924,         0.997,        -0.334
         0.931,         0.997,        -0.340
         0.931,         0.997,        -0.340
         0.950,         0.997,        -0.360
         0.950,         0.997,        -0.360
         0.962,         0.997,        -0.373
         0.963,         0.997,        -0.373
         0.963,         0.997,        -0.374
         0.965,         0.997,        -0.375
         0.975,         0.997,        -0.391
         0.978,         0.997,        -0.392
         0.979,         0.997,        -0.393
         0.979,         0.997,        -0.395
         0.987,         0.997,        -0.413
         0.988,         0.997,        -0.413
         0.992,         0.997,        -0.433
         0.992,         1.000,        -0.438
         1.000,         1.000,        -0.515
