false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.884
         0.000,         0.003,         0.884
         0.000,         0.071,         0.839
         0.000,         0.077,         0.838
         0.000,         0.102,         0.826
         0.000,         0.107,         0.826
         0.000,         0.212,         0.790
         0.000,         0.212,         0.790
         0.000,         0.311,         0.761
         0.000,         0.311,         0.760
         0.000,         0.332,         0.756
         0.001,         0.332,         0.756
         0.001,         0.352,         0.751
         0.001,         0.352,         0.751
         0.001,         0.362,         0.750
         0.001,         0.362,         0.750
         0.001,         0.398,         0.740
         0.001,         0.398,         0.740
         0.001,         0.406,         0.738
         0.002,         0.406,         0.738
         0.002,         0.413,         0.735
         0.002,         0.418,         0.734
         0.002,         0.464,         0.725
         0.002,         0.464,         0.724
         0.002,         0.469,         0.722
         0.002,         0.469,         0.722
         0.002,         0.531,         0.709
         0.002,         0.531,         0.708
         0.002,         0.559,         0.703
         0.002,         0.559,         0.703
         0.002,         0.564,         0.702
         0.002,         0.564,         0.701
         0.002,         0.574,         0.696
         0.003,         0.574,         0.695
         0.003,         0.599,         0.693
         0.003,         0.599,         0.692
         0.003,         0.607,         0.690
         0.003,         0.607,         0.690
         0.003,         0.625,         0.684
         0.003,         0.625,         0.684
         0.003,         0.633,         0.680
         0.004,         0.633,         0.679
         0.004,         0.638,         0.677
         0.004,         0.638,         0.676
         0.004,         0.640,         0.676
         0.004,         0.640,         0.675
         0.004,         0.658,         0.672
         0.004,         0.658,         0.672
         0.004,         0.666,         0.671
         0.004,         0.666,         0.670
         0.004,         0.673,         0.667
         0.005,         0.673,         0.664
         0.005,         0.676,         0.663
         0.005,         0.676,         0.662
         0.005,         0.691,         0.658
         0.006,         0.691,         0.658
         0.006,         0.694,         0.658
         0.006,         0.694,         0.656
         0.006,         0.702,         0.656
         0.006,         0.702,         0.655
         0.006,         0.704,         0.655
         0.006,         0.704,         0.655
         0.006,         0.714,         0.654
         0.007,         0.714,         0.650
         0.007,         0.732,         0.646
         0.007,         0.732,         0.646
         0.007,         0.735,         0.645
         0.008,         0.735,         0.644
         0.008,         0.740,         0.644
         0.008,         0.740,         0.643
         0.008,         0.742,         0.643
         0.009,         0.742,         0.641
         0.009,         0.745,         0.641
         0.009,         0.745,         0.641
         0.009,         0.750,         0.639
         0.009,         0.750,         0.639
         0.009,         0.753,         0.639
         0.009,         0.753,         0.639
         0.009,         0.755,         0.638
         0.009,         0.755,         0.637
         0.009,         0.760,         0.636
         0.010,         0.760,         0.635
         0.010,         0.763,         0.635
         0.010,         0.763,         0.633
         0.010,         0.768,         0.632
         0.010,         0.768,         0.631
         0.010,         0.773,         0.631
         0.011,         0.773,         0.630
         0.011,         0.778,         0.630
         0.011,         0.778,         0.630
         0.011,         0.786,         0.629
         0.012,         0.786,         0.627
         0.012,         0.796,         0.626
         0.012,         0.796,         0.625
         0.012,         0.801,         0.623
         0.013,         0.801,         0.623
         0.013,         0.804,         0.622
         0.013,         0.804,         0.622
         0.013,         0.806,         0.622
         0.014,         0.806,         0.619
         0.014,         0.809,         0.619
         0.014,         0.809,         0.619
         0.014,         0.811,         0.619
         0.014,         0.811,         0.618
         0.014,         0.821,         0.618
         0.015,         0.821,         0.616
         0.015,         0.824,         0.615
         0.016,         0.824,         0.613
         0.016,         0.829,         0.611
         0.016,         0.829,         0.611
         0.016,         0.832,         0.611
         0.016,         0.832,         0.610
         0.016,         0.839,         0.609
         0.017,         0.839,         0.607
         0.017,         0.849,         0.606
         0.017,         0.849,         0.606
         0.017,         0.852,         0.606
         0.017,         0.852,         0.606
         0.017,         0.857,         0.605
         0.018,         0.857,         0.603
         0.018,         0.860,         0.603
         0.019,         0.860,         0.603
         0.019,         0.862,         0.602
         0.019,         0.862,         0.602
         0.019,         0.865,         0.602
         0.019,         0.865,         0.602
         0.019,         0.872,         0.600
         0.021,         0.872,         0.593
         0.021,         0.875,         0.593
         0.022,         0.875,         0.591
         0.022,         0.878,         0.591
         0.022,         0.878,         0.591
         0.022,         0.880,         0.590
         0.022,         0.880,         0.590
         0.022,         0.883,         0.589
         0.023,         0.883,         0.588
         0.023,         0.885,         0.588
         0.025,         0.885,         0.581
         0.025,         0.888,         0.580
         0.026,         0.888,         0.580
         0.026,         0.890,         0.579
         0.027,         0.890,         0.578
         0.027,         0.893,         0.578
         0.027,         0.893,         0.576
         0.027,         0.895,         0.576
         0.029,         0.895,         0.572
         0.029,         0.901,         0.570
         0.029,         0.901,         0.570
         0.029,         0.903,         0.569
         0.029,         0.903,         0.568
         0.029,         0.906,         0.567
         0.030,         0.906,         0.566
         0.030,         0.908,         0.566
         0.030,         0.908,         0.566
         0.030,         0.916,         0.565
         0.032,         0.916,         0.561
         0.032,         0.918,         0.561
         0.033,         0.918,         0.561
         0.033,         0.921,         0.560
         0.037,         0.921,         0.556
         0.037,         0.923,         0.556
         0.038,         0.923,         0.555
         0.038,         0.926,         0.555
         0.038,         0.926,         0.554
         0.039,         0.926,         0.554
         0.039,         0.926,         0.554
         0.039,         0.929,         0.553
         0.042,         0.929,         0.548
         0.042,         0.931,         0.548
         0.043,         0.931,         0.548
         0.043,         0.936,         0.547
         0.043,         0.936,         0.547
         0.043,         0.939,         0.547
         0.045,         0.939,         0.543
         0.045,         0.941,         0.543
         0.046,         0.941,         0.541
         0.046,         0.944,         0.540
         0.048,         0.944,         0.539
         0.048,         0.946,         0.539
         0.053,         0.946,         0.531
         0.053,         0.949,         0.530
         0.053,         0.949,         0.530
         0.053,         0.952,         0.530
         0.054,         0.952,         0.529
         0.054,         0.954,         0.528
         0.060,         0.954,         0.521
         0.061,         0.954,         0.520
         0.063,         0.954,         0.518
         0.064,         0.954,         0.518
         0.066,         0.954,         0.515
         0.066,         0.957,         0.515
         0.072,         0.957,         0.509
         0.072,         0.959,         0.509
         0.073,         0.959,         0.507
         0.073,         0.962,         0.507
         0.076,         0.962,         0.505
         0.076,         0.967,         0.504
         0.078,         0.967,         0.503
         0.078,         0.969,         0.503
         0.082,         0.969,         0.500
         0.082,         0.972,         0.500
         0.083,         0.972,         0.499
         0.083,         0.974,         0.499
         0.094,         0.974,         0.490
         0.094,         0.977,         0.489
         0.094,         0.977,         0.489
         0.094,         0.980,         0.489
         0.096,         0.980,         0.487
         0.096,         0.982,         0.487
         0.099,         0.982,         0.485
         0.099,         0.985,         0.485
         0.110,         0.985,         0.476
         0.110,         0.987,         0.476
         0.111,         0.987,         0.475
         0.111,         0.990,         0.475
         0.121,         0.990,         0.468
         0.121,         0.992,         0.468
         0.147,         0.992,         0.455
         0.147,         0.995,         0.455
         0.167,         0.995,         0.445
         0.167,         0.997,         0.445
         0.285,         0.997,         0.391
         0.286,         0.997,         0.391
         0.304,         0.997,         0.384
         0.305,         0.997,         0.384
         0.332,         0.997,         0.373
         0.332,         1.000,         0.373
         0.340,         1.000,         0.370
         0.341,         1.000,         0.370
         0.376,         1.000,         0.359
         0.376,         1.000,         0.359
         0.454,         1.000,         0.331
         0.454,         1.000,         0.331
         0.510,         1.000,         0.312
         0.510,         1.000,         0.312
         0.526,         1.000,         0.306
         0.526,         1.000,         0.306
         0.578,         1.000,         0.287
         0.578,         1.000,         0.287
         0.594,         1.000,         0.282
         0.595,         1.000,         0.282
         0.665,         1.000,         0.255
         0.665,         1.000,         0.255
         0.667,         1.000,         0.254
         0.667,         1.000,         0.254
         0.698,         1.000,         0.243
         0.699,         1.000,         0.243
         0.717,         1.000,         0.236
         0.717,         1.000,         0.236
         0.721,         1.000,         0.234
         0.721,         1.000,         0.234
         0.734,         1.000,         0.228
         0.734,         1.000,         0.228
         0.742,         1.000,         0.226
         0.742,         1.000,         0.226
         0.761,         1.000,         0.217
         0.761,         1.000,         0.217
         0.775,         1.000,         0.212
         0.776,         1.000,         0.212
         0.778,         1.000,         0.212
         0.778,         1.000,         0.212
         0.784,         1.000,         0.208
         0.785,         1.000,         0.208
         0.790,         1.000,         0.205
         0.791,         1.000,         0.205
         0.795,         1.000,         0.203
         0.796,         1.000,         0.203
         0.809,         1.000,         0.198
         0.809,         1.000,         0.198
         0.819,         1.000,         0.193
         0.822,         1.000,         0.193
         0.835,         1.000,         0.186
         0.835,         1.000,         0.186
         0.856,         1.000,         0.175
         0.856,         1.000,         0.175
         0.862,         1.000,         0.172
         0.862,         1.000,         0.172
         0.867,         1.000,         0.168
         0.868,         1.000,         0.168
         0.871,         1.000,         0.165
         0.872,         1.000,         0.165
         0.877,         1.000,         0.163
         0.879,         1.000,         0.163
         0.884,         1.000,         0.160
         0.885,         1.000,         0.160
         0.887,         1.000,         0.157
         0.888,         1.000,         0.157
         0.892,         1.000,         0.154
         0.893,         1.000,         0.154
         0.902,         1.000,         0.147
         0.903,         1.000,         0.147
         0.903,         1.000,         0.147
         0.904,         1.000,         0.146
         0.905,         1.000,         0.146
         0.905,         1.000,         0.145
         0.905,         1.000,         0.145
         0.906,         1.000,         0.145
         0.910,         1.000,         0.141
         0.928,         1.000,         0.141
         0.930,         1.000,         0.140
         0.931,         1.000,         0.140
         0.931,         1.000,         0.140
         0.931,         1.000,         0.139
         0.943,         1.000,         0.131
         0.944,         1.000,         0.131
         0.952,         1.000,         0.122
         0.953,         1.000,         0.122
         0.956,         1.000,         0.120
         0.957,         1.000,         0.119
         0.960,         1.000,         0.116
         0.961,         1.000,         0.116
         0.965,         1.000,         0.111
         0.965,         1.000,         0.111
         0.969,         1.000,         0.107
         0.972,         1.000,         0.107
         0.976,         1.000,         0.102
         0.977,         1.000,         0.102
         0.983,         1.000,         0.092
         0.983,         1.000,         0.092
         0.984,         1.000,         0.089
         0.985,         1.000,         0.088
         0.991,         1.000,         0.075
         0.991,         1.000,         0.075
         1.000,         1.000,         0.016
