false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.824
         0.000,         0.000,         0.824
         0.000,         0.005,         0.812
         0.000,         0.005,         0.806
         0.001,         0.008,         0.803
         0.001,         0.010,         0.802
         0.001,         0.010,         0.793
         0.001,         0.013,         0.792
         0.002,         0.013,         0.782
         0.002,         0.015,         0.781
         0.002,         0.015,         0.776
         0.002,         0.018,         0.775
         0.004,         0.018,         0.764
         0.004,         0.021,         0.764
         0.005,         0.021,         0.761
         0.005,         0.021,         0.757
         0.007,         0.021,         0.746
         0.007,         0.023,         0.743
         0.007,         0.023,         0.741
         0.007,         0.031,         0.739
         0.008,         0.031,         0.739
         0.008,         0.033,         0.738
         0.009,         0.033,         0.737
         0.009,         0.038,         0.737
         0.009,         0.041,         0.736
         0.009,         0.041,         0.735
         0.009,         0.049,         0.735
         0.010,         0.049,         0.735
         0.010,         0.051,         0.733
         0.011,         0.051,         0.731
         0.011,         0.054,         0.731
         0.012,         0.054,         0.729
         0.012,         0.056,         0.727
         0.012,         0.056,         0.727
         0.012,         0.059,         0.727
         0.012,         0.059,         0.726
         0.012,         0.059,         0.725
         0.013,         0.059,         0.722
         0.013,         0.064,         0.722
         0.015,         0.064,         0.716
         0.015,         0.067,         0.715
         0.015,         0.067,         0.715
         0.015,         0.074,         0.714
         0.017,         0.074,         0.708
         0.017,         0.077,         0.708
         0.017,         0.077,         0.705
         0.020,         0.085,         0.705
         0.020,         0.085,         0.705
         0.020,         0.087,         0.705
         0.021,         0.087,         0.704
         0.021,         0.090,         0.704
         0.022,         0.090,         0.703
         0.022,         0.090,         0.703
         0.022,         0.090,         0.703
         0.022,         0.090,         0.702
         0.023,         0.095,         0.702
         0.023,         0.095,         0.701
         0.023,         0.097,         0.700
         0.024,         0.097,         0.699
         0.024,         0.097,         0.699
         0.026,         0.097,         0.694
         0.026,         0.097,         0.693
         0.028,         0.097,         0.692
         0.028,         0.100,         0.692
         0.029,         0.100,         0.688
         0.030,         0.100,         0.687
         0.031,         0.100,         0.686
         0.031,         0.100,         0.686
         0.031,         0.100,         0.686
         0.031,         0.103,         0.686
         0.032,         0.103,         0.685
         0.032,         0.110,         0.685
         0.033,         0.110,         0.684
         0.033,         0.113,         0.684
         0.034,         0.113,         0.683
         0.034,         0.115,         0.683
         0.034,         0.115,         0.681
         0.034,         0.118,         0.680
         0.035,         0.118,         0.679
         0.035,         0.121,         0.679
