false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.885
         0.000,         0.005,         0.885
         0.000,         0.161,         0.817
         0.000,         0.161,         0.817
         0.000,         0.190,         0.804
         0.000,         0.190,         0.803
         0.000,         0.237,         0.788
         0.001,         0.237,         0.788
         0.001,         0.246,         0.786
         0.001,         0.246,         0.785
         0.001,         0.280,         0.777
         0.001,         0.280,         0.771
         0.001,         0.284,         0.770
         0.001,         0.284,         0.770
         0.001,         0.289,         0.769
         0.002,         0.289,         0.767
         0.002,         0.308,         0.758
         0.002,         0.308,         0.758
         0.002,         0.327,         0.752
         0.002,         0.327,         0.748
         0.002,         0.341,         0.747
         0.003,         0.341,         0.745
         0.003,         0.360,         0.744
         0.003,         0.360,         0.744
         0.003,         0.365,         0.743
         0.003,         0.365,         0.742
         0.003,         0.389,         0.738
         0.004,         0.389,         0.738
         0.004,         0.398,         0.736
         0.004,         0.398,         0.734
         0.004,         0.417,         0.732
         0.005,         0.417,         0.729
         0.005,         0.422,         0.729
         0.005,         0.422,         0.727
         0.005,         0.436,         0.725
         0.005,         0.436,         0.725
         0.005,         0.441,         0.720
         0.005,         0.441,         0.720
         0.005,         0.469,         0.717
         0.007,         0.469,         0.711
         0.007,         0.479,         0.710
         0.008,         0.479,         0.710
         0.008,         0.498,         0.708
         0.008,         0.498,         0.708
         0.008,         0.502,         0.705
         0.008,         0.502,         0.705
         0.008,         0.512,         0.703
         0.008,         0.512,         0.703
         0.008,         0.517,         0.701
         0.009,         0.517,         0.700
         0.009,         0.526,         0.699
         0.009,         0.526,         0.699
         0.009,         0.531,         0.699
         0.009,         0.531,         0.699
         0.009,         0.536,         0.698
         0.009,         0.536,         0.696
         0.009,         0.540,         0.695
         0.010,         0.540,         0.694
         0.010,         0.545,         0.694
         0.010,         0.545,         0.693
         0.010,         0.550,         0.692
         0.011,         0.550,         0.689
         0.011,         0.555,         0.689
         0.011,         0.555,         0.687
         0.011,         0.569,         0.686
         0.012,         0.569,         0.685
         0.012,         0.573,         0.685
         0.012,         0.573,         0.683
         0.012,         0.588,         0.681
         0.013,         0.588,         0.680
         0.013,         0.592,         0.679
         0.014,         0.592,         0.676
         0.014,         0.597,         0.676
         0.014,         0.597,         0.675
         0.014,         0.602,         0.674
         0.014,         0.602,         0.673
         0.014,         0.607,         0.671
         0.015,         0.607,         0.671
         0.015,         0.611,         0.670
         0.017,         0.611,         0.666
         0.017,         0.616,         0.666
         0.017,         0.616,         0.666
         0.017,         0.621,         0.666
         0.018,         0.621,         0.663
         0.018,         0.626,         0.663
         0.018,         0.626,         0.663
         0.018,         0.630,         0.663
         0.019,         0.630,         0.661
         0.019,         0.635,         0.661
         0.019,         0.635,         0.660
         0.019,         0.640,         0.660
         0.020,         0.640,         0.660
         0.020,         0.645,         0.659
         0.020,         0.645,         0.659
         0.020,         0.649,         0.659
         0.021,         0.649,         0.658
         0.021,         0.654,         0.658
         0.021,         0.654,         0.656
         0.021,         0.659,         0.656
         0.024,         0.659,         0.651
         0.024,         0.668,         0.650
         0.024,         0.668,         0.649
         0.024,         0.673,         0.649
         0.025,         0.673,         0.647
         0.025,         0.678,         0.646
         0.025,         0.678,         0.645
         0.025,         0.682,         0.644
         0.027,         0.682,         0.639
         0.027,         0.687,         0.638
         0.028,         0.687,         0.637
         0.028,         0.697,         0.637
         0.028,         0.697,         0.636
         0.028,         0.701,         0.636
         0.029,         0.701,         0.635
         0.029,         0.706,         0.635
         0.030,         0.706,         0.634
         0.030,         0.711,         0.634
         0.031,         0.711,         0.631
         0.031,         0.716,         0.631
         0.031,         0.716,         0.630
         0.031,         0.725,         0.629
         0.032,         0.725,         0.629
         0.032,         0.730,         0.629
         0.033,         0.730,         0.627
         0.033,         0.749,         0.626
         0.036,         0.749,         0.622
         0.036,         0.754,         0.622
         0.036,         0.754,         0.622
         0.036,         0.758,         0.622
         0.037,         0.758,         0.622
         0.037,         0.763,         0.621
         0.038,         0.763,         0.620
         0.038,         0.768,         0.620
         0.038,         0.768,         0.620
         0.038,         0.773,         0.619
         0.038,         0.773,         0.619
         0.038,         0.782,         0.619
         0.041,         0.782,         0.613
