false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.891
         0.000,         0.000,         0.891
         0.001,         0.000,         0.889
         0.001,         0.008,         0.887
         0.001,         0.008,         0.886
         0.001,         0.011,         0.883
         0.002,         0.011,         0.881
         0.002,         0.013,         0.880
         0.002,         0.013,         0.875
         0.002,         0.021,         0.875
         0.003,         0.021,         0.874
         0.003,         0.024,         0.873
         0.003,         0.024,         0.873
         0.003,         0.026,         0.872
         0.003,         0.026,         0.872
         0.003,         0.032,         0.871
         0.004,         0.032,         0.870
         0.004,         0.032,         0.870
         0.004,         0.032,         0.870
         0.004,         0.034,         0.869
         0.006,         0.034,         0.852
         0.006,         0.037,         0.849
         0.007,         0.037,         0.847
         0.007,         0.037,         0.846
         0.008,         0.037,         0.829
         0.008,         0.042,         0.826
         0.008,         0.042,         0.814
         0.008,         0.047,         0.806
         0.009,         0.047,         0.796
         0.009,         0.053,         0.792
         0.010,         0.053,         0.788
         0.010,         0.061,         0.787
         0.010,         0.061,         0.785
         0.010,         0.063,         0.785
         0.010,         0.063,         0.783
         0.011,         0.063,         0.781
         0.011,         0.066,         0.781
         0.011,         0.066,         0.780
         0.011,         0.074,         0.779
         0.011,         0.074,         0.777
         0.011,         0.077,         0.777
         0.011,         0.077,         0.776
         0.011,         0.079,         0.776
         0.012,         0.079,         0.774
         0.012,         0.082,         0.770
         0.013,         0.082,         0.765
         0.013,         0.092,         0.762
         0.013,         0.092,         0.762
         0.013,         0.095,         0.762
         0.014,         0.095,         0.761
         0.014,         0.100,         0.761
         0.014,         0.100,         0.760
         0.014,         0.108,         0.757
         0.014,         0.108,         0.757
         0.014,         0.111,         0.757
         0.014,         0.111,         0.756
         0.014,         0.119,         0.754
         0.015,         0.119,         0.754
         0.015,         0.124,         0.754
         0.015,         0.124,         0.753
         0.015,         0.132,         0.753
         0.015,         0.132,         0.752
         0.015,         0.140,         0.750
         0.015,         0.145,         0.750
         0.016,         0.145,         0.747
         0.016,         0.148,         0.746
         0.016,         0.169,         0.744
         0.016,         0.169,         0.742
         0.016,         0.174,         0.740
         0.017,         0.174,         0.737
         0.017,         0.177,         0.736
         0.017,         0.177,         0.735
         0.017,         0.182,         0.733
         0.017,         0.182,         0.733
         0.017,         0.185,         0.733
         0.018,         0.185,         0.731
         0.019,         0.185,         0.731
         0.019,         0.185,         0.729
         0.019,         0.187,         0.729
         0.021,         0.187,         0.727
         0.021,         0.190,         0.726
         0.021,         0.190,         0.725
         0.021,         0.195,         0.724
         0.022,         0.195,         0.723
         0.022,         0.198,         0.722
         0.022,         0.198,         0.722
         0.022,         0.201,         0.722
         0.022,         0.206,         0.722
         0.023,         0.206,         0.720
         0.023,         0.208,         0.720
         0.024,         0.208,         0.719
         0.024,         0.211,         0.718
         0.024,         0.211,         0.718
         0.024,         0.219,         0.717
