false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.884
         0.000,         0.003,         0.884
         0.000,         0.010,         0.850
         0.000,         0.010,         0.833
         0.000,         0.026,         0.818
         0.000,         0.026,         0.816
         0.000,         0.047,         0.795
         0.001,         0.047,         0.792
         0.001,         0.058,         0.785
         0.001,         0.058,         0.785
         0.001,         0.071,         0.779
         0.001,         0.071,         0.779
         0.001,         0.073,         0.778
         0.001,         0.073,         0.777
         0.001,         0.086,         0.775
         0.001,         0.086,         0.771
         0.001,         0.107,         0.763
         0.002,         0.107,         0.762
         0.002,         0.115,         0.759
         0.002,         0.115,         0.759
         0.002,         0.120,         0.758
         0.002,         0.120,         0.757
         0.002,         0.123,         0.756
         0.002,         0.123,         0.756
         0.002,         0.131,         0.755
         0.002,         0.131,         0.753
         0.002,         0.136,         0.752
         0.003,         0.136,         0.749
         0.003,         0.168,         0.743
         0.003,         0.168,         0.741
         0.003,         0.175,         0.740
         0.003,         0.175,         0.738
         0.003,         0.204,         0.734
         0.004,         0.204,         0.733
         0.004,         0.207,         0.733
         0.006,         0.212,         0.732
         0.006,         0.220,         0.730
         0.006,         0.220,         0.729
         0.006,         0.223,         0.728
         0.007,         0.223,         0.728
         0.007,         0.225,         0.728
         0.007,         0.225,         0.727
         0.007,         0.238,         0.724
         0.007,         0.238,         0.721
         0.007,         0.241,         0.721
         0.008,         0.241,         0.720
         0.008,         0.243,         0.719
         0.008,         0.243,         0.717
         0.008,         0.275,         0.713
         0.009,         0.275,         0.713
         0.009,         0.277,         0.713
         0.009,         0.277,         0.712
         0.009,         0.280,         0.712
         0.010,         0.280,         0.710
         0.010,         0.285,         0.709
         0.010,         0.285,         0.709
         0.010,         0.291,         0.708
         0.010,         0.291,         0.707
         0.010,         0.293,         0.707
         0.010,         0.293,         0.707
         0.010,         0.296,         0.705
         0.011,         0.296,         0.705
         0.011,         0.298,         0.704
         0.011,         0.298,         0.704
         0.011,         0.319,         0.700
         0.011,         0.319,         0.700
         0.011,         0.325,         0.698
         0.012,         0.325,         0.698
         0.012,         0.327,         0.697
         0.012,         0.327,         0.697
         0.012,         0.330,         0.697
         0.012,         0.330,         0.697
         0.012,         0.343,         0.695
         0.012,         0.343,         0.695
         0.012,         0.353,         0.694
         0.012,         0.353,         0.693
         0.012,         0.364,         0.692
         0.013,         0.364,         0.692
         0.013,         0.372,         0.691
         0.013,         0.372,         0.690
         0.013,         0.374,         0.690
         0.014,         0.374,         0.690
         0.014,         0.380,         0.689
         0.014,         0.380,         0.689
         0.014,         0.382,         0.689
         0.015,         0.382,         0.688
         0.015,         0.385,         0.687
         0.015,         0.385,         0.687
         0.015,         0.387,         0.686
         0.015,         0.387,         0.686
         0.015,         0.395,         0.685
         0.015,         0.395,         0.685
         0.015,         0.398,         0.684
         0.016,         0.398,         0.683
         0.016,         0.401,         0.682
         0.016,         0.401,         0.682
         0.016,         0.403,         0.682
         0.017,         0.403,         0.680
         0.017,         0.406,         0.680
         0.017,         0.406,         0.679
         0.017,         0.424,         0.676
         0.018,         0.424,         0.674
         0.018,         0.429,         0.673
         0.019,         0.429,         0.673
         0.019,         0.442,         0.671
         0.019,         0.442,         0.671
         0.019,         0.445,         0.671
         0.020,         0.445,         0.670
         0.020,         0.448,         0.670
         0.020,         0.448,         0.670
         0.020,         0.450,         0.670
         0.020,         0.450,         0.670
         0.020,         0.453,         0.670
         0.020,         0.453,         0.669
         0.020,         0.455,         0.669
         0.021,         0.455,         0.668
         0.021,         0.458,         0.668
         0.023,         0.458,         0.666
         0.023,         0.461,         0.666
         0.023,         0.461,         0.665
         0.023,         0.463,         0.665
         0.023,         0.463,         0.664
         0.023,         0.474,         0.663
         0.024,         0.474,         0.662
         0.024,         0.476,         0.662
         0.024,         0.476,         0.662
         0.024,         0.479,         0.662
         0.024,         0.479,         0.661
         0.024,         0.487,         0.661
         0.025,         0.487,         0.661
         0.025,         0.490,         0.660
         0.026,         0.490,         0.659
         0.026,         0.495,         0.659
         0.026,         0.495,         0.658
         0.026,         0.497,         0.658
         0.026,         0.497,         0.658
         0.026,         0.500,         0.658
         0.028,         0.500,         0.655
         0.028,         0.503,         0.654
         0.029,         0.503,         0.653
         0.029,         0.505,         0.653
         0.030,         0.505,         0.648
         0.030,         0.510,         0.648
         0.031,         0.510,         0.647
         0.031,         0.513,         0.647
         0.032,         0.513,         0.647
         0.032,         0.516,         0.647
         0.032,         0.516,         0.646
         0.032,         0.524,         0.646
         0.033,         0.524,         0.645
         0.033,         0.526,         0.645
         0.034,         0.526,         0.645
         0.034,         0.531,         0.644
         0.034,         0.531,         0.644
         0.034,         0.534,         0.644
         0.035,         0.534,         0.643
         0.035,         0.537,         0.643
         0.037,         0.537,         0.641
         0.037,         0.542,         0.640
         0.037,         0.542,         0.639
         0.037,         0.547,         0.638
         0.039,         0.547,         0.637
         0.039,         0.550,         0.637
         0.039,         0.550,         0.637
         0.039,         0.552,         0.636
         0.040,         0.552,         0.636
         0.040,         0.555,         0.636
         0.040,         0.555,         0.636
         0.040,         0.560,         0.635
         0.041,         0.560,         0.635
         0.041,         0.563,         0.634
         0.043,         0.563,         0.632
         0.043,         0.568,         0.632
         0.044,         0.568,         0.630
         0.044,         0.571,         0.630
         0.045,         0.571,         0.629
         0.045,         0.573,         0.629
         0.045,         0.573,         0.629
         0.045,         0.576,         0.629
         0.046,         0.576,         0.628
         0.046,         0.579,         0.628
         0.046,         0.579,         0.628
         0.046,         0.581,         0.628
         0.046,         0.581,         0.628
         0.046,         0.586,         0.628
         0.050,         0.586,         0.624
         0.050,         0.589,         0.624
         0.050,         0.589,         0.624
         0.050,         0.592,         0.624
         0.050,         0.592,         0.624
         0.051,         0.592,         0.624
         0.051,         0.594,         0.624
         0.051,         0.594,         0.623
         0.051,         0.599,         0.623
         0.051,         0.599,         0.623
         0.051,         0.602,         0.623
         0.052,         0.602,         0.622
         0.052,         0.605,         0.622
         0.053,         0.605,         0.622
         0.053,         0.607,         0.621
         0.055,         0.607,         0.617
         0.055,         0.610,         0.617
         0.058,         0.610,         0.614
         0.058,         0.610,         0.614
         0.061,         0.610,         0.612
         0.061,         0.613,         0.612
         0.061,         0.613,         0.612
         0.061,         0.615,         0.612
         0.062,         0.615,         0.611
         0.062,         0.618,         0.611
         0.066,         0.618,         0.606
         0.066,         0.620,         0.606
         0.067,         0.620,         0.606
         0.067,         0.626,         0.605
         0.072,         0.626,         0.600
         0.072,         0.628,         0.600
         0.072,         0.628,         0.600
         0.072,         0.631,         0.600
         0.073,         0.631,         0.598
         0.073,         0.634,         0.598
         0.074,         0.634,         0.598
         0.074,         0.636,         0.598
         0.074,         0.636,         0.598
         0.074,         0.639,         0.598
         0.074,         0.639,         0.597
         0.074,         0.641,         0.597
         0.075,         0.641,         0.597
         0.075,         0.644,         0.597
         0.075,         0.644,         0.597
         0.075,         0.649,         0.597
         0.075,         0.649,         0.597
         0.075,         0.654,         0.597
         0.075,         0.654,         0.596
         0.075,         0.657,         0.596
         0.076,         0.657,         0.596
         0.076,         0.657,         0.596
         0.077,         0.657,         0.596
         0.079,         0.657,         0.594
         0.079,         0.660,         0.594
         0.080,         0.660,         0.592
         0.080,         0.662,         0.592
         0.081,         0.662,         0.592
         0.081,         0.665,         0.592
         0.081,         0.665,         0.591
         0.081,         0.670,         0.591
         0.082,         0.670,         0.591
         0.082,         0.670,         0.590
         0.082,         0.673,         0.590
         0.084,         0.673,         0.589
         0.084,         0.673,         0.589
         0.086,         0.673,         0.587
         0.086,         0.675,         0.586
         0.090,         0.675,         0.584
         0.091,         0.675,         0.583
         0.091,         0.675,         0.583
         0.091,         0.678,         0.583
         0.092,         0.678,         0.583
         0.092,         0.681,         0.582
         0.095,         0.681,         0.580
         0.095,         0.683,         0.580
         0.095,         0.683,         0.580
         0.095,         0.686,         0.579
         0.100,         0.686,         0.577
         0.100,         0.688,         0.576
         0.101,         0.688,         0.575
         0.101,         0.691,         0.575
         0.104,         0.691,         0.573
         0.104,         0.694,         0.573
         0.106,         0.694,         0.572
         0.106,         0.694,         0.572
         0.108,         0.694,         0.571
         0.108,         0.696,         0.571
         0.108,         0.696,         0.571
         0.108,         0.702,         0.571
         0.109,         0.702,         0.570
         0.109,         0.704,         0.570
         0.109,         0.704,         0.570
         0.109,         0.707,         0.570
         0.110,         0.707,         0.569
         0.111,         0.707,         0.569
         0.111,         0.707,         0.569
         0.111,         0.709,         0.569
         0.113,         0.709,         0.568
         0.113,         0.715,         0.568
         0.113,         0.715,         0.567
         0.113,         0.717,         0.567
         0.113,         0.717,         0.567
         0.114,         0.717,         0.567
         0.115,         0.717,         0.567
         0.115,         0.717,         0.567
         0.115,         0.720,         0.567
         0.116,         0.720,         0.567
         0.116,         0.723,         0.567
         0.117,         0.723,         0.565
         0.117,         0.725,         0.565
         0.118,         0.725,         0.565
         0.118,         0.725,         0.565
         0.119,         0.725,         0.565
         0.119,         0.728,         0.564
         0.121,         0.728,         0.563
         0.121,         0.730,         0.563
         0.121,         0.730,         0.563
         0.122,         0.730,         0.563
         0.122,         0.733,         0.563
         0.124,         0.733,         0.562
         0.124,         0.738,         0.562
         0.126,         0.738,         0.561
         0.127,         0.738,         0.561
         0.128,         0.738,         0.560
         0.128,         0.741,         0.559
         0.130,         0.741,         0.558
         0.130,         0.743,         0.558
         0.131,         0.743,         0.557
         0.131,         0.746,         0.557
         0.131,         0.746,         0.557
         0.131,         0.749,         0.557
         0.136,         0.749,         0.554
         0.136,         0.751,         0.554
         0.137,         0.751,         0.554
         0.137,         0.751,         0.554
         0.139,         0.751,         0.552
         0.139,         0.754,         0.552
         0.142,         0.754,         0.550
         0.142,         0.757,         0.550
         0.145,         0.757,         0.548
         0.145,         0.759,         0.548
         0.147,         0.759,         0.547
         0.147,         0.762,         0.547
         0.147,         0.762,         0.547
         0.148,         0.762,         0.547
         0.150,         0.762,         0.546
         0.150,         0.764,         0.546
         0.152,         0.764,         0.544
         0.153,         0.764,         0.544
         0.157,         0.764,         0.542
         0.157,         0.767,         0.542
         0.158,         0.767,         0.541
         0.158,         0.770,         0.541
         0.159,         0.770,         0.540
         0.159,         0.772,         0.539
         0.161,         0.772,         0.538
         0.161,         0.775,         0.538
         0.164,         0.775,         0.536
         0.164,         0.777,         0.536
         0.165,         0.777,         0.535
         0.165,         0.777,         0.535
         0.165,         0.780,         0.535
         0.167,         0.780,         0.534
         0.167,         0.783,         0.534
         0.172,         0.783,         0.531
         0.172,         0.785,         0.530
         0.175,         0.785,         0.529
         0.175,         0.788,         0.528
         0.179,         0.788,         0.527
         0.179,         0.791,         0.527
         0.183,         0.791,         0.525
         0.183,         0.793,         0.525
         0.185,         0.793,         0.524
         0.185,         0.796,         0.524
         0.189,         0.796,         0.522
         0.189,         0.798,         0.522
         0.191,         0.798,         0.521
         0.191,         0.804,         0.520
         0.191,         0.804,         0.520
         0.191,         0.806,         0.520
         0.196,         0.806,         0.518
         0.196,         0.809,         0.517
         0.197,         0.809,         0.517
         0.197,         0.812,         0.517
         0.199,         0.812,         0.516
         0.199,         0.814,         0.516
         0.200,         0.814,         0.516
         0.200,         0.817,         0.516
         0.200,         0.817,         0.516
         0.200,         0.819,         0.515
         0.204,         0.819,         0.514
         0.204,         0.822,         0.513
         0.208,         0.822,         0.511
         0.208,         0.825,         0.511
         0.208,         0.825,         0.511
         0.208,         0.827,         0.511
         0.210,         0.827,         0.510
         0.210,         0.830,         0.510
         0.212,         0.830,         0.509
         0.212,         0.832,         0.508
         0.214,         0.832,         0.508
         0.214,         0.835,         0.508
         0.214,         0.835,         0.508
         0.214,         0.835,         0.508
         0.215,         0.835,         0.506
         0.215,         0.838,         0.506
         0.216,         0.838,         0.506
         0.217,         0.838,         0.505
         0.217,         0.840,         0.505
         0.225,         0.840,         0.500
         0.225,         0.843,         0.500
         0.230,         0.843,         0.497
         0.230,         0.846,         0.497
         0.230,         0.846,         0.497
         0.230,         0.848,         0.497
         0.233,         0.848,         0.494
         0.234,         0.848,         0.494
         0.234,         0.848,         0.494
         0.234,         0.851,         0.494
         0.235,         0.851,         0.493
         0.235,         0.853,         0.493
         0.238,         0.853,         0.493
         0.238,         0.856,         0.493
         0.242,         0.856,         0.490
         0.244,         0.856,         0.490
         0.244,         0.859,         0.490
         0.245,         0.859,         0.490
         0.245,         0.861,         0.489
         0.250,         0.861,         0.487
         0.250,         0.864,         0.487
         0.250,         0.864,         0.487
         0.253,         0.864,         0.485
         0.253,         0.866,         0.485
         0.257,         0.866,         0.484
         0.257,         0.866,         0.484
         0.258,         0.866,         0.484
         0.258,         0.866,         0.483
         0.262,         0.866,         0.482
         0.262,         0.869,         0.482
         0.269,         0.869,         0.476
         0.270,         0.869,         0.476
         0.274,         0.869,         0.474
         0.275,         0.869,         0.474
         0.276,         0.869,         0.473
         0.276,         0.872,         0.473
         0.277,         0.872,         0.473
         0.277,         0.874,         0.473
         0.281,         0.874,         0.470
         0.281,         0.880,         0.470
         0.282,         0.880,         0.470
         0.283,         0.880,         0.470
         0.290,         0.880,         0.468
         0.290,         0.882,         0.467
         0.293,         0.882,         0.466
         0.293,         0.885,         0.466
         0.301,         0.885,         0.462
         0.301,         0.887,         0.462
         0.302,         0.887,         0.462
         0.302,         0.890,         0.462
         0.303,         0.890,         0.461
         0.303,         0.893,         0.461
         0.309,         0.893,         0.458
         0.309,         0.895,         0.458
         0.312,         0.895,         0.457
         0.312,         0.898,         0.457
         0.316,         0.898,         0.455
         0.317,         0.898,         0.455
         0.318,         0.898,         0.454
         0.318,         0.901,         0.454
         0.328,         0.901,         0.448
         0.328,         0.903,         0.448
         0.328,         0.903,         0.448
         0.328,         0.906,         0.448
         0.330,         0.906,         0.447
         0.330,         0.908,         0.447
         0.332,         0.908,         0.446
         0.332,         0.908,         0.446
         0.337,         0.908,         0.443
         0.337,         0.911,         0.443
         0.345,         0.911,         0.440
         0.346,         0.911,         0.439
         0.346,         0.911,         0.439
         0.347,         0.911,         0.439
         0.354,         0.911,         0.436
         0.354,         0.914,         0.436
         0.354,         0.914,         0.436
         0.354,         0.916,         0.436
         0.368,         0.916,         0.428
         0.368,         0.916,         0.428
         0.377,         0.916,         0.423
         0.377,         0.919,         0.423
         0.379,         0.919,         0.423
         0.379,         0.921,         0.422
         0.382,         0.921,         0.421
         0.400,         0.921,         0.421
         0.401,         0.921,         0.420
         0.401,         0.924,         0.420
         0.403,         0.924,         0.420
         0.403,         0.927,         0.419
         0.404,         0.927,         0.419
         0.404,         0.929,         0.419
         0.411,         0.929,         0.416
         0.411,         0.932,         0.416
         0.429,         0.932,         0.407
         0.429,         0.935,         0.406
         0.436,         0.935,         0.403
         0.437,         0.935,         0.403
         0.440,         0.935,         0.401
         0.440,         0.937,         0.401
         0.456,         0.937,         0.394
         0.456,         0.940,         0.394
         0.456,         0.940,         0.393
         0.456,         0.942,         0.393
         0.461,         0.942,         0.392
         0.461,         0.945,         0.392
         0.469,         0.945,         0.389
         0.469,         0.948,         0.389
         0.476,         0.948,         0.386
         0.476,         0.953,         0.386
         0.478,         0.953,         0.385
         0.481,         0.953,         0.385
         0.492,         0.953,         0.380
         0.493,         0.953,         0.380
         0.500,         0.953,         0.376
         0.500,         0.958,         0.376
         0.504,         0.958,         0.374
         0.504,         0.961,         0.373
         0.509,         0.961,         0.371
         0.509,         0.963,         0.371
         0.516,         0.963,         0.369
         0.516,         0.966,         0.369
         0.516,         0.966,         0.369
         0.516,         0.969,         0.369
         0.521,         0.969,         0.366
         0.521,         0.971,         0.366
         0.522,         0.971,         0.366
         0.522,         0.974,         0.366
         0.536,         0.974,         0.361
         0.536,         0.976,         0.361
         0.546,         0.976,         0.357
         0.546,         0.976,         0.357
         0.551,         0.976,         0.354
         0.552,         0.976,         0.354
         0.594,         0.976,         0.336
         0.595,         0.976,         0.336
         0.608,         0.976,         0.330
         0.609,         0.976,         0.330
         0.611,         0.976,         0.329
         0.611,         0.979,         0.329
         0.611,         0.979,         0.329
         0.612,         0.979,         0.329
         0.618,         0.979,         0.326
         0.618,         0.982,         0.326
         0.644,         0.982,         0.315
         0.645,         0.982,         0.315
         0.648,         0.982,         0.314
         0.648,         0.982,         0.314
         0.658,         0.982,         0.309
         0.658,         0.984,         0.309
         0.670,         0.984,         0.305
         0.670,         0.987,         0.305
         0.697,         0.987,         0.293
         0.697,         0.990,         0.293
         0.701,         0.990,         0.291
         0.702,         0.990,         0.291
         0.724,         0.990,         0.280
         0.725,         0.990,         0.280
         0.736,         0.990,         0.274
         0.736,         0.992,         0.274
         0.761,         0.992,         0.264
         0.761,         0.995,         0.264
         0.767,         0.995,         0.261
         0.767,         0.995,         0.261
         0.815,         0.995,         0.238
         0.815,         0.995,         0.238
         0.825,         0.995,         0.233
         0.826,         0.995,         0.233
         0.895,         0.995,         0.199
         0.895,         0.997,         0.199
         0.957,         0.997,         0.157
         0.957,         1.000,         0.156
         0.960,         1.000,         0.154
         0.960,         1.000,         0.153
         1.000,         1.000,        -0.018
