false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.803
         0.000,         0.009,         0.803
         0.000,         0.028,         0.782
         0.001,         0.028,         0.739
         0.001,         0.037,         0.739
         0.002,         0.037,         0.734
         0.002,         0.047,         0.732
         0.004,         0.047,         0.732
         0.005,         0.047,         0.731
         0.005,         0.056,         0.730
         0.006,         0.056,         0.726
         0.006,         0.065,         0.725
         0.009,         0.065,         0.711
         0.009,         0.075,         0.711
         0.009,         0.075,         0.710
         0.009,         0.084,         0.709
         0.009,         0.084,         0.707
         0.009,         0.093,         0.707
         0.011,         0.093,         0.704
         0.011,         0.103,         0.704
         0.014,         0.103,         0.695
         0.014,         0.112,         0.695
         0.014,         0.112,         0.695
         0.014,         0.121,         0.694
         0.016,         0.121,         0.691
         0.016,         0.131,         0.690
         0.018,         0.131,         0.686
         0.018,         0.150,         0.685
         0.018,         0.150,         0.684
         0.018,         0.159,         0.684
         0.019,         0.159,         0.684
         0.019,         0.168,         0.684
         0.020,         0.168,         0.682
         0.020,         0.178,         0.681
         0.022,         0.178,         0.676
         0.022,         0.178,         0.675
         0.024,         0.178,         0.672
         0.024,         0.187,         0.672
         0.025,         0.187,         0.669
         0.025,         0.196,         0.669
         0.025,         0.196,         0.669
         0.025,         0.215,         0.668
         0.025,         0.215,         0.668
         0.025,         0.224,         0.668
         0.027,         0.224,         0.666
         0.027,         0.234,         0.665
         0.027,         0.234,         0.664
         0.027,         0.243,         0.664
         0.028,         0.243,         0.664
         0.028,         0.252,         0.664
         0.033,         0.252,         0.655
         0.033,         0.262,         0.654
         0.034,         0.262,         0.653
         0.034,         0.271,         0.653
         0.036,         0.271,         0.650
         0.037,         0.271,         0.650
         0.038,         0.271,         0.648
         0.038,         0.280,         0.648
         0.039,         0.280,         0.647
         0.039,         0.290,         0.647
         0.039,         0.290,         0.647
         0.039,         0.299,         0.647
         0.039,         0.299,         0.647
         0.039,         0.308,         0.647
         0.039,         0.308,         0.646
         0.039,         0.318,         0.646
         0.043,         0.318,         0.641
         0.043,         0.327,         0.641
         0.043,         0.327,         0.640
         0.043,         0.336,         0.640
         0.044,         0.336,         0.640
         0.044,         0.346,         0.639
         0.046,         0.346,         0.638
         0.046,         0.355,         0.637
         0.047,         0.355,         0.636
         0.047,         0.364,         0.636
         0.047,         0.364,         0.636
         0.047,         0.374,         0.635
         0.049,         0.374,         0.634
         0.049,         0.383,         0.634
         0.050,         0.383,         0.633
         0.050,         0.383,         0.632
         0.050,         0.383,         0.632
         0.050,         0.393,         0.632
         0.052,         0.393,         0.629
         0.052,         0.402,         0.629
         0.059,         0.402,         0.622
         0.059,         0.411,         0.622
         0.060,         0.411,         0.621
         0.060,         0.421,         0.621
         0.060,         0.421,         0.621
         0.060,         0.430,         0.620
         0.060,         0.430,         0.620
         0.061,         0.430,         0.620
         0.062,         0.430,         0.619
         0.062,         0.439,         0.619
         0.062,         0.439,         0.619
         0.062,         0.439,         0.619
         0.063,         0.439,         0.618
         0.066,         0.439,         0.616
         0.066,         0.449,         0.616
         0.069,         0.449,         0.614
         0.069,         0.458,         0.614
         0.074,         0.458,         0.606
         0.074,         0.458,         0.606
         0.075,         0.458,         0.605
         0.075,         0.467,         0.605
         0.088,         0.467,         0.594
         0.088,         0.467,         0.594
         0.093,         0.467,         0.590
         0.094,         0.467,         0.590
         0.095,         0.467,         0.588
         0.096,         0.467,         0.588
         0.098,         0.467,         0.586
         0.098,         0.477,         0.586
         0.099,         0.477,         0.585
         0.099,         0.486,         0.585
         0.105,         0.486,         0.581
         0.105,         0.505,         0.581
         0.112,         0.505,         0.575
         0.112,         0.514,         0.575
         0.115,         0.514,         0.573
         0.115,         0.523,         0.573
         0.116,         0.523,         0.572
         0.117,         0.523,         0.571
         0.118,         0.523,         0.569
         0.118,         0.533,         0.569
         0.119,         0.533,         0.569
         0.120,         0.533,         0.568
         0.120,         0.533,         0.568
         0.124,         0.533,         0.566
         0.124,         0.542,         0.566
         0.125,         0.542,         0.565
         0.125,         0.551,         0.565
         0.128,         0.551,         0.563
         0.128,         0.551,         0.562
         0.131,         0.551,         0.560
         0.131,         0.561,         0.560
         0.132,         0.561,         0.560
         0.132,         0.570,         0.560
         0.133,         0.570,         0.558
         0.133,         0.579,         0.558
         0.136,         0.579,         0.556
         0.136,         0.589,         0.556
         0.137,         0.589,         0.556
         0.137,         0.589,         0.556
         0.140,         0.589,         0.554
         0.140,         0.598,         0.554
         0.144,         0.598,         0.552
         0.144,         0.607,         0.551
         0.147,         0.607,         0.549
         0.147,         0.617,         0.549
         0.149,         0.617,         0.548
         0.149,         0.626,         0.548
         0.149,         0.626,         0.547
         0.150,         0.626,         0.547
         0.154,         0.626,         0.545
         0.154,         0.636,         0.545
         0.167,         0.636,         0.536
         0.167,         0.636,         0.536
         0.168,         0.636,         0.536
         0.168,         0.636,         0.536
         0.171,         0.636,         0.535
         0.171,         0.645,         0.534
         0.174,         0.645,         0.532
         0.174,         0.645,         0.532
         0.175,         0.645,         0.532
         0.175,         0.654,         0.532
         0.176,         0.654,         0.531
         0.176,         0.673,         0.531
         0.177,         0.673,         0.530
         0.177,         0.673,         0.530
         0.178,         0.673,         0.530
         0.178,         0.673,         0.530
         0.181,         0.673,         0.529
         0.181,         0.673,         0.529
         0.184,         0.673,         0.527
         0.184,         0.682,         0.527
         0.184,         0.682,         0.527
         0.184,         0.692,         0.526
         0.188,         0.692,         0.524
         0.188,         0.692,         0.524
         0.190,         0.692,         0.523
         0.190,         0.692,         0.523
         0.194,         0.692,         0.520
         0.194,         0.701,         0.520
         0.195,         0.701,         0.520
         0.196,         0.701,         0.519
         0.197,         0.701,         0.519
         0.200,         0.701,         0.517
         0.200,         0.710,         0.517
         0.202,         0.710,         0.515
         0.202,         0.720,         0.515
         0.203,         0.720,         0.515
         0.203,         0.720,         0.514
         0.208,         0.720,         0.511
         0.208,         0.720,         0.511
         0.210,         0.720,         0.510
         0.211,         0.720,         0.509
         0.217,         0.720,         0.506
         0.217,         0.729,         0.505
         0.221,         0.729,         0.504
         0.221,         0.729,         0.504
         0.225,         0.729,         0.501
         0.225,         0.738,         0.501
         0.228,         0.738,         0.500
         0.228,         0.748,         0.499
         0.230,         0.748,         0.498
         0.231,         0.748,         0.498
         0.231,         0.748,         0.498
         0.231,         0.757,         0.498
         0.237,         0.757,         0.494
         0.237,         0.766,         0.494
         0.239,         0.766,         0.494
         0.239,         0.776,         0.493
         0.244,         0.776,         0.491
         0.244,         0.785,         0.491
         0.248,         0.785,         0.488
         0.248,         0.794,         0.488
         0.254,         0.794,         0.484
         0.254,         0.804,         0.484
         0.271,         0.804,         0.476
         0.271,         0.813,         0.476
         0.272,         0.813,         0.476
         0.273,         0.813,         0.476
         0.275,         0.813,         0.476
         0.279,         0.813,         0.474
         0.279,         0.822,         0.474
         0.280,         0.822,         0.474
         0.280,         0.832,         0.474
         0.288,         0.832,         0.469
         0.289,         0.832,         0.469
         0.300,         0.832,         0.463
         0.300,         0.832,         0.463
         0.303,         0.832,         0.461
         0.303,         0.841,         0.460
         0.305,         0.841,         0.459
         0.305,         0.850,         0.459
         0.322,         0.850,         0.450
         0.322,         0.860,         0.450
         0.331,         0.860,         0.447
         0.331,         0.869,         0.447
         0.336,         0.869,         0.445
         0.336,         0.869,         0.445
         0.339,         0.869,         0.444
         0.340,         0.869,         0.444
         0.345,         0.869,         0.441
         0.345,         0.869,         0.441
         0.374,         0.869,         0.428
         0.375,         0.869,         0.428
         0.387,         0.869,         0.423
         0.387,         0.879,         0.423
         0.409,         0.879,         0.413
         0.409,         0.888,         0.413
         0.423,         0.888,         0.408
         0.423,         0.897,         0.407
         0.437,         0.897,         0.403
         0.455,         0.897,         0.403
         0.458,         0.897,         0.402
         0.458,         0.907,         0.402
         0.462,         0.907,         0.400
         0.463,         0.907,         0.400
         0.510,         0.907,         0.381
         0.511,         0.907,         0.381
         0.513,         0.907,         0.380
         0.513,         0.916,         0.380
         0.535,         0.916,         0.372
         0.535,         0.925,         0.372
         0.555,         0.925,         0.364
         0.555,         0.925,         0.364
         0.568,         0.925,         0.359
         0.568,         0.925,         0.359
         0.580,         0.925,         0.354
         0.580,         0.925,         0.354
         0.596,         0.925,         0.348
         0.596,         0.935,         0.348
         0.641,         0.935,         0.331
         0.641,         0.944,         0.331
         0.645,         0.944,         0.329
         0.645,         0.953,         0.329
         0.651,         0.953,         0.327
         0.651,         0.963,         0.327
         0.673,         0.963,         0.318
         0.674,         0.963,         0.318
         0.689,         0.963,         0.313
         0.689,         0.972,         0.313
         0.700,         0.972,         0.309
         0.701,         0.972,         0.309
         0.715,         0.972,         0.304
         0.715,         0.981,         0.304
         0.814,         0.981,         0.267
         0.814,         0.981,         0.266
         0.840,         0.981,         0.257
         0.840,         0.981,         0.257
         0.842,         0.981,         0.256
         0.842,         0.981,         0.256
         0.862,         0.981,         0.247
         0.862,         0.991,         0.247
         0.881,         0.991,         0.238
         0.881,         1.000,         0.238
         0.884,         1.000,         0.236
         0.884,         1.000,         0.236
         0.887,         1.000,         0.235
         0.887,         1.000,         0.235
         0.897,         1.000,         0.230
         0.897,         1.000,         0.230
         0.990,         1.000,         0.143
         0.991,         1.000,         0.142
         1.000,         1.000,         0.046
