false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         2.000
         0.000,         0.242,         1.000
         0.001,         0.242,         0.777
         0.001,         0.244,         0.772
         0.002,         0.244,         0.762
         0.002,         0.247,         0.762
         0.003,         0.247,         0.761
         0.003,         0.249,         0.758
         0.003,         0.249,         0.758
         0.003,         0.252,         0.758
         0.003,         0.252,         0.757
         0.003,         0.254,         0.755
         0.004,         0.254,         0.748
         0.004,         0.262,         0.743
         0.005,         0.262,         0.742
         0.005,         0.267,         0.740
         0.006,         0.267,         0.736
         0.006,         0.270,         0.736
         0.007,         0.270,         0.734
         0.007,         0.270,         0.734
         0.008,         0.270,         0.730
         0.008,         0.272,         0.727
         0.010,         0.272,         0.722
         0.010,         0.272,         0.720
         0.010,         0.272,         0.719
         0.011,         0.272,         0.719
         0.011,         0.272,         0.717
         0.011,         0.277,         0.717
         0.012,         0.277,         0.716
         0.012,         0.280,         0.716
         0.013,         0.280,         0.713
         0.013,         0.282,         0.713
         0.013,         0.282,         0.713
         0.013,         0.285,         0.712
         0.013,         0.285,         0.712
         0.014,         0.285,         0.712
         0.014,         0.285,         0.712
         0.014,         0.285,         0.711
         0.014,         0.287,         0.710
         0.015,         0.287,         0.709
         0.015,         0.290,         0.709
         0.016,         0.290,         0.707
         0.016,         0.295,         0.707
         0.016,         0.297,         0.707
         0.016,         0.297,         0.706
         0.016,         0.297,         0.706
         0.018,         0.297,         0.704
         0.018,         0.300,         0.704
         0.022,         0.300,         0.697
         0.023,         0.300,         0.696
         0.023,         0.302,         0.696
         0.023,         0.302,         0.696
         0.023,         0.310,         0.695
         0.024,         0.310,         0.694
         0.024,         0.312,         0.694
         0.024,         0.312,         0.693
         0.024,         0.315,         0.692
         0.026,         0.315,         0.690
         0.026,         0.317,         0.690
         0.027,         0.317,         0.689
         0.027,         0.317,         0.688
         0.028,         0.317,         0.687
         0.028,         0.320,         0.687
         0.029,         0.320,         0.687
         0.029,         0.322,         0.686
         0.031,         0.322,         0.682
         0.031,         0.325,         0.682
         0.032,         0.325,         0.681
         0.032,         0.327,         0.680
         0.033,         0.327,         0.679
         0.033,         0.330,         0.679
         0.033,         0.330,         0.678
         0.033,         0.332,         0.678
         0.034,         0.332,         0.677
         0.034,         0.335,         0.676
         0.037,         0.335,         0.673
         0.037,         0.335,         0.673
         0.037,         0.338,         0.673
         0.038,         0.338,         0.672
         0.038,         0.340,         0.671
         0.039,         0.340,         0.669
         0.039,         0.343,         0.669
         0.040,         0.343,         0.667
         0.040,         0.345,         0.667
         0.041,         0.345,         0.666
         0.041,         0.348,         0.666
         0.044,         0.348,         0.664
         0.044,         0.348,         0.664
         0.044,         0.348,         0.664
         0.044,         0.350,         0.664
         0.044,         0.350,         0.663
         0.044,         0.353,         0.663
         0.045,         0.353,         0.663
         0.045,         0.355,         0.662
         0.045,         0.355,         0.662
         0.045,         0.360,         0.661
         0.048,         0.360,         0.658
         0.048,         0.363,         0.658
         0.049,         0.363,         0.658
         0.049,         0.363,         0.658
         0.050,         0.363,         0.657
         0.050,         0.368,         0.657
         0.051,         0.368,         0.656
         0.051,         0.370,         0.656
         0.053,         0.370,         0.653
         0.053,         0.375,         0.653
         0.053,         0.375,         0.652
         0.053,         0.378,         0.652
         0.054,         0.378,         0.651
         0.054,         0.383,         0.651
         0.056,         0.383,         0.649
         0.056,         0.385,         0.649
         0.057,         0.385,         0.647
         0.057,         0.388,         0.647
         0.058,         0.388,         0.646
         0.058,         0.390,         0.646
         0.062,         0.390,         0.640
         0.062,         0.393,         0.640
         0.063,         0.393,         0.639
         0.063,         0.395,         0.639
         0.063,         0.395,         0.638
         0.063,         0.398,         0.638
         0.063,         0.398,         0.637
         0.063,         0.401,         0.637
         0.064,         0.401,         0.636
         0.064,         0.403,         0.636
