false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.879
         0.000,         0.000,         0.879
         0.000,         0.000,         0.879
         0.000,         0.005,         0.850
         0.001,         0.005,         0.841
         0.001,         0.007,         0.839
         0.001,         0.007,         0.832
         0.001,         0.012,         0.827
         0.001,         0.012,         0.821
         0.001,         0.026,         0.819
         0.001,         0.033,         0.810
         0.001,         0.042,         0.809
         0.002,         0.042,         0.809
         0.002,         0.044,         0.805
         0.002,         0.044,         0.805
         0.002,         0.049,         0.804
         0.002,         0.049,         0.801
         0.002,         0.056,         0.799
         0.002,         0.056,         0.797
         0.002,         0.061,         0.795
         0.003,         0.061,         0.795
         0.003,         0.066,         0.792
         0.003,         0.066,         0.792
         0.003,         0.068,         0.784
         0.004,         0.070,         0.784
         0.004,         0.073,         0.783
         0.004,         0.073,         0.783
         0.004,         0.084,         0.775
         0.004,         0.084,         0.773
         0.004,         0.091,         0.768
         0.004,         0.091,         0.768
         0.004,         0.096,         0.766
         0.004,         0.098,         0.765
         0.004,         0.101,         0.764
         0.005,         0.101,         0.763
         0.005,         0.103,         0.763
         0.005,         0.105,         0.762
         0.005,         0.105,         0.762
         0.005,         0.115,         0.761
         0.005,         0.126,         0.758
         0.005,         0.131,         0.758
         0.006,         0.131,         0.751
         0.006,         0.133,         0.751
         0.006,         0.133,         0.749
         0.006,         0.138,         0.749
         0.007,         0.138,         0.748
         0.007,         0.141,         0.748
         0.007,         0.141,         0.747
         0.007,         0.143,         0.747
         0.007,         0.143,         0.747
         0.007,         0.145,         0.747
         0.007,         0.145,         0.747
         0.007,         0.150,         0.746
         0.008,         0.150,         0.744
         0.008,         0.159,         0.743
         0.008,         0.164,         0.742
         0.008,         0.166,         0.742
         0.008,         0.166,         0.741
         0.008,         0.169,         0.741
         0.008,         0.169,         0.738
         0.008,         0.171,         0.738
         0.009,         0.171,         0.736
         0.009,         0.197,         0.735
         0.010,         0.197,         0.735
         0.010,         0.199,         0.735
         0.010,         0.199,         0.733
         0.010,         0.206,         0.731
         0.010,         0.206,         0.730
         0.010,         0.211,         0.729
         0.010,         0.211,         0.729
         0.010,         0.215,         0.728
         0.010,         0.215,         0.727
         0.010,         0.218,         0.727
         0.011,         0.218,         0.727
         0.011,         0.218,         0.727
         0.011,         0.222,         0.726
         0.013,         0.222,         0.723
         0.013,         0.227,         0.722
         0.013,         0.227,         0.722
         0.013,         0.230,         0.721
         0.013,         0.230,         0.721
         0.013,         0.234,         0.721
         0.014,         0.234,         0.720
         0.014,         0.237,         0.720
         0.015,         0.237,         0.718
         0.015,         0.239,         0.718
         0.015,         0.239,         0.714
         0.015,         0.241,         0.714
         0.016,         0.241,         0.714
         0.016,         0.244,         0.713
         0.016,         0.244,         0.712
         0.016,         0.253,         0.710
         0.017,         0.253,         0.710
         0.017,         0.253,         0.709
         0.018,         0.253,         0.708
         0.018,         0.258,         0.707
         0.019,         0.258,         0.705
         0.019,         0.260,         0.703
         0.019,         0.260,         0.703
         0.019,         0.262,         0.703
         0.020,         0.262,         0.700
         0.020,         0.265,         0.699
         0.020,         0.265,         0.698
         0.021,         0.265,         0.698
         0.021,         0.265,         0.697
         0.021,         0.267,         0.696
         0.021,         0.267,         0.696
         0.022,         0.267,         0.695
         0.022,         0.269,         0.694
         0.023,         0.269,         0.692
         0.023,         0.272,         0.691
         0.023,         0.272,         0.688
         0.023,         0.274,         0.688
         0.025,         0.274,         0.686
         0.025,         0.281,         0.685
         0.025,         0.281,         0.684
         0.025,         0.286,         0.684
         0.025,         0.286,         0.684
         0.025,         0.290,         0.682
         0.026,         0.290,         0.681
         0.026,         0.293,         0.680
         0.026,         0.293,         0.679
         0.026,         0.295,         0.679
         0.029,         0.295,         0.671
         0.029,         0.297,         0.671
         0.031,         0.297,         0.666
         0.031,         0.304,         0.665
         0.032,         0.304,         0.665
         0.032,         0.309,         0.664
         0.032,         0.309,         0.664
         0.032,         0.316,         0.663
         0.033,         0.316,         0.658
         0.033,         0.319,         0.657
         0.034,         0.319,         0.656
         0.034,         0.319,         0.655
         0.035,         0.319,         0.655
         0.035,         0.328,         0.654
         0.035,         0.328,         0.651
         0.035,         0.330,         0.651
         0.036,         0.330,         0.650
         0.036,         0.333,         0.650
         0.036,         0.333,         0.650
         0.037,         0.333,         0.649
         0.037,         0.333,         0.649
         0.037,         0.340,         0.647
         0.038,         0.340,         0.647
         0.038,         0.342,         0.647
         0.039,         0.342,         0.645
         0.039,         0.342,         0.644
         0.039,         0.344,         0.644
         0.040,         0.344,         0.643
         0.040,         0.351,         0.641
         0.040,         0.351,         0.641
         0.040,         0.354,         0.641
         0.041,         0.354,         0.640
         0.041,         0.356,         0.640
