false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.835
         0.000,         0.003,         0.835
         0.000,         0.003,         0.820
         0.000,         0.005,         0.805
         0.001,         0.005,         0.798
         0.001,         0.008,         0.797
         0.002,         0.008,         0.785
         0.002,         0.013,         0.783
         0.002,         0.013,         0.774
         0.002,         0.021,         0.770
         0.003,         0.021,         0.768
         0.003,         0.023,         0.767
         0.003,         0.023,         0.766
         0.003,         0.026,         0.765
         0.004,         0.026,         0.762
         0.004,         0.034,         0.760
         0.004,         0.034,         0.754
         0.004,         0.041,         0.749
         0.005,         0.041,         0.747
         0.005,         0.044,         0.747
         0.006,         0.044,         0.744
         0.006,         0.046,         0.743
         0.006,         0.046,         0.743
         0.006,         0.049,         0.743
         0.007,         0.049,         0.737
         0.007,         0.054,         0.736
         0.008,         0.054,         0.735
         0.008,         0.062,         0.733
         0.008,         0.062,         0.733
         0.008,         0.067,         0.733
         0.009,         0.067,         0.730
         0.009,         0.070,         0.730
         0.009,         0.070,         0.729
         0.009,         0.077,         0.727
         0.011,         0.077,         0.725
         0.011,         0.080,         0.725
         0.011,         0.080,         0.724
         0.011,         0.082,         0.724
         0.011,         0.082,         0.724
         0.011,         0.088,         0.723
         0.012,         0.088,         0.722
         0.012,         0.090,         0.722
         0.012,         0.090,         0.722
         0.012,         0.095,         0.721
         0.013,         0.095,         0.717
         0.013,         0.098,         0.716
         0.013,         0.098,         0.716
         0.013,         0.106,         0.715
         0.015,         0.106,         0.712
         0.015,         0.111,         0.711
         0.015,         0.111,         0.711
         0.015,         0.113,         0.710
         0.017,         0.113,         0.705
         0.017,         0.116,         0.705
         0.017,         0.116,         0.704
         0.017,         0.119,         0.704
         0.018,         0.119,         0.703
         0.018,         0.121,         0.703
         0.018,         0.121,         0.703
         0.018,         0.129,         0.701
         0.019,         0.129,         0.701
         0.019,         0.137,         0.701
         0.019,         0.137,         0.700
         0.019,         0.139,         0.700
         0.020,         0.139,         0.699
         0.020,         0.144,         0.699
         0.021,         0.144,         0.698
         0.021,         0.147,         0.698
         0.021,         0.147,         0.698
         0.021,         0.149,         0.698
         0.022,         0.149,         0.697
         0.022,         0.152,         0.697
         0.023,         0.152,         0.697
         0.023,         0.155,         0.697
         0.023,         0.155,         0.696
         0.023,         0.157,         0.696
         0.024,         0.157,         0.695
         0.024,         0.160,         0.695
         0.024,         0.160,         0.694
         0.024,         0.165,         0.694
         0.026,         0.165,         0.691
         0.026,         0.168,         0.690
         0.027,         0.168,         0.690
         0.027,         0.170,         0.690
         0.028,         0.170,         0.689
         0.028,         0.175,         0.689
         0.028,         0.175,         0.688
         0.028,         0.183,         0.686
         0.028,         0.183,         0.686
         0.028,         0.186,         0.686
         0.029,         0.186,         0.686
         0.029,         0.191,         0.685
         0.030,         0.191,         0.684
         0.030,         0.193,         0.684
         0.032,         0.193,         0.681
         0.032,         0.198,         0.681
         0.032,         0.198,         0.680
         0.032,         0.204,         0.679
         0.032,         0.204,         0.679
         0.032,         0.214,         0.677
         0.032,         0.214,         0.677
         0.032,         0.216,         0.676
         0.033,         0.216,         0.676
         0.033,         0.224,         0.675
         0.033,         0.224,         0.674
         0.033,         0.227,         0.674
         0.034,         0.227,         0.673
         0.034,         0.232,         0.673
         0.035,         0.232,         0.673
         0.035,         0.235,         0.673
         0.036,         0.235,         0.672
         0.036,         0.240,         0.671
         0.037,         0.240,         0.670
         0.037,         0.245,         0.669
         0.037,         0.245,         0.669
         0.037,         0.247,         0.669
         0.038,         0.247,         0.669
         0.038,         0.250,         0.668
         0.038,         0.250,         0.667
         0.038,         0.253,         0.667
         0.039,         0.253,         0.666
         0.039,         0.255,         0.666
         0.040,         0.255,         0.665
         0.040,         0.258,         0.664
         0.040,         0.258,         0.664
         0.040,         0.265,         0.664
         0.041,         0.265,         0.662
         0.041,         0.268,         0.662
         0.042,         0.268,         0.661
         0.042,         0.271,         0.661
         0.043,         0.271,         0.659
         0.043,         0.278,         0.658
         0.045,         0.278,         0.655
         0.045,         0.281,         0.655
         0.045,         0.281,         0.655
         0.045,         0.284,         0.655
         0.046,         0.284,         0.655
         0.046,         0.286,         0.655
         0.046,         0.286,         0.655
         0.046,         0.291,         0.654
         0.046,         0.291,         0.654
         0.046,         0.296,         0.653
         0.047,         0.296,         0.652
         0.047,         0.302,         0.652
         0.047,         0.302,         0.652
         0.047,         0.304,         0.652
         0.048,         0.304,         0.651
         0.048,         0.314,         0.649
         0.048,         0.314,         0.649
         0.048,         0.317,         0.649
         0.049,         0.317,         0.648
         0.049,         0.320,         0.647
         0.050,         0.320,         0.646
         0.050,         0.322,         0.646
         0.050,         0.322,         0.646
         0.050,         0.325,         0.646
         0.051,         0.325,         0.645
         0.051,         0.332,         0.645
         0.052,         0.332,         0.644
         0.052,         0.338,         0.644
         0.053,         0.338,         0.642
         0.053,         0.340,         0.642
         0.054,         0.340,         0.640
         0.054,         0.343,         0.640
         0.054,         0.343,         0.640
         0.054,         0.345,         0.640
         0.055,         0.345,         0.639
         0.055,         0.351,         0.639
         0.056,         0.351,         0.639
         0.056,         0.353,         0.638
         0.056,         0.353,         0.638
         0.056,         0.358,         0.637
         0.056,         0.358,         0.637
         0.056,         0.361,         0.636
         0.057,         0.361,         0.636
         0.057,         0.366,         0.635
         0.057,         0.366,         0.633
         0.057,         0.369,         0.633
         0.058,         0.369,         0.633
         0.058,         0.374,         0.633
         0.058,         0.374,         0.632
         0.058,         0.379,         0.632
         0.058,         0.379,         0.632
         0.058,         0.381,         0.632
         0.060,         0.381,         0.630
         0.060,         0.387,         0.629
         0.061,         0.387,         0.628
         0.061,         0.389,         0.628
         0.061,         0.389,         0.628
         0.061,         0.392,         0.628
         0.062,         0.392,         0.628
         0.062,         0.397,         0.627
         0.062,         0.397,         0.627
         0.062,         0.399,         0.627
         0.062,         0.399,         0.627
         0.062,         0.402,         0.626
         0.062,         0.402,         0.626
         0.062,         0.405,         0.626
         0.064,         0.405,         0.624
         0.064,         0.407,         0.624
         0.064,         0.407,         0.624
         0.064,         0.410,         0.623
         0.065,         0.410,         0.623
         0.065,         0.412,         0.623
         0.065,         0.412,         0.621
         0.065,         0.415,         0.621
         0.067,         0.415,         0.620
         0.067,         0.418,         0.620
         0.068,         0.418,         0.618
         0.068,         0.420,         0.618
         0.068,         0.420,         0.618
         0.068,         0.425,         0.618
         0.068,         0.425,         0.618
         0.068,         0.428,         0.618
         0.069,         0.428,         0.617
         0.069,         0.433,         0.617
         0.069,         0.433,         0.616
         0.069,         0.436,         0.616
         0.070,         0.436,         0.615
         0.070,         0.441,         0.615
         0.071,         0.441,         0.614
         0.071,         0.443,         0.614
         0.073,         0.443,         0.613
         0.073,         0.446,         0.612
         0.074,         0.446,         0.612
         0.074,         0.451,         0.612
         0.074,         0.451,         0.611
         0.074,         0.454,         0.611
         0.075,         0.454,         0.611
         0.075,         0.456,         0.611
         0.076,         0.456,         0.610
         0.076,         0.461,         0.610
         0.077,         0.461,         0.610
         0.077,         0.464,         0.610
         0.077,         0.464,         0.610
         0.077,         0.466,         0.610
         0.078,         0.466,         0.610
         0.078,         0.469,         0.610
         0.078,         0.469,         0.609
         0.078,         0.472,         0.609
         0.079,         0.472,         0.607
         0.079,         0.474,         0.607
         0.081,         0.474,         0.605
         0.081,         0.479,         0.605
         0.082,         0.479,         0.605
         0.082,         0.482,         0.605
         0.082,         0.482,         0.605
         0.082,         0.485,         0.605
         0.083,         0.485,         0.603
         0.083,         0.490,         0.602
         0.083,         0.490,         0.602
         0.083,         0.492,         0.602
         0.084,         0.492,         0.601
         0.084,         0.495,         0.601
         0.085,         0.495,         0.601
         0.085,         0.497,         0.601
         0.085,         0.497,         0.601
         0.085,         0.500,         0.601
         0.085,         0.500,         0.600
         0.085,         0.503,         0.600
         0.085,         0.503,         0.600
         0.085,         0.505,         0.600
         0.086,         0.505,         0.600
         0.086,         0.510,         0.600
         0.086,         0.510,         0.600
         0.086,         0.513,         0.599
         0.088,         0.513,         0.598
         0.088,         0.515,         0.598
         0.088,         0.515,         0.598
         0.088,         0.521,         0.597
         0.088,         0.521,         0.597
         0.088,         0.523,         0.597
         0.089,         0.523,         0.597
         0.089,         0.526,         0.597
         0.089,         0.526,         0.597
         0.089,         0.528,         0.597
         0.090,         0.528,         0.596
         0.090,         0.531,         0.596
         0.091,         0.531,         0.594
         0.091,         0.534,         0.594
         0.096,         0.534,         0.591
         0.096,         0.536,         0.590
         0.096,         0.536,         0.590
         0.096,         0.544,         0.590
         0.096,         0.544,         0.590
         0.096,         0.546,         0.590
         0.097,         0.546,         0.589
         0.097,         0.549,         0.589
         0.097,         0.549,         0.589
         0.097,         0.552,         0.589
         0.098,         0.552,         0.589
         0.098,         0.557,         0.588
         0.099,         0.557,         0.587
         0.099,         0.567,         0.586
         0.100,         0.567,         0.586
         0.100,         0.570,         0.586
         0.100,         0.570,         0.586
         0.100,         0.572,         0.585
         0.101,         0.572,         0.585
         0.101,         0.575,         0.585
         0.101,         0.575,         0.584
         0.101,         0.577,         0.583
         0.103,         0.577,         0.582
         0.103,         0.580,         0.582
         0.104,         0.580,         0.581
         0.104,         0.582,         0.581
         0.105,         0.582,         0.580
         0.105,         0.585,         0.580
         0.107,         0.585,         0.579
         0.107,         0.588,         0.579
         0.108,         0.588,         0.577
         0.108,         0.590,         0.577
         0.109,         0.590,         0.576
         0.109,         0.593,         0.576
         0.110,         0.593,         0.576
         0.110,         0.595,         0.576
         0.110,         0.595,         0.575
         0.110,         0.598,         0.575
         0.111,         0.598,         0.575
         0.111,         0.601,         0.575
         0.112,         0.601,         0.574
         0.112,         0.603,         0.574
         0.113,         0.603,         0.573
         0.113,         0.606,         0.573
         0.113,         0.606,         0.573
         0.113,         0.608,         0.573
         0.115,         0.608,         0.571
         0.115,         0.611,         0.571
         0.116,         0.611,         0.570
         0.116,         0.613,         0.570
         0.117,         0.613,         0.570
         0.117,         0.616,         0.569
         0.117,         0.616,         0.569
         0.117,         0.619,         0.569
         0.117,         0.619,         0.568
         0.117,         0.626,         0.568
         0.118,         0.626,         0.568
         0.118,         0.629,         0.568
         0.119,         0.629,         0.567
         0.119,         0.631,         0.567
         0.119,         0.631,         0.567
         0.119,         0.637,         0.567
         0.121,         0.637,         0.566
         0.121,         0.639,         0.566
         0.121,         0.639,         0.566
         0.121,         0.642,         0.566
         0.122,         0.642,         0.565
         0.122,         0.644,         0.565
         0.123,         0.644,         0.565
         0.123,         0.647,         0.564
         0.125,         0.647,         0.563
         0.125,         0.652,         0.563
         0.127,         0.652,         0.561
         0.127,         0.655,         0.561
         0.128,         0.655,         0.561
         0.128,         0.657,         0.561
         0.130,         0.657,         0.559
         0.130,         0.660,         0.559
         0.131,         0.660,         0.559
         0.131,         0.662,         0.559
         0.131,         0.662,         0.558
         0.131,         0.665,         0.558
         0.131,         0.665,         0.558
         0.131,         0.668,         0.558
         0.131,         0.668,         0.557
         0.131,         0.670,         0.557
