false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.825
         0.000,         0.003,         0.825
         0.000,         0.011,         0.805
         0.002,         0.011,         0.788
         0.002,         0.017,         0.786
         0.002,         0.017,         0.784
         0.002,         0.020,         0.783
         0.002,         0.020,         0.774
         0.002,         0.023,         0.770
         0.003,         0.023,         0.770
         0.003,         0.025,         0.769
         0.003,         0.025,         0.767
         0.003,         0.028,         0.765
         0.003,         0.028,         0.763
         0.003,         0.034,         0.762
         0.004,         0.034,         0.758
         0.004,         0.039,         0.756
         0.006,         0.039,         0.745
         0.006,         0.048,         0.745
         0.006,         0.048,         0.744
         0.006,         0.051,         0.743
         0.006,         0.051,         0.743
         0.006,         0.054,         0.742
         0.006,         0.054,         0.741
         0.006,         0.056,         0.740
         0.007,         0.056,         0.739
         0.007,         0.065,         0.737
         0.007,         0.065,         0.737
         0.007,         0.068,         0.736
         0.008,         0.068,         0.736
         0.008,         0.070,         0.735
         0.008,         0.070,         0.734
         0.008,         0.073,         0.734
         0.008,         0.073,         0.733
         0.009,         0.073,         0.733
         0.009,         0.073,         0.733
         0.009,         0.076,         0.733
         0.009,         0.076,         0.732
         0.009,         0.079,         0.732
         0.009,         0.079,         0.732
         0.009,         0.082,         0.732
         0.010,         0.082,         0.732
         0.010,         0.096,         0.728
         0.010,         0.096,         0.727
         0.010,         0.099,         0.727
         0.011,         0.099,         0.727
         0.011,         0.107,         0.724
         0.011,         0.107,         0.724
         0.011,         0.110,         0.724
         0.012,         0.110,         0.723
         0.012,         0.110,         0.723
         0.013,         0.110,         0.720
         0.013,         0.113,         0.720
         0.014,         0.113,         0.719
         0.014,         0.115,         0.718
         0.014,         0.115,         0.718
         0.014,         0.121,         0.718
         0.014,         0.121,         0.717
         0.014,         0.124,         0.716
         0.014,         0.124,         0.716
         0.014,         0.130,         0.715
         0.015,         0.130,         0.715
         0.015,         0.138,         0.714
         0.015,         0.138,         0.713
         0.015,         0.141,         0.713
         0.016,         0.141,         0.712
         0.016,         0.144,         0.711
         0.016,         0.144,         0.710
         0.016,         0.146,         0.710
         0.018,         0.146,         0.708
         0.018,         0.155,         0.707
         0.019,         0.155,         0.704
         0.019,         0.158,         0.704
         0.019,         0.158,         0.703
         0.019,         0.161,         0.702
         0.020,         0.161,         0.700
         0.020,         0.163,         0.699
         0.020,         0.163,         0.699
         0.020,         0.166,         0.699
         0.020,         0.166,         0.698
         0.020,         0.169,         0.698
         0.023,         0.169,         0.693
         0.023,         0.175,         0.693
         0.023,         0.175,         0.692
         0.023,         0.183,         0.691
         0.023,         0.183,         0.690
         0.023,         0.186,         0.690
         0.028,         0.186,         0.686
         0.028,         0.189,         0.685
         0.028,         0.189,         0.685
         0.028,         0.192,         0.684
         0.029,         0.192,         0.684
         0.029,         0.194,         0.684
         0.030,         0.194,         0.683
         0.030,         0.197,         0.683
         0.030,         0.197,         0.682
         0.030,         0.203,         0.681
         0.031,         0.203,         0.681
         0.031,         0.206,         0.681
         0.032,         0.206,         0.680
         0.032,         0.208,         0.679
         0.032,         0.208,         0.679
         0.032,         0.214,         0.678
         0.032,         0.214,         0.678
         0.032,         0.217,         0.678
         0.033,         0.217,         0.677
         0.033,         0.220,         0.677
         0.034,         0.220,         0.676
         0.034,         0.225,         0.676
         0.034,         0.225,         0.675
         0.034,         0.228,         0.675
         0.036,         0.228,         0.673
         0.036,         0.234,         0.673
         0.037,         0.234,         0.672
         0.037,         0.239,         0.672
         0.037,         0.239,         0.671
         0.037,         0.242,         0.671
         0.038,         0.242,         0.670
         0.038,         0.245,         0.670
         0.039,         0.245,         0.669
         0.039,         0.248,         0.669
         0.040,         0.248,         0.667
         0.040,         0.251,         0.667
         0.040,         0.251,         0.667
         0.040,         0.254,         0.666
         0.040,         0.254,         0.666
         0.040,         0.256,         0.666
         0.042,         0.256,         0.662
         0.042,         0.259,         0.662
         0.043,         0.259,         0.662
         0.043,         0.262,         0.662
         0.044,         0.262,         0.661
         0.044,         0.265,         0.661
         0.045,         0.265,         0.660
         0.045,         0.268,         0.659
         0.046,         0.268,         0.659
         0.046,         0.268,         0.659
         0.047,         0.268,         0.659
         0.047,         0.270,         0.659
         0.047,         0.270,         0.658
         0.047,         0.273,         0.658
         0.047,         0.273,         0.658
         0.047,         0.276,         0.658
         0.048,         0.276,         0.658
         0.048,         0.279,         0.657
         0.049,         0.279,         0.657
         0.049,         0.282,         0.657
         0.049,         0.282,         0.656
         0.049,         0.287,         0.656
         0.050,         0.287,         0.655
         0.050,         0.290,         0.654
         0.050,         0.290,         0.654
         0.050,         0.293,         0.654
         0.054,         0.293,         0.650
         0.054,         0.296,         0.650
         0.055,         0.296,         0.650
         0.055,         0.299,         0.650
         0.056,         0.299,         0.647
         0.056,         0.301,         0.647
         0.057,         0.301,         0.645
         0.057,         0.304,         0.645
         0.058,         0.304,         0.644
         0.058,         0.310,         0.644
         0.059,         0.310,         0.644
         0.059,         0.313,         0.644
         0.059,         0.313,         0.643
         0.059,         0.318,         0.643
         0.061,         0.318,         0.643
         0.061,         0.324,         0.642
         0.062,         0.324,         0.642
         0.062,         0.327,         0.641
         0.063,         0.327,         0.641
         0.063,         0.330,         0.641
         0.065,         0.330,         0.639
         0.065,         0.332,         0.639
         0.067,         0.332,         0.638
         0.067,         0.335,         0.638
         0.067,         0.335,         0.638
         0.067,         0.338,         0.638
         0.068,         0.338,         0.637
         0.068,         0.341,         0.637
         0.069,         0.341,         0.635
         0.069,         0.344,         0.635
         0.070,         0.344,         0.635
         0.070,         0.346,         0.635
         0.070,         0.346,         0.635
         0.070,         0.352,         0.634
         0.071,         0.352,         0.633
         0.071,         0.358,         0.633
