false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         2.000
         0.000,         0.017,         1.000
         0.000,         0.023,         0.836
         0.000,         0.023,         0.836
         0.000,         0.024,         0.832
         0.000,         0.024,         0.832
         0.000,         0.026,         0.826
         0.000,         0.026,         0.825
         0.000,         0.030,         0.810
         0.000,         0.030,         0.809
         0.000,         0.030,         0.808
         0.000,         0.030,         0.807
         0.000,         0.032,         0.803
         0.000,         0.032,         0.803
         0.000,         0.033,         0.802
         0.000,         0.033,         0.802
         0.000,         0.036,         0.796
         0.000,         0.036,         0.796
         0.000,         0.037,         0.796
         0.000,         0.037,         0.796
         0.000,         0.038,         0.794
         0.000,         0.038,         0.793
         0.000,         0.040,         0.792
         0.000,         0.040,         0.792
         0.000,         0.040,         0.791
         0.000,         0.040,         0.791
         0.000,         0.040,         0.791
         0.000,         0.040,         0.791
         0.000,         0.041,         0.791
         0.000,         0.041,         0.790
         0.000,         0.041,         0.790
         0.000,         0.041,         0.790
         0.000,         0.042,         0.789
         0.000,         0.042,         0.788
         0.000,         0.042,         0.788
         0.000,         0.042,         0.788
         0.000,         0.042,         0.788
         0.000,         0.042,         0.787
         0.000,         0.044,         0.786
         0.000,         0.044,         0.786
         0.000,         0.044,         0.785
         0.000,         0.044,         0.785
         0.000,         0.045,         0.785
         0.000,         0.045,         0.784
         0.000,         0.045,         0.784
         0.000,         0.045,         0.784
         0.000,         0.046,         0.781
         0.000,         0.046,         0.781
         0.000,         0.047,         0.781
         0.000,         0.047,         0.781
         0.000,         0.047,         0.780
         0.000,         0.047,         0.780
         0.000,         0.047,         0.780
         0.000,         0.047,         0.780
         0.000,         0.048,         0.779
         0.000,         0.048,         0.779
         0.000,         0.049,         0.778
         0.000,         0.049,         0.778
         0.000,         0.049,         0.778
         0.000,         0.049,         0.777
         0.000,         0.049,         0.777
         0.000,         0.049,         0.777
         0.000,         0.050,         0.776
         0.000,         0.050,         0.776
         0.000,         0.050,         0.776
         0.000,         0.050,         0.776
         0.000,         0.050,         0.776
         0.000,         0.050,         0.775
         0.000,         0.050,         0.775
         0.000,         0.050,         0.775
         0.000,         0.051,         0.775
         0.000,         0.051,         0.775
         0.000,         0.051,         0.774
         0.000,         0.051,         0.774
         0.000,         0.051,         0.774
         0.001,         0.051,         0.774
         0.001,         0.052,         0.774
         0.001,         0.052,         0.773
         0.001,         0.052,         0.773
         0.001,         0.052,         0.773
         0.001,         0.053,         0.773
         0.001,         0.053,         0.772
         0.001,         0.054,         0.772
         0.001,         0.054,         0.772
         0.001,         0.054,         0.772
         0.001,         0.054,         0.771
         0.001,         0.054,         0.771
         0.001,         0.054,         0.771
         0.001,         0.055,         0.770
         0.001,         0.055,         0.770
         0.001,         0.055,         0.770
         0.001,         0.055,         0.770
         0.001,         0.056,         0.770
         0.001,         0.056,         0.769
         0.001,         0.057,         0.768
         0.001,         0.057,         0.768
         0.001,         0.058,         0.768
         0.001,         0.058,         0.768
         0.001,         0.059,         0.766
         0.001,         0.059,         0.766
         0.001,         0.060,         0.764
         0.001,         0.060,         0.764
         0.001,         0.061,         0.764
         0.001,         0.061,         0.764
         0.001,         0.061,         0.764
         0.001,         0.061,         0.763
         0.001,         0.061,         0.763
         0.001,         0.061,         0.763
         0.001,         0.062,         0.763
         0.001,         0.062,         0.762
         0.001,         0.063,         0.762
         0.001,         0.064,         0.762
         0.001,         0.064,         0.762
         0.001,         0.064,         0.761
         0.001,         0.064,         0.761
         0.001,         0.064,         0.761
         0.001,         0.065,         0.761
         0.001,         0.065,         0.761
         0.001,         0.065,         0.761
         0.001,         0.065,         0.761
         0.001,         0.066,         0.761
         0.001,         0.066,         0.760
         0.001,         0.066,         0.760
         0.001,         0.066,         0.759
         0.001,         0.066,         0.759
         0.001,         0.066,         0.759
         0.001,         0.066,         0.759
         0.001,         0.066,         0.759
         0.001,         0.067,         0.759
         0.001,         0.067,         0.758
         0.001,         0.067,         0.758
         0.001,         0.067,         0.758
         0.001,         0.068,         0.758
         0.001,         0.068,         0.758
         0.001,         0.069,         0.757
         0.001,         0.069,         0.757
