false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.295
         0.000,         0.000,         0.295
         0.000,         0.000,         0.290
         0.000,         0.000,         0.280
         0.000,         0.000,         0.276
         0.000,         0.001,         0.269
         0.000,         0.001,         0.264
         0.000,         0.001,         0.264
         0.000,         0.001,         0.262
         0.000,         0.001,         0.261
         0.000,         0.001,         0.261
         0.000,         0.002,         0.252
         0.000,         0.002,         0.244
         0.000,         0.002,         0.243
         0.000,         0.002,         0.241
         0.000,         0.002,         0.240
         0.000,         0.002,         0.239
         0.000,         0.003,         0.239
         0.000,         0.003,         0.239
         0.000,         0.003,         0.237
         0.000,         0.003,         0.237
         0.000,         0.003,         0.235
         0.000,         0.003,         0.230
         0.000,         0.004,         0.229
         0.000,         0.004,         0.229
         0.000,         0.005,         0.227
         0.000,         0.005,         0.225
         0.000,         0.006,         0.224
         0.000,         0.006,         0.224
         0.000,         0.006,         0.223
         0.000,         0.006,         0.223
         0.000,         0.006,         0.223
         0.000,         0.006,         0.222
         0.001,         0.006,         0.221
         0.001,         0.006,         0.221
         0.001,         0.006,         0.221
         0.001,         0.007,         0.221
         0.001,         0.007,         0.221
         0.001,         0.007,         0.221
         0.001,         0.008,         0.220
         0.001,         0.008,         0.218
         0.001,         0.008,         0.218
         0.001,         0.008,         0.217
         0.001,         0.008,         0.217
         0.001,         0.008,         0.217
         0.001,         0.009,         0.217
         0.001,         0.009,         0.216
         0.001,         0.009,         0.215
         0.001,         0.009,         0.215
         0.001,         0.009,         0.215
         0.001,         0.009,         0.215
         0.001,         0.009,         0.215
         0.001,         0.009,         0.214
         0.001,         0.009,         0.214
         0.001,         0.009,         0.214
         0.001,         0.009,         0.214
         0.001,         0.010,         0.214
         0.001,         0.010,         0.212
         0.001,         0.010,         0.212
         0.001,         0.010,         0.211
         0.001,         0.010,         0.211
         0.001,         0.010,         0.211
         0.001,         0.011,         0.210
         0.001,         0.011,         0.209
         0.001,         0.011,         0.209
         0.001,         0.011,         0.209
         0.001,         0.011,         0.208
         0.001,         0.011,         0.208
         0.001,         0.012,         0.208
         0.001,         0.012,         0.207
         0.001,         0.012,         0.207
         0.001,         0.012,         0.207
         0.001,         0.012,         0.207
         0.001,         0.012,         0.207
         0.001,         0.012,         0.207
         0.001,         0.012,         0.207
         0.001,         0.013,         0.207
         0.001,         0.013,         0.206
         0.001,         0.013,         0.206
         0.001,         0.013,         0.206
         0.001,         0.013,         0.205
         0.001,         0.013,         0.205
         0.001,         0.013,         0.205
         0.001,         0.014,         0.204
         0.001,         0.014,         0.204
         0.001,         0.014,         0.204
         0.001,         0.014,         0.203
         0.001,         0.014,         0.203
         0.001,         0.014,         0.202
         0.001,         0.015,         0.202
         0.001,         0.015,         0.202
         0.001,         0.015,         0.201
         0.001,         0.016,         0.201
         0.001,         0.016,         0.201
         0.001,         0.016,         0.201
         0.001,         0.016,         0.201
         0.001,         0.016,         0.201
         0.001,         0.016,         0.200
         0.001,         0.016,         0.200
         0.001,         0.016,         0.199
         0.001,         0.017,         0.199
         0.001,         0.017,         0.198
         0.001,         0.017,         0.198
         0.001,         0.017,         0.198
         0.001,         0.017,         0.198
         0.001,         0.017,         0.197
         0.001,         0.018,         0.197
         0.001,         0.018,         0.197
         0.001,         0.018,         0.196
         0.001,         0.018,         0.196
         0.001,         0.018,         0.196
         0.001,         0.018,         0.196
         0.001,         0.018,         0.195
         0.001,         0.018,         0.195
         0.001,         0.018,         0.195
         0.002,         0.018,         0.195
         0.002,         0.019,         0.195
         0.002,         0.019,         0.194
         0.002,         0.019,         0.194
         0.002,         0.019,         0.194
         0.002,         0.019,         0.193
         0.002,         0.019,         0.193
         0.002,         0.019,         0.193
         0.002,         0.019,         0.192
         0.002,         0.020,         0.192
         0.002,         0.020,         0.192
         0.002,         0.020,         0.192
         0.002,         0.020,         0.192
         0.002,         0.021,         0.191
         0.002,         0.021,         0.191
         0.002,         0.021,         0.191
         0.002,         0.021,         0.191
         0.002,         0.021,         0.191
         0.002,         0.021,         0.190
         0.002,         0.022,         0.190
         0.002,         0.022,         0.190
         0.002,         0.023,         0.189
         0.002,         0.023,         0.189
         0.002,         0.023,         0.189
         0.002,         0.023,         0.189
         0.002,         0.023,         0.189
         0.002,         0.023,         0.189
         0.002,         0.023,         0.189
         0.002,         0.023,         0.188
         0.002,         0.023,         0.188
         0.002,         0.023,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.188
         0.002,         0.024,         0.187
         0.002,         0.025,         0.187
         0.002,         0.025,         0.187
         0.002,         0.025,         0.187
         0.002,         0.025,         0.187
         0.002,         0.025,         0.187
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.186
         0.002,         0.026,         0.185
         0.002,         0.027,         0.185
         0.002,         0.027,         0.185
         0.002,         0.027,         0.185
         0.002,         0.027,         0.185
         0.002,         0.027,         0.184
         0.002,         0.027,         0.184
         0.002,         0.027,         0.184
         0.002,         0.027,         0.184
         0.002,         0.027,         0.183
         0.002,         0.028,         0.183
         0.002,         0.028,         0.183
         0.002,         0.028,         0.183
         0.002,         0.028,         0.183
         0.002,         0.028,         0.183
         0.002,         0.028,         0.182
         0.002,         0.029,         0.182
         0.002,         0.029,         0.182
         0.002,         0.029,         0.182
         0.003,         0.029,         0.182
         0.003,         0.029,         0.182
