false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         2.000
         0.000,         0.017,         1.000
         0.000,         0.017,         0.889
         0.000,         0.018,         0.887
         0.000,         0.018,         0.886
         0.000,         0.019,         0.883
         0.000,         0.019,         0.882
         0.000,         0.019,         0.881
         0.000,         0.019,         0.881
         0.000,         0.019,         0.880
         0.000,         0.019,         0.879
         0.000,         0.019,         0.879
         0.000,         0.019,         0.879
         0.000,         0.020,         0.878
         0.000,         0.020,         0.877
         0.000,         0.020,         0.876
         0.000,         0.020,         0.876
         0.000,         0.020,         0.875
         0.000,         0.020,         0.875
         0.000,         0.021,         0.875
         0.000,         0.021,         0.874
         0.000,         0.021,         0.873
         0.000,         0.021,         0.873
         0.000,         0.021,         0.872
         0.000,         0.021,         0.872
         0.000,         0.021,         0.871
         0.000,         0.021,         0.870
         0.000,         0.021,         0.870
         0.000,         0.021,         0.870
         0.000,         0.022,         0.869
         0.000,         0.022,         0.868
         0.000,         0.023,         0.865
         0.000,         0.023,         0.862
         0.000,         0.024,         0.860
         0.000,         0.024,         0.860
         0.000,         0.024,         0.859
         0.000,         0.024,         0.857
         0.000,         0.025,         0.854
         0.000,         0.025,         0.852
         0.000,         0.026,         0.849
         0.000,         0.026,         0.849
         0.000,         0.026,         0.848
         0.000,         0.026,         0.847
         0.000,         0.027,         0.847
         0.000,         0.027,         0.846
         0.001,         0.027,         0.846
         0.001,         0.028,         0.843
         0.001,         0.028,         0.843
         0.001,         0.029,         0.842
         0.001,         0.029,         0.841
         0.001,         0.030,         0.838
         0.001,         0.031,         0.838
         0.001,         0.033,         0.835
         0.001,         0.033,         0.832
         0.001,         0.035,         0.829
         0.001,         0.035,         0.829
         0.001,         0.036,         0.826
         0.001,         0.036,         0.826
         0.001,         0.037,         0.825
         0.001,         0.037,         0.825
         0.001,         0.038,         0.824
         0.001,         0.038,         0.824
         0.001,         0.038,         0.824
         0.001,         0.038,         0.824
         0.001,         0.039,         0.823
         0.001,         0.039,         0.821
         0.001,         0.039,         0.820
         0.001,         0.039,         0.820
         0.001,         0.040,         0.819
         0.001,         0.041,         0.819
         0.001,         0.041,         0.818
         0.001,         0.041,         0.818
         0.001,         0.043,         0.817
         0.001,         0.043,         0.817
         0.001,         0.043,         0.817
         0.001,         0.043,         0.816
         0.001,         0.045,         0.814
         0.001,         0.045,         0.814
         0.001,         0.047,         0.810
         0.001,         0.047,         0.810
         0.001,         0.048,         0.810
         0.001,         0.049,         0.809
         0.001,         0.049,         0.809
         0.001,         0.050,         0.808
         0.001,         0.050,         0.807
         0.001,         0.051,         0.806
         0.001,         0.051,         0.806
         0.001,         0.051,         0.806
         0.001,         0.051,         0.806
         0.001,         0.052,         0.805
         0.001,         0.052,         0.805
         0.001,         0.053,         0.805
         0.001,         0.053,         0.805
         0.001,         0.053,         0.805
         0.001,         0.053,         0.804
         0.001,         0.054,         0.804
         0.001,         0.054,         0.803
         0.001,         0.054,         0.803
         0.001,         0.054,         0.803
         0.001,         0.054,         0.803
         0.001,         0.054,         0.803
         0.001,         0.054,         0.803
         0.001,         0.056,         0.801
         0.001,         0.056,         0.801
         0.001,         0.056,         0.801
         0.001,         0.056,         0.801
         0.001,         0.058,         0.800
         0.001,         0.058,         0.800
         0.001,         0.059,         0.799
         0.001,         0.059,         0.799
         0.001,         0.059,         0.799
         0.001,         0.059,         0.799
         0.001,         0.060,         0.798
         0.001,         0.060,         0.798
         0.001,         0.060,         0.798
         0.001,         0.060,         0.797
         0.001,         0.061,         0.797
         0.001,         0.061,         0.797
         0.001,         0.062,         0.796
         0.001,         0.062,         0.796
         0.001,         0.063,         0.795
         0.001,         0.063,         0.795
         0.001,         0.063,         0.794
         0.001,         0.063,         0.794
         0.001,         0.064,         0.793
         0.001,         0.064,         0.793
         0.001,         0.064,         0.792
         0.001,         0.064,         0.792
         0.001,         0.064,         0.792
         0.001,         0.064,         0.792
         0.001,         0.065,         0.792
         0.001,         0.065,         0.792
         0.001,         0.065,         0.792
         0.001,         0.065,         0.792
         0.001,         0.065,         0.792
         0.001,         0.065,         0.791
