false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.867
         0.000,         0.000,         0.867
         0.000,         0.007,         0.807
         0.000,         0.007,         0.806
         0.000,         0.009,         0.800
         0.000,         0.009,         0.799
         0.000,         0.012,         0.791
         0.000,         0.012,         0.791
         0.000,         0.014,         0.781
         0.000,         0.014,         0.780
         0.000,         0.020,         0.770
         0.000,         0.020,         0.769
         0.000,         0.021,         0.766
         0.000,         0.021,         0.766
         0.000,         0.021,         0.765
         0.000,         0.021,         0.765
         0.000,         0.021,         0.764
         0.000,         0.021,         0.764
         0.000,         0.022,         0.761
         0.000,         0.022,         0.761
         0.000,         0.023,         0.761
         0.000,         0.023,         0.761
         0.000,         0.024,         0.760
         0.000,         0.024,         0.759
         0.000,         0.024,         0.758
         0.000,         0.024,         0.758
         0.000,         0.024,         0.757
         0.000,         0.024,         0.757
         0.000,         0.026,         0.754
         0.000,         0.026,         0.754
         0.000,         0.027,         0.752
         0.000,         0.027,         0.752
         0.000,         0.028,         0.751
         0.000,         0.028,         0.751
         0.000,         0.029,         0.749
         0.000,         0.029,         0.749
         0.000,         0.029,         0.748
         0.000,         0.029,         0.748
         0.000,         0.031,         0.746
         0.000,         0.031,         0.746
         0.000,         0.032,         0.744
         0.000,         0.032,         0.743
         0.000,         0.033,         0.741
         0.000,         0.033,         0.741
         0.000,         0.033,         0.741
         0.000,         0.033,         0.741
         0.000,         0.033,         0.741
         0.000,         0.033,         0.740
         0.000,         0.035,         0.738
         0.000,         0.035,         0.737
         0.000,         0.036,         0.737
         0.000,         0.053,         0.737
         0.000,         0.053,         0.737
         0.000,         0.053,         0.737
         0.000,         0.053,         0.736
         0.000,         0.053,         0.736
         0.000,         0.053,         0.736
         0.000,         0.053,         0.736
         0.000,         0.053,         0.735
         0.000,         0.054,         0.735
         0.000,         0.054,         0.734
         0.000,         0.054,         0.734
         0.000,         0.054,         0.734
         0.000,         0.055,         0.732
         0.000,         0.055,         0.732
         0.000,         0.055,         0.732
         0.001,         0.055,         0.731
         0.001,         0.058,         0.730
         0.001,         0.058,         0.730
         0.001,         0.058,         0.729
         0.001,         0.058,         0.729
         0.001,         0.060,         0.727
         0.001,         0.060,         0.727
         0.001,         0.060,         0.726
         0.001,         0.060,         0.726
         0.001,         0.063,         0.724
         0.001,         0.063,         0.724
         0.001,         0.064,         0.723
         0.001,         0.064,         0.723
         0.001,         0.065,         0.721
         0.001,         0.065,         0.721
         0.001,         0.066,         0.721
         0.001,         0.066,         0.721
         0.001,         0.066,         0.721
         0.001,         0.066,         0.721
         0.001,         0.066,         0.720
         0.001,         0.066,         0.720
         0.001,         0.066,         0.719
         0.001,         0.066,         0.719
         0.001,         0.067,         0.718
         0.001,         0.067,         0.718
         0.001,         0.067,         0.718
         0.001,         0.067,         0.718
         0.001,         0.067,         0.717
         0.001,         0.067,         0.717
         0.001,         0.068,         0.717
         0.001,         0.068,         0.717
         0.001,         0.069,         0.716
         0.001,         0.069,         0.716
         0.001,         0.069,         0.716
         0.001,         0.069,         0.716
         0.001,         0.069,         0.716
         0.001,         0.069,         0.715
         0.001,         0.070,         0.715
         0.001,         0.070,         0.715
         0.001,         0.070,         0.714
         0.001,         0.070,         0.714
         0.001,         0.070,         0.714
         0.001,         0.070,         0.714
         0.001,         0.071,         0.713
         0.001,         0.071,         0.713
         0.001,         0.072,         0.713
         0.001,         0.072,         0.712
         0.001,         0.073,         0.712
         0.001,         0.073,         0.711
         0.001,         0.073,         0.711
         0.001,         0.073,         0.711
         0.001,         0.073,         0.711
         0.001,         0.073,         0.711
         0.001,         0.074,         0.711
         0.001,         0.074,         0.710
         0.001,         0.074,         0.710
         0.001,         0.074,         0.710
         0.001,         0.074,         0.710
         0.001,         0.074,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.709
         0.001,         0.075,         0.708
         0.001,         0.076,         0.708
         0.001,         0.076,         0.708
         0.001,         0.077,         0.707
         0.001,         0.077,         0.707
         0.001,         0.077,         0.707
         0.001,         0.077,         0.707
         0.001,         0.078,         0.706
         0.001,         0.078,         0.706
         0.001,         0.078,         0.706
         0.001,         0.078,         0.706
         0.001,         0.079,         0.706
         0.001,         0.079,         0.706
         0.001,         0.079,         0.706
         0.001,         0.079,         0.706
         0.001,         0.080,         0.705
         0.001,         0.080,         0.705
         0.001,         0.080,         0.705
         0.001,         0.080,         0.705
         0.001,         0.080,         0.704
         0.001,         0.080,         0.704
         0.001,         0.081,         0.704
         0.001,         0.081,         0.703
         0.001,         0.081,         0.703
         0.001,         0.081,         0.703
         0.001,         0.082,         0.703
         0.001,         0.082,         0.702
         0.001,         0.083,         0.702
         0.001,         0.083,         0.702
         0.001,         0.083,         0.702
         0.001,         0.083,         0.702
         0.001,         0.084,         0.702
         0.001,         0.084,         0.702
         0.001,         0.085,         0.701
         0.001,         0.085,         0.701
         0.001,         0.085,         0.700
         0.001,         0.085,         0.700
         0.001,         0.086,         0.700
         0.001,         0.086,         0.699
         0.001,         0.086,         0.699
         0.002,         0.086,         0.699
         0.002,         0.087,         0.699
         0.002,         0.087,         0.699
         0.002,         0.087,         0.698
         0.002,         0.087,         0.698
         0.002,         0.088,         0.698
         0.002,         0.088,         0.698
         0.002,         0.088,         0.698
         0.002,         0.088,         0.698
         0.002,         0.089,         0.698
         0.002,         0.089,         0.697
         0.002,         0.089,         0.697
         0.002,         0.089,         0.697
         0.002,         0.090,         0.697
         0.002,         0.090,         0.697
         0.002,         0.090,         0.697
         0.002,         0.090,         0.697
         0.002,         0.090,         0.696
         0.002,         0.090,         0.696
         0.002,         0.091,         0.696
         0.002,         0.091,         0.696
         0.002,         0.091,         0.696
         0.002,         0.091,         0.695
         0.002,         0.091,         0.695
         0.002,         0.091,         0.695
         0.002,         0.091,         0.695
         0.002,         0.091,         0.695
         0.002,         0.092,         0.695
         0.002,         0.092,         0.695
         0.002,         0.092,         0.694
         0.002,         0.092,         0.694
         0.002,         0.092,         0.694
         0.002,         0.092,         0.694
         0.002,         0.093,         0.694
         0.002,         0.093,         0.694
         0.002,         0.093,         0.693
         0.002,         0.093,         0.693
         0.002,         0.094,         0.693
         0.002,         0.094,         0.693
         0.002,         0.094,         0.693
         0.002,         0.094,         0.693
         0.002,         0.095,         0.692
         0.002,         0.095,         0.692
         0.002,         0.096,         0.692
         0.002,         0.096,         0.692
         0.002,         0.096,         0.692
         0.002,         0.096,         0.692
         0.002,         0.096,         0.692
         0.002,         0.096,         0.692
         0.002,         0.096,         0.691
         0.002,         0.096,         0.691
         0.002,         0.097,         0.691
         0.002,         0.097,         0.691
         0.002,         0.097,         0.691
         0.002,         0.097,         0.691
         0.002,         0.097,         0.690
         0.002,         0.097,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.098,         0.690
         0.002,         0.099,         0.689
         0.002,         0.099,         0.689
         0.002,         0.099,         0.689
         0.002,         0.099,         0.689
         0.002,         0.099,         0.689
         0.002,         0.099,         0.689
         0.002,         0.100,         0.689
         0.002,         0.100,         0.689
         0.002,         0.100,         0.689
         0.002,         0.100,         0.688
         0.002,         0.100,         0.688
         0.002,         0.100,         0.688
         0.002,         0.101,         0.688
         0.002,         0.101,         0.688
         0.002,         0.101,         0.688
         0.002,         0.101,         0.687
         0.002,         0.101,         0.687
         0.002,         0.101,         0.687
         0.002,         0.101,         0.687
         0.002,         0.101,         0.687
         0.002,         0.103,         0.686
         0.002,         0.103,         0.686
         0.002,         0.103,         0.686
         0.002,         0.103,         0.686
         0.002,         0.103,         0.686
         0.003,         0.103,         0.686
         0.003,         0.104,         0.686
         0.003,         0.104,         0.686
         0.003,         0.104,         0.685
         0.003,         0.104,         0.685
         0.003,         0.105,         0.685
         0.003,         0.105,         0.685
         0.003,         0.105,         0.685
         0.003,         0.105,         0.685
         0.003,         0.105,         0.685
         0.003,         0.105,         0.685
         0.003,         0.106,         0.685
         0.003,         0.106,         0.685
         0.003,         0.106,         0.685
         0.003,         0.106,         0.685
         0.003,         0.106,         0.684
         0.003,         0.106,         0.684
         0.003,         0.107,         0.684
         0.003,         0.107,         0.684
         0.003,         0.107,         0.684
         0.003,         0.107,         0.684
         0.003,         0.107,         0.684
         0.003,         0.107,         0.684
         0.003,         0.108,         0.684
         0.003,         0.108,         0.684
         0.003,         0.108,         0.683
         0.003,         0.108,         0.683
