false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.761
         0.003,         0.001,         0.761
         0.003,         0.001,         0.714
         0.003,         0.001,         0.676
         0.004,         0.003,         0.676
         0.004,         0.003,         0.661
         0.004,         0.003,         0.649
         0.005,         0.003,         0.645
         0.005,         0.003,         0.643
         0.005,         0.004,         0.636
         0.005,         0.004,         0.633
         0.006,         0.004,         0.632
         0.006,         0.005,         0.629
         0.006,         0.022,         0.627
         0.006,         0.022,         0.626
         0.006,         0.022,         0.621
         0.006,         0.022,         0.621
         0.006,         0.022,         0.619
         0.006,         0.022,         0.619
         0.006,         0.022,         0.613
         0.006,         0.022,         0.612
         0.006,         0.023,         0.609
         0.006,         0.023,         0.607
         0.006,         0.023,         0.606
         0.006,         0.023,         0.603
         0.006,         0.023,         0.603
         0.006,         0.023,         0.600
         0.006,         0.023,         0.598
         0.006,         0.023,         0.593
         0.006,         0.023,         0.591
         0.006,         0.023,         0.591
         0.006,         0.023,         0.591
         0.006,         0.024,         0.585
         0.007,         0.025,         0.584
         0.007,         0.025,         0.583
         0.007,         0.025,         0.582
         0.007,         0.025,         0.581
         0.007,         0.025,         0.578
         0.007,         0.025,         0.575
         0.007,         0.025,         0.575
         0.007,         0.025,         0.573
         0.007,         0.026,         0.572
         0.007,         0.026,         0.571
         0.007,         0.026,         0.566
         0.007,         0.026,         0.566
         0.007,         0.026,         0.565
         0.007,         0.026,         0.565
         0.007,         0.026,         0.564
         0.007,         0.026,         0.558
         0.007,         0.027,         0.557
         0.007,         0.027,         0.557
         0.007,         0.027,         0.557
         0.008,         0.027,         0.556
         0.008,         0.027,         0.555
         0.008,         0.027,         0.551
         0.008,         0.027,         0.550
         0.008,         0.027,         0.550
         0.009,         0.028,         0.550
         0.009,         0.028,         0.548
         0.010,         0.028,         0.547
         0.010,         0.028,         0.546
         0.010,         0.028,         0.545
         0.010,         0.028,         0.545
         0.010,         0.029,         0.545
         0.010,         0.029,         0.544
         0.011,         0.029,         0.543
         0.011,         0.029,         0.542
         0.011,         0.029,         0.539
         0.011,         0.029,         0.538
         0.011,         0.029,         0.537
         0.011,         0.030,         0.537
         0.011,         0.030,         0.536
         0.012,         0.030,         0.536
         0.012,         0.030,         0.536
         0.012,         0.030,         0.535
         0.012,         0.030,         0.535
         0.012,         0.030,         0.534
         0.012,         0.031,         0.533
         0.012,         0.031,         0.533
         0.012,         0.031,         0.531
         0.012,         0.031,         0.531
         0.012,         0.031,         0.531
         0.012,         0.031,         0.531
         0.012,         0.031,         0.530
         0.012,         0.031,         0.528
         0.012,         0.031,         0.527
         0.012,         0.031,         0.527
         0.012,         0.031,         0.526
         0.012,         0.031,         0.526
         0.012,         0.031,         0.525
         0.012,         0.031,         0.524
         0.012,         0.031,         0.523
         0.012,         0.031,         0.522
         0.012,         0.031,         0.522
         0.012,         0.031,         0.521
         0.012,         0.031,         0.520
         0.012,         0.032,         0.519
         0.012,         0.032,         0.518
         0.012,         0.032,         0.518
         0.012,         0.032,         0.517
         0.012,         0.032,         0.517
         0.012,         0.032,         0.516
         0.012,         0.032,         0.515
         0.012,         0.032,         0.515
         0.012,         0.033,         0.515
         0.012,         0.033,         0.514
         0.012,         0.033,         0.514
         0.012,         0.033,         0.514
         0.012,         0.033,         0.512
         0.012,         0.033,         0.511
         0.012,         0.033,         0.511
         0.012,         0.033,         0.511
         0.012,         0.033,         0.511
         0.012,         0.033,         0.509
         0.012,         0.034,         0.508
         0.012,         0.034,         0.508
         0.012,         0.034,         0.508
         0.012,         0.034,         0.508
         0.012,         0.034,         0.507
         0.013,         0.034,         0.506
         0.013,         0.034,         0.506
         0.013,         0.034,         0.505
         0.013,         0.034,         0.503
         0.013,         0.034,         0.503
         0.013,         0.034,         0.503
         0.013,         0.034,         0.502
         0.013,         0.035,         0.500
         0.013,         0.035,         0.500
         0.013,         0.035,         0.500
         0.013,         0.035,         0.499
         0.013,         0.035,         0.499
         0.013,         0.035,         0.498
         0.013,         0.035,         0.498
         0.013,         0.035,         0.497
         0.013,         0.035,         0.497
         0.013,         0.035,         0.497
         0.013,         0.035,         0.496
         0.013,         0.035,         0.496
         0.013,         0.035,         0.494
         0.013,         0.035,         0.493
         0.013,         0.035,         0.492
         0.013,         0.035,         0.492
         0.013,         0.036,         0.492
         0.013,         0.036,         0.492
         0.013,         0.036,         0.492
         0.013,         0.036,         0.491
         0.013,         0.036,         0.491
         0.013,         0.036,         0.490
         0.013,         0.037,         0.490
         0.013,         0.037,         0.490
         0.013,         0.037,         0.488
         0.014,         0.037,         0.488
         0.014,         0.038,         0.488
         0.014,         0.038,         0.488
         0.014,         0.038,         0.487
         0.014,         0.038,         0.486
         0.014,         0.038,         0.486
         0.014,         0.038,         0.486
         0.014,         0.038,         0.485
         0.014,         0.038,         0.485
         0.014,         0.038,         0.485
         0.014,         0.038,         0.484
         0.014,         0.038,         0.483
         0.014,         0.039,         0.483
         0.014,         0.039,         0.483
         0.014,         0.039,         0.482
         0.014,         0.039,         0.482
         0.014,         0.039,         0.482
         0.014,         0.039,         0.482
         0.014,         0.039,         0.481
         0.014,         0.039,         0.481
         0.015,         0.039,         0.481
         0.015,         0.039,         0.480
         0.015,         0.039,         0.480
         0.015,         0.039,         0.480
         0.015,         0.040,         0.479
         0.015,         0.040,         0.478
         0.015,         0.040,         0.478
         0.015,         0.040,         0.478
         0.015,         0.041,         0.478
         0.015,         0.041,         0.477
         0.015,         0.041,         0.477
         0.015,         0.041,         0.476
         0.015,         0.041,         0.476
         0.015,         0.041,         0.476
         0.015,         0.041,         0.475
         0.015,         0.041,         0.475
         0.015,         0.041,         0.475
         0.015,         0.041,         0.474
         0.015,         0.042,         0.474
         0.015,         0.042,         0.473
         0.015,         0.042,         0.473
         0.016,         0.042,         0.471
         0.016,         0.042,         0.471
         0.016,         0.042,         0.471
         0.016,         0.042,         0.471
         0.016,         0.042,         0.470
         0.016,         0.042,         0.470
         0.016,         0.042,         0.470
         0.016,         0.042,         0.469
         0.016,         0.042,         0.469
         0.016,         0.042,         0.469
         0.016,         0.042,         0.469
         0.016,         0.042,         0.469
         0.016,         0.042,         0.469
         0.016,         0.042,         0.468
         0.016,         0.043,         0.468
         0.016,         0.043,         0.468
         0.016,         0.043,         0.468
         0.016,         0.043,         0.468
         0.016,         0.043,         0.467
         0.016,         0.043,         0.467
         0.016,         0.043,         0.466
         0.016,         0.043,         0.466
         0.016,         0.043,         0.466
         0.016,         0.043,         0.466
         0.016,         0.043,         0.466
         0.016,         0.043,         0.466
         0.016,         0.043,         0.465
         0.016,         0.043,         0.465
         0.016,         0.043,         0.465
         0.016,         0.044,         0.465
         0.016,         0.044,         0.464
         0.016,         0.044,         0.464
         0.016,         0.044,         0.464
         0.016,         0.044,         0.464
         0.016,         0.044,         0.464
         0.016,         0.044,         0.463
         0.018,         0.044,         0.463
         0.018,         0.044,         0.463
         0.018,         0.044,         0.463
         0.018,         0.045,         0.462
         0.018,         0.045,         0.462
         0.018,         0.045,         0.462
         0.018,         0.045,         0.462
         0.018,         0.045,         0.462
         0.018,         0.045,         0.461
         0.018,         0.045,         0.461
         0.018,         0.045,         0.461
         0.019,         0.045,         0.460
         0.019,         0.045,         0.460
         0.019,         0.046,         0.460
         0.019,         0.046,         0.459
         0.019,         0.046,         0.459
         0.019,         0.046,         0.459
         0.019,         0.046,         0.459
         0.019,         0.046,         0.458
         0.019,         0.046,         0.458
         0.019,         0.046,         0.458
         0.019,         0.046,         0.458
         0.019,         0.046,         0.458
         0.019,         0.046,         0.457
         0.019,         0.046,         0.456
         0.019,         0.047,         0.456
         0.019,         0.047,         0.456
         0.019,         0.047,         0.455
         0.020,         0.047,         0.455
         0.020,         0.047,         0.455
         0.021,         0.048,         0.454
         0.021,         0.048,         0.454
         0.021,         0.048,         0.453
         0.021,         0.049,         0.453
         0.021,         0.049,         0.453
         0.021,         0.049,         0.453
         0.021,         0.049,         0.453
         0.021,         0.049,         0.453
         0.021,         0.049,         0.452
         0.021,         0.049,         0.452
         0.021,         0.049,         0.452
         0.021,         0.049,         0.452
         0.022,         0.049,         0.451
         0.022,         0.049,         0.451
         0.022,         0.049,         0.451
         0.022,         0.050,         0.451
         0.022,         0.050,         0.451
         0.022,         0.050,         0.450
         0.022,         0.050,         0.450
         0.022,         0.050,         0.450
         0.022,         0.050,         0.450
         0.022,         0.050,         0.449
         0.022,         0.050,         0.449
         0.022,         0.050,         0.449
         0.022,         0.050,         0.449
         0.022,         0.050,         0.448
         0.022,         0.051,         0.448
         0.022,         0.051,         0.448
         0.022,         0.051,         0.448
         0.022,         0.051,         0.447
         0.022,         0.051,         0.447
         0.022,         0.051,         0.446
         0.022,         0.051,         0.446
         0.022,         0.051,         0.446
         0.022,         0.051,         0.446
         0.022,         0.052,         0.445
         0.022,         0.052,         0.445
         0.022,         0.052,         0.445
         0.022,         0.052,         0.443
         0.022,         0.052,         0.443
         0.022,         0.052,         0.443
         0.022,         0.052,         0.443
         0.022,         0.052,         0.442
         0.023,         0.052,         0.441
         0.023,         0.053,         0.440
         0.023,         0.053,         0.440
         0.023,         0.053,         0.440
         0.023,         0.053,         0.439
         0.023,         0.054,         0.439
         0.023,         0.054,         0.439
         0.023,         0.054,         0.439
         0.023,         0.054,         0.439
         0.023,         0.054,         0.439
         0.023,         0.054,         0.439
         0.023,         0.054,         0.438
         0.023,         0.054,         0.437
         0.023,         0.054,         0.437
         0.023,         0.054,         0.437
         0.023,         0.054,         0.437
         0.023,         0.054,         0.436
         0.023,         0.054,         0.436
         0.023,         0.054,         0.436
         0.023,         0.054,         0.436
         0.023,         0.055,         0.436
         0.023,         0.055,         0.436
         0.023,         0.055,         0.436
         0.023,         0.055,         0.436
         0.023,         0.055,         0.435
         0.023,         0.055,         0.435
         0.023,         0.055,         0.435
         0.023,         0.055,         0.435
         0.023,         0.055,         0.435
         0.023,         0.055,         0.435
         0.023,         0.055,         0.434
         0.023,         0.055,         0.434
         0.023,         0.056,         0.434
         0.023,         0.056,         0.434
         0.023,         0.056,         0.433
         0.023,         0.056,         0.433
         0.023,         0.056,         0.433
         0.023,         0.056,         0.433
         0.023,         0.056,         0.433
         0.023,         0.056,         0.432
         0.023,         0.056,         0.432
         0.023,         0.056,         0.432
         0.023,         0.056,         0.432
         0.023,         0.056,         0.431
         0.023,         0.056,         0.431
         0.023,         0.056,         0.431
         0.023,         0.056,         0.431
         0.023,         0.057,         0.430
         0.023,         0.057,         0.430
         0.023,         0.057,         0.429
         0.023,         0.057,         0.429
         0.023,         0.057,         0.428
         0.023,         0.057,         0.428
         0.023,         0.057,         0.428
         0.023,         0.057,         0.428
         0.023,         0.058,         0.428
         0.024,         0.058,         0.428
         0.024,         0.058,         0.427
         0.024,         0.058,         0.427
         0.024,         0.058,         0.427
         0.024,         0.058,         0.427
         0.024,         0.058,         0.426
         0.024,         0.058,         0.426
         0.024,         0.058,         0.426
         0.024,         0.058,         0.426
         0.024,         0.058,         0.426
         0.024,         0.058,         0.426
         0.024,         0.058,         0.425
         0.024,         0.059,         0.425
         0.024,         0.059,         0.425
         0.024,         0.059,         0.425
         0.024,         0.059,         0.425
         0.024,         0.059,         0.424
         0.024,         0.059,         0.424
         0.024,         0.059,         0.424
         0.024,         0.059,         0.424
         0.024,         0.059,         0.423
         0.024,         0.059,         0.423
         0.024,         0.060,         0.423
         0.024,         0.060,         0.423
         0.024,         0.060,         0.423
         0.024,         0.060,         0.423
         0.024,         0.060,         0.423
         0.024,         0.060,         0.423
         0.024,         0.060,         0.422
         0.024,         0.060,         0.422
         0.024,         0.060,         0.422
         0.024,         0.060,         0.422
         0.024,         0.060,         0.422
         0.024,         0.061,         0.422
         0.024,         0.061,         0.422
         0.024,         0.061,         0.422
         0.024,         0.061,         0.421
         0.024,         0.061,         0.421
         0.024,         0.061,         0.421
         0.024,         0.061,         0.421
         0.024,         0.061,         0.421
         0.024,         0.061,         0.421
         0.024,         0.061,         0.421
