false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.761
         0.000,         0.000,         0.761
         0.000,         0.000,         0.676
         0.000,         0.002,         0.676
         0.000,         0.002,         0.661
         0.001,         0.002,         0.645
         0.001,         0.002,         0.642
         0.001,         0.002,         0.636
         0.001,         0.003,         0.632
         0.001,         0.020,         0.627
         0.001,         0.020,         0.619
         0.001,         0.020,         0.609
         0.001,         0.020,         0.607
         0.001,         0.020,         0.603
         0.001,         0.021,         0.583
         0.001,         0.021,         0.583
         0.001,         0.022,         0.578
         0.001,         0.022,         0.573
         0.001,         0.023,         0.564
         0.001,         0.023,         0.558
         0.001,         0.023,         0.556
         0.001,         0.023,         0.550
         0.001,         0.024,         0.548
         0.001,         0.024,         0.547
         0.001,         0.024,         0.542
         0.001,         0.024,         0.540
         0.002,         0.024,         0.538
         0.002,         0.025,         0.537
         0.002,         0.025,         0.536
         0.002,         0.025,         0.535
         0.002,         0.025,         0.531
         0.002,         0.026,         0.526
         0.002,         0.026,         0.521
         0.002,         0.026,         0.519
         0.002,         0.026,         0.517
         0.002,         0.026,         0.515
         0.002,         0.026,         0.512
         0.002,         0.026,         0.511
         0.002,         0.026,         0.511
         0.002,         0.026,         0.510
         0.002,         0.027,         0.510
         0.002,         0.027,         0.504
         0.002,         0.027,         0.499
         0.002,         0.027,         0.494
         0.002,         0.027,         0.493
         0.002,         0.027,         0.491
         0.002,         0.028,         0.491
         0.002,         0.028,         0.491
         0.002,         0.028,         0.490
         0.002,         0.028,         0.488
         0.002,         0.028,         0.485
         0.002,         0.028,         0.485
         0.002,         0.028,         0.485
         0.002,         0.029,         0.484
         0.002,         0.029,         0.483
         0.002,         0.029,         0.483
         0.002,         0.029,         0.482
         0.002,         0.029,         0.482
         0.002,         0.029,         0.481
         0.002,         0.029,         0.481
         0.002,         0.029,         0.478
         0.002,         0.029,         0.478
         0.002,         0.030,         0.478
         0.002,         0.030,         0.477
         0.002,         0.030,         0.476
         0.002,         0.030,         0.476
         0.002,         0.031,         0.474
         0.003,         0.031,         0.469
         0.003,         0.031,         0.468
         0.003,         0.031,         0.467
         0.003,         0.031,         0.466
         0.003,         0.032,         0.466
         0.003,         0.032,         0.463
         0.003,         0.032,         0.463
         0.003,         0.032,         0.462
         0.003,         0.032,         0.461
         0.003,         0.033,         0.460
         0.003,         0.033,         0.459
         0.003,         0.033,         0.458
         0.003,         0.033,         0.458
         0.003,         0.033,         0.457
         0.003,         0.033,         0.456
         0.003,         0.034,         0.456
         0.003,         0.034,         0.455
         0.004,         0.034,         0.454
         0.004,         0.034,         0.453
         0.004,         0.034,         0.453
         0.004,         0.034,         0.453
         0.004,         0.034,         0.453
         0.004,         0.034,         0.453
         0.004,         0.035,         0.453
         0.004,         0.035,         0.452
         0.004,         0.035,         0.452
         0.004,         0.035,         0.452
         0.004,         0.035,         0.451
         0.004,         0.035,         0.450
         0.004,         0.035,         0.450
         0.004,         0.035,         0.449
         0.004,         0.036,         0.448
         0.004,         0.036,         0.447
         0.004,         0.036,         0.447
         0.004,         0.036,         0.447
         0.004,         0.036,         0.446
         0.004,         0.036,         0.446
         0.004,         0.036,         0.445
         0.004,         0.036,         0.445
         0.004,         0.036,         0.445
         0.004,         0.038,         0.440
         0.004,         0.038,         0.439
         0.004,         0.038,         0.439
         0.004,         0.038,         0.438
         0.004,         0.038,         0.436
         0.004,         0.039,         0.434
         0.004,         0.039,         0.434
         0.004,         0.039,         0.434
         0.004,         0.039,         0.434
         0.004,         0.039,         0.433
         0.004,         0.039,         0.432
         0.004,         0.039,         0.432
         0.004,         0.040,         0.431
         0.004,         0.040,         0.431
         0.004,         0.040,         0.430
         0.004,         0.040,         0.430
         0.004,         0.041,         0.429
         0.004,         0.041,         0.429
         0.004,         0.041,         0.429
         0.004,         0.041,         0.428
         0.004,         0.041,         0.428
         0.004,         0.041,         0.426
         0.004,         0.041,         0.425
         0.004,         0.041,         0.425
         0.004,         0.042,         0.425
         0.004,         0.042,         0.424
         0.004,         0.042,         0.424
         0.004,         0.042,         0.423
         0.004,         0.043,         0.422
         0.004,         0.043,         0.422
         0.004,         0.043,         0.422
         0.005,         0.043,         0.421
         0.005,         0.043,         0.421
         0.005,         0.043,         0.420
         0.005,         0.043,         0.420
