false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.428
         0.000,         0.003,         0.428
         0.000,         0.048,         0.324
         0.000,         0.048,         0.321
         0.000,         0.074,         0.303
         0.000,         0.079,         0.300
         0.000,         0.087,         0.297
         0.000,         0.087,         0.296
         0.000,         0.110,         0.278
         0.000,         0.115,         0.277
         0.000,         0.122,         0.274
         0.001,         0.122,         0.274
         0.001,         0.138,         0.270
         0.001,         0.143,         0.270
         0.001,         0.171,         0.257
         0.001,         0.176,         0.257
         0.001,         0.202,         0.247
         0.001,         0.202,         0.247
         0.001,         0.209,         0.246
         0.001,         0.209,         0.245
         0.001,         0.219,         0.243
         0.001,         0.219,         0.242
         0.001,         0.222,         0.242
         0.003,         0.222,         0.241
         0.003,         0.222,         0.238
         0.003,         0.232,         0.236
         0.004,         0.232,         0.235
         0.004,         0.237,         0.235
         0.004,         0.237,         0.234
         0.004,         0.240,         0.234
         0.004,         0.245,         0.234
         0.004,         0.250,         0.232
         0.004,         0.255,         0.232
         0.004,         0.260,         0.229
         0.004,         0.260,         0.227
         0.004,         0.265,         0.225
         0.004,         0.265,         0.225
         0.004,         0.270,         0.224
         0.005,         0.270,         0.222
         0.005,         0.273,         0.222
         0.005,         0.273,         0.221
         0.005,         0.281,         0.218
         0.006,         0.281,         0.216
         0.006,         0.288,         0.214
         0.006,         0.288,         0.214
         0.006,         0.298,         0.213
         0.007,         0.298,         0.213
         0.007,         0.304,         0.213
         0.007,         0.309,         0.212
         0.007,         0.309,         0.212
         0.007,         0.311,         0.212
         0.007,         0.311,         0.211
         0.007,         0.314,         0.211
         0.007,         0.314,         0.209
         0.007,         0.316,         0.208
         0.007,         0.316,         0.205
         0.007,         0.321,         0.204
         0.008,         0.324,         0.204
         0.008,         0.332,         0.203
         0.008,         0.332,         0.203
         0.008,         0.339,         0.202
         0.008,         0.339,         0.202
         0.008,         0.342,         0.201
         0.008,         0.342,         0.201
         0.008,         0.347,         0.200
         0.008,         0.352,         0.199
         0.008,         0.355,         0.199
         0.008,         0.357,         0.199
         0.009,         0.357,         0.198
         0.010,         0.357,         0.198
         0.010,         0.367,         0.197
         0.010,         0.367,         0.196
         0.010,         0.372,         0.195
         0.010,         0.372,         0.194
         0.010,         0.378,         0.194
         0.010,         0.380,         0.193
         0.010,         0.380,         0.192
         0.010,         0.393,         0.190
         0.010,         0.393,         0.190
         0.010,         0.395,         0.189
         0.011,         0.395,         0.189
         0.011,         0.403,         0.189
         0.011,         0.408,         0.189
         0.011,         0.413,         0.188
         0.011,         0.413,         0.188
         0.011,         0.416,         0.188
         0.011,         0.416,         0.187
         0.011,         0.418,         0.187
         0.011,         0.418,         0.186
         0.011,         0.423,         0.185
         0.012,         0.423,         0.184
         0.012,         0.429,         0.183
         0.012,         0.431,         0.182
         0.012,         0.434,         0.182
         0.013,         0.434,         0.181
         0.013,         0.436,         0.181
         0.013,         0.436,         0.181
         0.013,         0.439,         0.179
         0.013,         0.439,         0.179
         0.013,         0.446,         0.178
         0.013,         0.446,         0.178
         0.014,         0.446,         0.177
         0.014,         0.452,         0.177
         0.014,         0.452,         0.177
         0.014,         0.454,         0.177
         0.015,         0.454,         0.176
         0.015,         0.457,         0.176
         0.015,         0.457,         0.175
         0.015,         0.462,         0.175
         0.016,         0.462,         0.175
         0.016,         0.467,         0.174
         0.016,         0.469,         0.173
         0.016,         0.472,         0.173
         0.018,         0.472,         0.173
         0.018,         0.477,         0.172
         0.018,         0.477,         0.171
         0.018,         0.480,         0.171
         0.018,         0.485,         0.169
         0.018,         0.497,         0.168
         0.018,         0.497,         0.168
         0.019,         0.500,         0.168
         0.019,         0.500,         0.167
         0.019,         0.503,         0.167
         0.019,         0.505,         0.166
         0.020,         0.505,         0.165
         0.020,         0.508,         0.165
         0.020,         0.508,         0.164
         0.020,         0.513,         0.164
         0.020,         0.526,         0.163
         0.021,         0.526,         0.162
         0.021,         0.526,         0.162
         0.021,         0.526,         0.162
         0.022,         0.526,         0.161
         0.022,         0.528,         0.161
         0.022,         0.528,         0.161
         0.022,         0.531,         0.160
         0.022,         0.531,         0.160
         0.022,         0.533,         0.160
         0.023,         0.538,         0.160
         0.023,         0.538,         0.159
         0.023,         0.541,         0.159
         0.024,         0.541,         0.159
         0.024,         0.541,         0.158
         0.024,         0.541,         0.158
         0.025,         0.541,         0.158
         0.025,         0.541,         0.157
         0.025,         0.541,         0.157
         0.026,         0.541,         0.156
         0.026,         0.546,         0.155
