false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.575
         0.000,         0.000,         0.575
         0.003,         0.000,         0.536
         0.004,         0.000,         0.511
         0.004,         0.003,         0.503
         0.004,         0.003,         0.497
         0.005,         0.003,         0.492
         0.005,         0.003,         0.490
         0.005,         0.005,         0.488
         0.006,         0.005,         0.483
         0.006,         0.005,         0.471
         0.007,         0.005,         0.470
         0.007,         0.005,         0.468
         0.007,         0.005,         0.464
         0.008,         0.005,         0.460
         0.008,         0.008,         0.453
         0.010,         0.008,         0.426
         0.010,         0.010,         0.425
         0.010,         0.010,         0.419
         0.011,         0.010,         0.418
         0.011,         0.013,         0.416
         0.012,         0.013,         0.415
         0.012,         0.013,         0.412
         0.012,         0.013,         0.411
         0.012,         0.015,         0.410
         0.013,         0.015,         0.407
         0.013,         0.015,         0.405
         0.013,         0.015,         0.402
         0.014,         0.015,         0.400
         0.015,         0.021,         0.399
         0.015,         0.023,         0.397
         0.016,         0.023,         0.393
         0.016,         0.026,         0.392
         0.017,         0.031,         0.392
         0.017,         0.033,         0.389
         0.018,         0.033,         0.389
         0.022,         0.038,         0.385
         0.023,         0.038,         0.384
         0.024,         0.038,         0.374
         0.024,         0.041,         0.373
         0.024,         0.041,         0.372
         0.024,         0.044,         0.371
         0.024,         0.044,         0.369
         0.024,         0.044,         0.368
         0.025,         0.044,         0.368
         0.025,         0.044,         0.363
         0.026,         0.044,         0.360
         0.026,         0.044,         0.359
         0.026,         0.046,         0.356
         0.027,         0.046,         0.356
         0.027,         0.046,         0.356
         0.028,         0.046,         0.352
         0.028,         0.046,         0.351
         0.029,         0.046,         0.347
         0.029,         0.049,         0.347
         0.029,         0.049,         0.347
         0.030,         0.049,         0.343
         0.030,         0.054,         0.341
         0.030,         0.054,         0.339
         0.030,         0.056,         0.339
         0.031,         0.059,         0.337
         0.031,         0.059,         0.336
         0.032,         0.059,         0.335
         0.032,         0.062,         0.335
         0.033,         0.064,         0.333
         0.033,         0.064,         0.332
         0.034,         0.067,         0.331
         0.034,         0.067,         0.331
         0.034,         0.069,         0.328
         0.034,         0.069,         0.328
         0.036,         0.069,         0.325
         0.036,         0.072,         0.324
         0.036,         0.072,         0.323
         0.037,         0.072,         0.322
         0.037,         0.077,         0.321
         0.038,         0.079,         0.320
         0.039,         0.082,         0.319
         0.039,         0.082,         0.318
         0.040,         0.082,         0.314
         0.041,         0.082,         0.314
         0.041,         0.082,         0.313
         0.042,         0.085,         0.310
         0.042,         0.085,         0.306
         0.043,         0.085,         0.306
         0.043,         0.087,         0.306
         0.044,         0.087,         0.305
         0.044,         0.087,         0.302
         0.045,         0.090,         0.302
         0.045,         0.090,         0.301
         0.046,         0.092,         0.300
         0.046,         0.092,         0.298
         0.047,         0.092,         0.297
         0.048,         0.095,         0.296
         0.048,         0.095,         0.293
         0.049,         0.095,         0.291
         0.049,         0.095,         0.288
         0.050,         0.095,         0.287
         0.050,         0.097,         0.286
         0.050,         0.103,         0.285
         0.051,         0.103,         0.285
         0.051,         0.103,         0.283
         0.051,         0.103,         0.283
         0.052,         0.103,         0.282
         0.052,         0.105,         0.281
         0.052,         0.108,         0.279
         0.052,         0.108,         0.277
         0.053,         0.110,         0.277
         0.053,         0.113,         0.276
         0.053,         0.113,         0.275
         0.053,         0.113,         0.273
         0.053,         0.115,         0.272
         0.054,         0.115,         0.269
         0.055,         0.115,         0.268
         0.055,         0.118,         0.268
         0.055,         0.118,         0.267
         0.056,         0.118,         0.264
         0.056,         0.118,         0.260
         0.057,         0.118,         0.260
         0.057,         0.118,         0.257
         0.057,         0.121,         0.256
         0.058,         0.121,         0.253
         0.058,         0.121,         0.251
