false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.478
         0.000,         0.003,         0.478
         0.000,         0.013,         0.399
         0.000,         0.013,         0.396
         0.000,         0.025,         0.376
         0.000,         0.025,         0.370
         0.000,         0.035,         0.340
         0.000,         0.040,         0.338
         0.001,         0.040,         0.333
         0.001,         0.043,         0.329
         0.001,         0.043,         0.327
         0.001,         0.045,         0.326
         0.002,         0.045,         0.325
         0.002,         0.045,         0.323
         0.002,         0.050,         0.321
         0.002,         0.050,         0.317
         0.003,         0.050,         0.317
         0.003,         0.050,         0.312
         0.003,         0.053,         0.311
         0.004,         0.053,         0.309
         0.004,         0.053,         0.308
         0.005,         0.053,         0.307
         0.005,         0.053,         0.304
         0.006,         0.053,         0.289
         0.006,         0.055,         0.289
         0.007,         0.055,         0.286
         0.007,         0.058,         0.285
         0.007,         0.060,         0.283
         0.007,         0.060,         0.283
         0.008,         0.060,         0.282
         0.008,         0.063,         0.282
         0.008,         0.063,         0.278
         0.009,         0.063,         0.277
         0.009,         0.063,         0.277
         0.009,         0.065,         0.277
         0.009,         0.065,         0.273
         0.009,         0.068,         0.272
         0.010,         0.068,         0.272
         0.010,         0.071,         0.272
         0.010,         0.071,         0.270
         0.011,         0.071,         0.269
         0.011,         0.071,         0.266
         0.012,         0.071,         0.266
         0.013,         0.071,         0.262
         0.013,         0.073,         0.262
         0.013,         0.076,         0.261
         0.013,         0.078,         0.261
         0.013,         0.078,         0.259
         0.013,         0.081,         0.259
         0.013,         0.081,         0.259
         0.015,         0.081,         0.258
         0.015,         0.083,         0.256
         0.016,         0.083,         0.255
         0.016,         0.086,         0.255
         0.017,         0.086,         0.254
         0.017,         0.088,         0.253
         0.017,         0.088,         0.253
         0.018,         0.088,         0.251
         0.018,         0.088,         0.251
         0.018,         0.091,         0.251
         0.019,         0.091,         0.248
         0.019,         0.093,         0.246
         0.020,         0.093,         0.245
         0.021,         0.098,         0.245
         0.022,         0.098,         0.240
         0.022,         0.101,         0.239
         0.023,         0.101,         0.239
         0.023,         0.103,         0.238
         0.024,         0.103,         0.237
         0.025,         0.103,         0.236
         0.025,         0.103,         0.235
         0.026,         0.103,         0.234
         0.026,         0.103,         0.234
         0.027,         0.103,         0.233
         0.027,         0.103,         0.232
         0.029,         0.103,         0.232
         0.029,         0.103,         0.231
         0.030,         0.103,         0.231
         0.030,         0.103,         0.230
         0.031,         0.103,         0.228
         0.031,         0.103,         0.227
         0.032,         0.103,         0.227
         0.032,         0.106,         0.227
         0.032,         0.106,         0.226
         0.033,         0.106,         0.224
         0.033,         0.106,         0.224
         0.034,         0.106,         0.224
         0.036,         0.106,         0.224
         0.036,         0.106,         0.223
         0.036,         0.106,         0.221
         0.037,         0.106,         0.221
         0.037,         0.106,         0.221
         0.057,         0.108,         0.221
         0.057,         0.108,         0.221
         0.058,         0.111,         0.220
         0.058,         0.111,         0.219
         0.059,         0.113,         0.219
         0.060,         0.113,         0.219
         0.060,         0.113,         0.219
         0.061,         0.116,         0.219
         0.061,         0.116,         0.218
         0.061,         0.116,         0.217
         0.062,         0.116,         0.217
         0.062,         0.116,         0.217
         0.063,         0.116,         0.217
         0.063,         0.116,         0.215
         0.068,         0.121,         0.215
         0.068,         0.121,         0.214
         0.068,         0.123,         0.214
         0.069,         0.126,         0.214
         0.069,         0.126,         0.213
         0.069,         0.128,         0.212
         0.069,         0.128,         0.212
         0.069,         0.131,         0.211
         0.070,         0.131,         0.211
         0.070,         0.136,         0.211
         0.070,         0.136,         0.210
         0.071,         0.136,         0.209
         0.072,         0.136,         0.209
         0.073,         0.139,         0.208
         0.073,         0.139,         0.207
         0.075,         0.139,         0.207
         0.075,         0.139,         0.207
         0.076,         0.141,         0.206
         0.076,         0.141,         0.205
         0.077,         0.141,         0.205
         0.077,         0.144,         0.203
         0.077,         0.144,         0.203
         0.078,         0.144,         0.203
         0.079,         0.144,         0.202
         0.079,         0.146,         0.202
