false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.761
         0.050,         0.037,         0.761
         0.050,         0.037,         0.714
         0.050,         0.037,         0.649
         0.051,         0.037,         0.621
         0.052,         0.037,         0.621
         0.052,         0.037,         0.606
         0.053,         0.037,         0.603
         0.053,         0.037,         0.600
         0.054,         0.047,         0.598
         0.055,         0.056,         0.593
         0.056,         0.056,         0.591
         0.061,         0.075,         0.584
         0.066,         0.075,         0.575
         0.068,         0.084,         0.566
         0.075,         0.093,         0.556
         0.101,         0.121,         0.547
         0.101,         0.121,         0.545
         0.102,         0.121,         0.544
         0.103,         0.121,         0.538
         0.104,         0.121,         0.525
         0.105,         0.121,         0.522
         0.105,         0.121,         0.518
         0.105,         0.140,         0.515
         0.106,         0.140,         0.507
         0.107,         0.140,         0.504
         0.109,         0.140,         0.500
         0.111,         0.150,         0.492
         0.112,         0.150,         0.485
         0.116,         0.159,         0.485
         0.116,         0.159,         0.479
         0.121,         0.168,         0.477
         0.121,         0.168,         0.475
         0.122,         0.168,         0.471
         0.124,         0.168,         0.469
         0.124,         0.168,         0.466
         0.129,         0.178,         0.462
         0.129,         0.178,         0.460
         0.129,         0.178,         0.459
         0.138,         0.215,         0.454
         0.139,         0.224,         0.452
         0.139,         0.224,         0.452
         0.140,         0.224,         0.446
         0.141,         0.224,         0.439
         0.143,         0.224,         0.433
         0.143,         0.224,         0.433
         0.146,         0.224,         0.426
         0.146,         0.224,         0.423
         0.146,         0.224,         0.422
         0.146,         0.224,         0.422
         0.148,         0.224,         0.420
         0.148,         0.224,         0.416
         0.149,         0.224,         0.413
         0.149,         0.224,         0.411
         0.152,         0.224,         0.407
         0.152,         0.224,         0.405
         0.154,         0.243,         0.400
         0.155,         0.243,         0.399
         0.155,         0.252,         0.393
         0.155,         0.252,         0.393
         0.156,         0.252,         0.391
         0.156,         0.252,         0.387
         0.156,         0.252,         0.385
         0.157,         0.252,         0.377
         0.158,         0.252,         0.375
         0.158,         0.252,         0.364
         0.159,         0.252,         0.364
         0.159,         0.252,         0.359
         0.160,         0.252,         0.357
         0.160,         0.252,         0.353
         0.161,         0.252,         0.352
         0.161,         0.252,         0.348
         0.162,         0.252,         0.343
         0.162,         0.252,         0.332
         0.162,         0.262,         0.328
         0.162,         0.262,         0.328
         0.163,         0.262,         0.327
         0.164,         0.262,         0.315
         0.164,         0.271,         0.312
         0.164,         0.271,         0.311
         0.165,         0.271,         0.306
         0.165,         0.280,         0.293
         0.166,         0.280,         0.287
         0.166,         0.280,         0.256
         0.166,         0.290,         0.252
         0.173,         0.318,         0.249
         0.174,         0.318,         0.241
         0.174,         0.327,         0.241
         0.174,         0.327,         0.233
         0.174,         0.346,         0.229
         0.175,         0.346,         0.220
         0.175,         0.346,         0.213
         0.176,         0.346,         0.212
         0.176,         0.346,         0.205
         0.177,         0.346,         0.204
         0.177,         0.364,         0.204
         0.178,         0.364,         0.203
         0.178,         0.364,         0.199
         0.178,         0.364,         0.197
         0.180,         0.393,         0.195
         0.180,         0.393,         0.194
         0.182,         0.393,         0.189
         0.182,         0.393,         0.188
         0.182,         0.393,         0.187
         0.186,         0.402,         0.185
         0.187,         0.402,         0.182
         0.188,         0.411,         0.182
         0.188,         0.411,         0.177
         0.188,         0.411,         0.174
         0.188,         0.411,         0.173
         0.189,         0.411,         0.170
         0.189,         0.411,         0.170
         0.189,         0.411,         0.167
         0.190,         0.411,         0.167
         0.190,         0.411,         0.164
         0.190,         0.411,         0.164
         0.192,         0.411,         0.159
         0.192,         0.411,         0.159
         0.193,         0.411,         0.158
         0.193,         0.411,         0.158
         0.197,         0.421,         0.157
         0.198,         0.421,         0.155
         0.198,         0.421,         0.152
         0.198,         0.421,         0.151
         0.199,         0.421,         0.151
         0.200,         0.421,         0.148
         0.201,         0.421,         0.144
         0.201,         0.421,         0.139
         0.202,         0.421,         0.139
         0.202,         0.421,         0.138
         0.203,         0.421,         0.136
         0.203,         0.421,         0.134
         0.206,         0.421,         0.131
         0.207,         0.421,         0.130
         0.207,         0.421,         0.129
         0.207,         0.421,         0.129
         0.208,         0.421,         0.129
         0.209,         0.421,         0.126
         0.209,         0.421,         0.123
         0.209,         0.421,         0.123
         0.210,         0.421,         0.121
         0.213,         0.439,         0.121
         0.213,         0.439,         0.119
         0.217,         0.449,         0.118
         0.218,         0.449,         0.114
         0.219,         0.449,         0.114
         0.219,         0.449,         0.111
         0.220,         0.449,         0.111
         0.222,         0.458,         0.111
         0.222,         0.458,         0.107
         0.222,         0.458,         0.107
         0.225,         0.467,         0.106
         0.225,         0.467,         0.106
         0.225,         0.467,         0.106
         0.226,         0.486,         0.105
         0.226,         0.486,         0.103
         0.230,         0.486,         0.102
         0.230,         0.486,         0.102
         0.231,         0.486,         0.099
         0.232,         0.486,         0.098
         0.233,         0.495,         0.098
         0.233,         0.495,         0.094
         0.238,         0.495,         0.093
         0.250,         0.505,         0.092
         0.250,         0.505,         0.091
         0.251,         0.505,         0.091
         0.254,         0.505,         0.091
         0.254,         0.505,         0.089
         0.254,         0.505,         0.086
         0.255,         0.514,         0.085
         0.256,         0.514,         0.084
         0.260,         0.542,         0.083
         0.263,         0.542,         0.083
         0.264,         0.542,         0.082
         0.264,         0.542,         0.079
         0.275,         0.542,         0.079
         0.276,         0.542,         0.076
         0.281,         0.551,         0.076
         0.282,         0.551,         0.074
         0.289,         0.551,         0.074
         0.291,         0.551,         0.072
         0.292,         0.551,         0.070
         0.292,         0.570,         0.070
         0.293,         0.570,         0.069
         0.298,         0.579,         0.068
         0.320,         0.579,         0.066
         0.329,         0.617,         0.065
         0.331,         0.617,         0.065
         0.331,         0.617,         0.064
         0.331,         0.617,         0.064
         0.332,         0.617,         0.064
         0.339,         0.636,         0.061
         0.339,         0.636,         0.059
