false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.342
         0.000,         0.003,         0.342
         0.000,         0.005,         0.339
         0.000,         0.005,         0.334
         0.000,         0.010,         0.328
         0.000,         0.010,         0.325
         0.000,         0.015,         0.320
         0.001,         0.015,         0.313
         0.001,         0.036,         0.296
         0.001,         0.036,         0.295
         0.001,         0.039,         0.293
         0.001,         0.039,         0.292
         0.002,         0.039,         0.292
         0.002,         0.044,         0.290
         0.002,         0.044,         0.290
         0.002,         0.046,         0.288
         0.002,         0.046,         0.287
         0.003,         0.049,         0.284
         0.003,         0.049,         0.281
         0.003,         0.052,         0.280
         0.004,         0.052,         0.274
         0.004,         0.057,         0.273
         0.005,         0.057,         0.273
         0.005,         0.057,         0.269
         0.005,         0.059,         0.268
         0.005,         0.059,         0.268
         0.005,         0.062,         0.265
         0.018,         0.062,         0.265
         0.018,         0.062,         0.264
         0.018,         0.064,         0.264
         0.019,         0.064,         0.258
         0.019,         0.072,         0.257
         0.019,         0.072,         0.256
         0.020,         0.072,         0.256
         0.022,         0.072,         0.250
         0.022,         0.075,         0.249
         0.022,         0.075,         0.249
         0.022,         0.077,         0.249
         0.023,         0.077,         0.246
         0.024,         0.077,         0.246
         0.024,         0.082,         0.245
         0.024,         0.082,         0.244
         0.024,         0.088,         0.244
         0.025,         0.088,         0.243
         0.025,         0.093,         0.241
         0.025,         0.093,         0.241
         0.025,         0.095,         0.240
         0.026,         0.095,         0.240
         0.026,         0.095,         0.239
         0.026,         0.098,         0.239
         0.026,         0.098,         0.239
         0.027,         0.101,         0.237
         0.027,         0.101,         0.236
         0.027,         0.101,         0.236
         0.028,         0.106,         0.235
         0.028,         0.108,         0.235
         0.028,         0.108,         0.235
         0.028,         0.111,         0.234
         0.029,         0.111,         0.234
         0.029,         0.111,         0.234
         0.029,         0.113,         0.233
         0.030,         0.116,         0.233
         0.030,         0.116,         0.233
         0.030,         0.121,         0.233
         0.030,         0.124,         0.232
         0.031,         0.124,         0.231
         0.031,         0.124,         0.231
         0.032,         0.124,         0.230
         0.032,         0.124,         0.229
         0.032,         0.126,         0.229
         0.032,         0.126,         0.228
         0.032,         0.129,         0.228
         0.033,         0.129,         0.227
         0.033,         0.129,         0.226
         0.033,         0.131,         0.225
         0.034,         0.131,         0.225
         0.034,         0.131,         0.225
         0.034,         0.134,         0.225
         0.035,         0.134,         0.224
         0.035,         0.134,         0.224
         0.036,         0.134,         0.223
         0.036,         0.134,         0.223
         0.036,         0.134,         0.222
         0.038,         0.134,         0.221
         0.038,         0.137,         0.220
         0.038,         0.137,         0.220
         0.038,         0.142,         0.220
         0.039,         0.142,         0.219
         0.039,         0.142,         0.219
         0.040,         0.149,         0.219
         0.040,         0.149,         0.219
         0.040,         0.152,         0.218
         0.040,         0.152,         0.218
         0.041,         0.152,         0.217
         0.042,         0.152,         0.217
         0.042,         0.152,         0.217
         0.043,         0.152,         0.216
         0.044,         0.152,         0.216
         0.045,         0.152,         0.216
         0.045,         0.152,         0.216
         0.046,         0.152,         0.215
         0.046,         0.155,         0.214
         0.046,         0.155,         0.214
         0.046,         0.157,         0.214
         0.047,         0.157,         0.213
         0.047,         0.157,         0.213
         0.048,         0.157,         0.213
         0.048,         0.157,         0.212
         0.049,         0.157,         0.212
         0.049,         0.157,         0.211
         0.050,         0.157,         0.211
         0.050,         0.157,         0.211
         0.050,         0.160,         0.210
         0.050,         0.160,         0.209
         0.050,         0.162,         0.209
         0.051,         0.162,         0.209
         0.051,         0.162,         0.208
         0.051,         0.162,         0.208
         0.053,         0.162,         0.207
         0.054,         0.162,         0.207
         0.055,         0.162,         0.206
         0.055,         0.162,         0.205
         0.055,         0.162,         0.205
         0.055,         0.162,         0.205
         0.055,         0.165,         0.205
         0.057,         0.168,         0.204
         0.057,         0.168,         0.204
         0.057,         0.170,         0.203
         0.058,         0.170,         0.203
         0.058,         0.170,         0.203
         0.059,         0.170,         0.203
         0.059,         0.170,         0.202
         0.059,         0.173,         0.202
         0.060,         0.173,         0.202
         0.060,         0.173,         0.200
         0.061,         0.173,         0.199
         0.062,         0.173,         0.199
         0.062,         0.173,         0.199
         0.063,         0.173,         0.199
         0.063,         0.175,         0.199
         0.064,         0.178,         0.198
         0.064,         0.178,         0.198
         0.064,         0.180,         0.198
         0.064,         0.180,         0.198
         0.064,         0.180,         0.197
         0.065,         0.183,         0.197
