false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.632
         0.011,         0.011,         0.632
         0.012,         0.011,         0.603
         0.012,         0.023,         0.565
         0.012,         0.023,         0.564
         0.012,         0.023,         0.551
         0.012,         0.031,         0.535
         0.012,         0.031,         0.534
         0.013,         0.031,         0.531
         0.013,         0.031,         0.531
         0.013,         0.037,         0.524
         0.014,         0.037,         0.516
         0.014,         0.045,         0.499
         0.014,         0.045,         0.499
         0.014,         0.048,         0.496
         0.014,         0.048,         0.491
         0.015,         0.051,         0.490
         0.015,         0.056,         0.487
         0.015,         0.056,         0.482
         0.016,         0.056,         0.482
         0.016,         0.062,         0.479
         0.016,         0.062,         0.477
         0.017,         0.062,         0.473
         0.017,         0.062,         0.471
         0.017,         0.065,         0.470
         0.017,         0.065,         0.469
         0.018,         0.065,         0.469
         0.018,         0.065,         0.468
         0.018,         0.068,         0.466
         0.018,         0.070,         0.466
         0.018,         0.070,         0.463
         0.019,         0.073,         0.462
         0.019,         0.073,         0.462
         0.019,         0.076,         0.461
         0.019,         0.076,         0.460
         0.019,         0.079,         0.460
         0.020,         0.079,         0.458
         0.020,         0.079,         0.457
         0.020,         0.082,         0.456
         0.023,         0.082,         0.456
         0.026,         0.082,         0.453
         0.029,         0.082,         0.451
         0.029,         0.082,         0.451
         0.029,         0.085,         0.450
         0.035,         0.087,         0.449
         0.035,         0.087,         0.448
         0.036,         0.087,         0.446
         0.036,         0.093,         0.443
         0.036,         0.093,         0.443
         0.036,         0.110,         0.438
         0.036,         0.110,         0.437
         0.036,         0.118,         0.436
         0.036,         0.118,         0.436
         0.037,         0.121,         0.435
         0.037,         0.121,         0.432
         0.038,         0.121,         0.431
         0.038,         0.121,         0.429
         0.038,         0.124,         0.429
         0.038,         0.124,         0.428
         0.038,         0.127,         0.427
         0.039,         0.127,         0.426
         0.039,         0.127,         0.425
         0.040,         0.127,         0.423
         0.040,         0.127,         0.422
         0.040,         0.127,         0.422
         0.041,         0.130,         0.419
         0.041,         0.132,         0.418
         0.041,         0.132,         0.417
         0.041,         0.135,         0.416
         0.041,         0.135,         0.416
         0.041,         0.141,         0.414
         0.041,         0.141,         0.414
         0.041,         0.146,         0.413
         0.041,         0.152,         0.411
         0.041,         0.158,         0.409
         0.042,         0.158,         0.409
         0.042,         0.158,         0.406
         0.042,         0.158,         0.406
         0.042,         0.163,         0.406
         0.043,         0.166,         0.406
         0.043,         0.166,         0.405
         0.043,         0.169,         0.405
         0.043,         0.169,         0.405
         0.043,         0.172,         0.404
         0.044,         0.172,         0.402
         0.044,         0.172,         0.400
         0.044,         0.177,         0.399
         0.044,         0.177,         0.399
         0.045,         0.180,         0.398
         0.045,         0.180,         0.397
         0.045,         0.183,         0.397
         0.046,         0.183,         0.397
         0.047,         0.183,         0.396
         0.047,         0.186,         0.396
         0.047,         0.186,         0.396
         0.047,         0.189,         0.395
         0.047,         0.189,         0.395
         0.048,         0.189,         0.394
         0.048,         0.189,         0.393
         0.049,         0.189,         0.393
         0.049,         0.189,         0.392
         0.051,         0.189,         0.391
         0.051,         0.189,         0.390
         0.051,         0.192,         0.390
         0.051,         0.194,         0.389
         0.051,         0.194,         0.388
         0.053,         0.194,         0.388
         0.053,         0.203,         0.387
         0.053,         0.203,         0.387
         0.053,         0.203,         0.387
         0.053,         0.203,         0.386
         0.055,         0.206,         0.386
         0.055,         0.206,         0.386
         0.056,         0.206,         0.384
         0.057,         0.206,         0.384
         0.057,         0.206,         0.383
         0.057,         0.211,         0.383
         0.057,         0.211,         0.383
         0.058,         0.211,         0.381
         0.058,         0.220,         0.380
         0.059,         0.220,         0.379
         0.059,         0.220,         0.379
         0.060,         0.220,         0.377
         0.060,         0.220,         0.376
         0.062,         0.223,         0.375
         0.063,         0.223,         0.374
         0.063,         0.225,         0.373
         0.065,         0.225,         0.372
         0.065,         0.225,         0.371
         0.065,         0.228,         0.371
         0.065,         0.228,         0.371
         0.068,         0.228,         0.370
         0.068,         0.234,         0.370
         0.069,         0.234,         0.370
         0.069,         0.234,         0.369
         0.072,         0.234,         0.368
         0.072,         0.234,         0.368
         0.072,         0.239,         0.368
         0.072,         0.239,         0.365
         0.073,         0.242,         0.364
         0.073,         0.242,         0.364
         0.073,         0.245,         0.363
         0.073,         0.245,         0.362
         0.074,         0.248,         0.362
         0.074,         0.251,         0.362
         0.074,         0.251,         0.362
         0.074,         0.251,         0.361
         0.074,         0.254,         0.361
         0.075,         0.254,         0.360
         0.075,         0.254,         0.359
         0.075,         0.254,         0.359
         0.076,         0.254,         0.359
         0.077,         0.254,         0.357
         0.077,         0.254,         0.357
         0.078,         0.254,         0.357
         0.078,         0.254,         0.356
         0.079,         0.254,         0.354
         0.079,         0.254,         0.354
         0.079,         0.256,         0.353
         0.079,         0.256,         0.353
         0.079,         0.259,         0.352
         0.080,         0.259,         0.351
         0.080,         0.259,         0.351
         0.080,         0.259,         0.350
         0.081,         0.259,         0.350
         0.081,         0.259,         0.348
         0.082,         0.259,         0.347
         0.083,         0.259,         0.346
         0.083,         0.259,         0.345
         0.083,         0.262,         0.344
         0.083,         0.262,         0.344
         0.084,         0.262,         0.344
         0.084,         0.265,         0.344
         0.084,         0.265,         0.344
         0.084,         0.265,         0.343
         0.085,         0.268,         0.342
         0.086,         0.268,         0.342
         0.086,         0.270,         0.342
         0.086,         0.270,         0.342
         0.087,         0.270,         0.341
         0.088,         0.270,         0.339
         0.088,         0.270,         0.337
         0.089,         0.270,         0.337
         0.089,         0.270,         0.337
         0.090,         0.270,         0.337
         0.090,         0.270,         0.336
         0.090,         0.270,         0.336
         0.091,         0.273,         0.336
         0.091,         0.273,         0.335
         0.091,         0.276,         0.335
         0.092,         0.279,         0.334
         0.092,         0.279,         0.333
         0.092,         0.282,         0.333
         0.093,         0.285,         0.332
         0.093,         0.285,         0.331
         0.093,         0.285,         0.331
         0.094,         0.285,         0.331
         0.094,         0.287,         0.330
         0.095,         0.287,         0.330
         0.095,         0.287,         0.329
         0.095,         0.290,         0.329
         0.097,         0.290,         0.328
         0.097,         0.290,         0.328
         0.098,         0.290,         0.327
         0.098,         0.290,         0.327
         0.100,         0.290,         0.327
         0.100,         0.290,         0.327
         0.100,         0.290,         0.326
         0.102,         0.290,         0.325
         0.102,         0.290,         0.324
         0.105,         0.290,         0.324
         0.105,         0.290,         0.322
         0.107,         0.290,         0.322
         0.107,         0.296,         0.322
         0.107,         0.296,         0.321
         0.108,         0.296,         0.321
         0.109,         0.296,         0.320
         0.109,         0.296,         0.319
         0.109,         0.296,         0.318
         0.109,         0.299,         0.318
         0.109,         0.299,         0.317
         0.110,         0.299,         0.317
         0.110,         0.301,         0.316
         0.110,         0.301,         0.316
         0.110,         0.304,         0.315
         0.111,         0.304,         0.314
         0.111,         0.307,         0.314
         0.111,         0.307,         0.313
         0.112,         0.307,         0.313
         0.112,         0.307,         0.312
         0.113,         0.307,         0.311
         0.113,         0.310,         0.311
         0.113,         0.310,         0.311
         0.114,         0.313,         0.310
         0.114,         0.315,         0.310
         0.114,         0.315,         0.310
         0.114,         0.315,         0.309
         0.115,         0.315,         0.309
         0.116,         0.315,         0.307
         0.116,         0.315,         0.307
         0.116,         0.318,         0.307
         0.116,         0.318,         0.306
         0.117,         0.318,         0.305
         0.117,         0.318,         0.305
         0.117,         0.321,         0.304
         0.118,         0.321,         0.304
         0.118,         0.321,         0.304
         0.118,         0.324,         0.304
         0.119,         0.324,         0.302
         0.120,         0.324,         0.302
         0.120,         0.327,         0.301
         0.120,         0.327,         0.301
         0.121,         0.330,         0.300
         0.121,         0.330,         0.300
         0.121,         0.332,         0.299
         0.122,         0.332,         0.298
         0.123,         0.332,         0.298
         0.124,         0.332,         0.296
         0.124,         0.332,         0.296
         0.124,         0.332,         0.295
         0.124,         0.338,         0.295
         0.125,         0.338,         0.294
         0.126,         0.341,         0.294
         0.126,         0.344,         0.293
         0.126,         0.344,         0.293
         0.127,         0.344,         0.293
         0.127,         0.346,         0.293
         0.128,         0.346,         0.292
         0.128,         0.346,         0.292
         0.128,         0.349,         0.291
         0.129,         0.349,         0.290
         0.129,         0.352,         0.290
         0.129,         0.352,         0.289
         0.130,         0.352,         0.289
         0.130,         0.355,         0.289
         0.130,         0.355,         0.288
         0.130,         0.355,         0.287
         0.131,         0.355,         0.285
         0.131,         0.355,         0.285
         0.131,         0.358,         0.284
         0.132,         0.358,         0.284
         0.132,         0.358,         0.283
         0.133,         0.358,         0.283
         0.133,         0.358,         0.282
         0.133,         0.358,         0.282
         0.134,         0.358,         0.281
         0.134,         0.361,         0.281
         0.134,         0.361,         0.280
         0.135,         0.363,         0.279
