false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.428
         0.000,         0.003,         0.428
         0.000,         0.013,         0.340
         0.000,         0.018,         0.335
         0.000,         0.122,         0.260
         0.000,         0.128,         0.259
         0.000,         0.130,         0.258
         0.000,         0.135,         0.257
         0.000,         0.145,         0.256
         0.000,         0.151,         0.255
         0.000,         0.191,         0.234
         0.000,         0.196,         0.234
         0.000,         0.214,         0.229
         0.000,         0.214,         0.227
         0.000,         0.258,         0.214
         0.000,         0.268,         0.213
         0.000,         0.273,         0.212
         0.000,         0.273,         0.211
         0.000,         0.276,         0.210
         0.001,         0.276,         0.209
         0.001,         0.296,         0.202
         0.001,         0.296,         0.200
         0.001,         0.301,         0.200
         0.001,         0.306,         0.199
         0.001,         0.311,         0.198
         0.001,         0.314,         0.197
         0.002,         0.314,         0.196
         0.002,         0.316,         0.195
         0.002,         0.316,         0.195
         0.002,         0.319,         0.194
         0.002,         0.319,         0.194
         0.002,         0.327,         0.194
         0.002,         0.327,         0.194
         0.002,         0.329,         0.193
         0.002,         0.332,         0.193
         0.002,         0.347,         0.189
         0.002,         0.352,         0.189
         0.003,         0.355,         0.188
         0.003,         0.357,         0.188
         0.003,         0.357,         0.187
         0.003,         0.360,         0.187
         0.003,         0.360,         0.186
         0.003,         0.362,         0.185
         0.003,         0.362,         0.185
         0.003,         0.365,         0.185
         0.003,         0.370,         0.183
         0.003,         0.372,         0.183
         0.003,         0.378,         0.182
         0.003,         0.418,         0.175
         0.003,         0.421,         0.175
         0.003,         0.434,         0.173
         0.004,         0.434,         0.173
         0.004,         0.446,         0.172
         0.004,         0.446,         0.172
         0.004,         0.452,         0.171
         0.004,         0.452,         0.171
         0.004,         0.452,         0.171
         0.004,         0.454,         0.171
         0.005,         0.454,         0.170
         0.005,         0.457,         0.170
         0.005,         0.457,         0.170
         0.005,         0.469,         0.169
         0.005,         0.474,         0.168
         0.005,         0.474,         0.168
         0.005,         0.477,         0.167
         0.006,         0.477,         0.165
         0.006,         0.482,         0.164
         0.006,         0.487,         0.164
         0.006,         0.490,         0.163
         0.006,         0.490,         0.162
         0.006,         0.490,         0.162
         0.006,         0.495,         0.161
         0.006,         0.495,         0.161
         0.006,         0.497,         0.160
         0.007,         0.500,         0.160
         0.007,         0.505,         0.160
         0.007,         0.505,         0.160
         0.007,         0.508,         0.158
         0.007,         0.508,         0.155
         0.007,         0.513,         0.155
         0.007,         0.513,         0.154
         0.007,         0.531,         0.150
         0.008,         0.531,         0.150
         0.008,         0.538,         0.150
         0.008,         0.543,         0.149
         0.008,         0.548,         0.148
         0.008,         0.551,         0.148
         0.008,         0.551,         0.148
         0.008,         0.556,         0.148
         0.008,         0.556,         0.148
         0.008,         0.566,         0.146
         0.009,         0.566,         0.145
         0.009,         0.569,         0.144
         0.010,         0.569,         0.141
         0.010,         0.571,         0.141
         0.010,         0.571,         0.140
         0.010,         0.574,         0.140
         0.010,         0.577,         0.139
         0.011,         0.577,         0.138
         0.011,         0.579,         0.137
         0.011,         0.579,         0.137
         0.011,         0.582,         0.137
         0.011,         0.584,         0.137
         0.011,         0.584,         0.136
         0.011,         0.587,         0.135
         0.012,         0.587,         0.133
         0.012,         0.589,         0.133
         0.012,         0.594,         0.132
         0.012,         0.594,         0.132
         0.012,         0.599,         0.131
         0.012,         0.599,         0.131
         0.012,         0.602,         0.131
         0.013,         0.605,         0.131
         0.013,         0.607,         0.131
         0.013,         0.607,         0.131
         0.013,         0.607,         0.130
         0.013,         0.612,         0.129
         0.014,         0.612,         0.129
         0.014,         0.612,         0.128
         0.014,         0.612,         0.128
         0.015,         0.617,         0.128
         0.015,         0.622,         0.127
         0.015,         0.622,         0.127
         0.015,         0.628,         0.126
         0.015,         0.628,         0.125
         0.015,         0.630,         0.125
         0.015,         0.633,         0.124
         0.016,         0.633,         0.124
         0.016,         0.638,         0.124
         0.016,         0.638,         0.123
         0.016,         0.640,         0.122
         0.017,         0.640,         0.122
         0.017,         0.640,         0.121
         0.017,         0.643,         0.120
         0.017,         0.643,         0.120
         0.017,         0.645,         0.120
         0.017,         0.645,         0.120
         0.017,         0.651,         0.119
         0.018,         0.651,         0.118
         0.018,         0.651,         0.118
         0.018,         0.653,         0.116
         0.019,         0.653,         0.116
         0.019,         0.656,         0.116
         0.020,         0.656,         0.115
         0.022,         0.656,         0.114
         0.022,         0.656,         0.114
         0.023,         0.656,         0.114
         0.023,         0.666,         0.113
         0.023,         0.668,         0.112
