false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.536
         0.000,         0.000,         0.536
         0.001,         0.000,         0.464
         0.001,         0.003,         0.445
         0.001,         0.003,         0.416
         0.002,         0.003,         0.416
         0.002,         0.005,         0.411
         0.002,         0.005,         0.400
         0.002,         0.008,         0.399
         0.004,         0.008,         0.378
         0.004,         0.013,         0.371
         0.004,         0.013,         0.367
         0.005,         0.013,         0.360
         0.005,         0.013,         0.357
         0.005,         0.015,         0.347
         0.005,         0.015,         0.343
         0.006,         0.015,         0.341
         0.006,         0.018,         0.340
         0.007,         0.018,         0.328
         0.007,         0.021,         0.325
         0.007,         0.023,         0.324
         0.007,         0.023,         0.323
         0.007,         0.023,         0.320
         0.008,         0.023,         0.315
         0.008,         0.026,         0.314
         0.008,         0.026,         0.311
         0.009,         0.026,         0.309
         0.009,         0.026,         0.307
         0.010,         0.026,         0.306
         0.010,         0.028,         0.306
         0.010,         0.028,         0.301
         0.010,         0.033,         0.301
         0.011,         0.033,         0.300
         0.011,         0.033,         0.300
         0.011,         0.036,         0.298
         0.011,         0.038,         0.298
         0.012,         0.038,         0.297
         0.013,         0.038,         0.291
         0.013,         0.038,         0.287
         0.014,         0.038,         0.286
         0.014,         0.051,         0.283
         0.014,         0.051,         0.282
         0.014,         0.054,         0.278
         0.015,         0.056,         0.277
         0.015,         0.059,         0.277
         0.016,         0.059,         0.273
         0.016,         0.062,         0.273
         0.016,         0.064,         0.272
         0.017,         0.064,         0.272
         0.017,         0.067,         0.269
         0.017,         0.067,         0.269
         0.017,         0.067,         0.269
         0.018,         0.067,         0.268
         0.018,         0.069,         0.268
         0.018,         0.069,         0.267
         0.018,         0.072,         0.267
         0.018,         0.072,         0.265
         0.018,         0.074,         0.264
         0.019,         0.074,         0.256
         0.019,         0.077,         0.255
         0.020,         0.079,         0.255
         0.020,         0.082,         0.254
         0.021,         0.082,         0.252
         0.021,         0.085,         0.251
         0.021,         0.085,         0.249
         0.021,         0.085,         0.248
         0.022,         0.085,         0.248
         0.022,         0.087,         0.248
         0.022,         0.087,         0.248
         0.022,         0.087,         0.246
         0.023,         0.087,         0.245
         0.023,         0.090,         0.243
         0.023,         0.090,         0.240
         0.024,         0.090,         0.240
         0.024,         0.090,         0.240
         0.025,         0.092,         0.238
         0.025,         0.092,         0.238
         0.026,         0.095,         0.237
         0.026,         0.095,         0.237
         0.026,         0.097,         0.236
         0.027,         0.097,         0.234
         0.027,         0.100,         0.234
         0.028,         0.100,         0.232
         0.028,         0.100,         0.231
         0.028,         0.100,         0.231
         0.029,         0.100,         0.230
