false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.332
         0.000,         0.003,         0.332
         0.000,         0.016,         0.278
         0.000,         0.024,         0.276
         0.000,         0.029,         0.268
         0.000,         0.029,         0.264
         0.000,         0.032,         0.260
         0.000,         0.032,         0.259
         0.000,         0.037,         0.248
         0.001,         0.037,         0.248
         0.001,         0.045,         0.244
         0.001,         0.050,         0.239
         0.001,         0.061,         0.229
         0.001,         0.061,         0.228
         0.001,         0.066,         0.227
         0.001,         0.066,         0.226
         0.001,         0.074,         0.222
         0.001,         0.074,         0.221
         0.001,         0.077,         0.217
         0.002,         0.077,         0.215
         0.002,         0.079,         0.214
         0.002,         0.079,         0.214
         0.002,         0.090,         0.213
         0.002,         0.103,         0.212
         0.002,         0.103,         0.211
         0.002,         0.106,         0.209
         0.002,         0.106,         0.207
         0.002,         0.135,         0.205
         0.002,         0.137,         0.205
         0.002,         0.140,         0.204
         0.002,         0.145,         0.200
         0.003,         0.145,         0.197
         0.003,         0.148,         0.196
         0.003,         0.156,         0.195
         0.004,         0.156,         0.194
         0.004,         0.156,         0.193
         0.004,         0.158,         0.191
         0.005,         0.158,         0.189
         0.005,         0.166,         0.184
         0.005,         0.166,         0.183
         0.005,         0.169,         0.182
         0.006,         0.169,         0.181
         0.006,         0.169,         0.178
         0.007,         0.169,         0.177
         0.007,         0.174,         0.176
         0.007,         0.177,         0.176
         0.007,         0.177,         0.175
         0.007,         0.177,         0.174
         0.007,         0.179,         0.174
         0.009,         0.190,         0.173
         0.009,         0.195,         0.173
         0.009,         0.195,         0.171
         0.010,         0.198,         0.169
         0.010,         0.198,         0.168
         0.010,         0.201,         0.168
         0.011,         0.201,         0.167
         0.011,         0.201,         0.167
         0.011,         0.203,         0.167
         0.011,         0.203,         0.166
         0.011,         0.208,         0.165
         0.012,         0.208,         0.164
         0.012,         0.211,         0.162
         0.012,         0.211,         0.161
         0.013,         0.211,         0.161
         0.013,         0.214,         0.159
         0.013,         0.214,         0.159
         0.014,         0.216,         0.158
         0.015,         0.216,         0.157
         0.015,         0.219,         0.156
         0.016,         0.219,         0.155
         0.016,         0.222,         0.154
         0.016,         0.222,         0.153
         0.017,         0.222,         0.152
         0.017,         0.224,         0.152
         0.017,         0.224,         0.152
         0.017,         0.227,         0.152
         0.018,         0.227,         0.151
         0.019,         0.227,         0.150
         0.019,         0.227,         0.150
         0.020,         0.232,         0.150
         0.020,         0.232,         0.150
         0.020,         0.232,         0.149
         0.021,         0.235,         0.148
         0.021,         0.235,         0.148
         0.021,         0.235,         0.148
         0.022,         0.235,         0.147
         0.023,         0.235,         0.145
         0.023,         0.237,         0.145
         0.023,         0.237,         0.145
         0.024,         0.240,         0.145
         0.024,         0.243,         0.145
         0.024,         0.243,         0.144
         0.025,         0.245,         0.144
         0.025,         0.245,         0.144
         0.026,         0.245,         0.142
         0.026,         0.245,         0.142
         0.026,         0.248,         0.142
         0.027,         0.251,         0.141
         0.028,         0.251,         0.139
         0.029,         0.251,         0.139
         0.029,         0.251,         0.138
         0.029,         0.256,         0.138
         0.030,         0.256,         0.137
         0.031,         0.259,         0.137
         0.031,         0.259,         0.137
         0.032,         0.259,         0.137
         0.032,         0.259,         0.136
         0.033,         0.264,         0.136
         0.034,         0.264,         0.135
         0.034,         0.266,         0.135
         0.034,         0.269,         0.134
         0.039,         0.272,         0.134
         0.039,         0.277,         0.134
