false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.761
         0.004,         0.009,         0.761
         0.004,         0.009,         0.603
         0.004,         0.019,         0.584
         0.004,         0.019,         0.583
         0.004,         0.028,         0.556
         0.005,         0.037,         0.547
         0.009,         0.047,         0.538
         0.009,         0.056,         0.518
         0.009,         0.056,         0.505
         0.009,         0.075,         0.485
         0.010,         0.093,         0.477
         0.011,         0.093,         0.458
         0.011,         0.103,         0.454
         0.012,         0.103,         0.452
         0.012,         0.112,         0.447
         0.013,         0.121,         0.446
         0.016,         0.131,         0.439
         0.016,         0.131,         0.423
         0.017,         0.131,         0.420
         0.017,         0.131,         0.416
         0.017,         0.131,         0.413
         0.017,         0.131,         0.407
         0.018,         0.140,         0.400
         0.018,         0.140,         0.397
         0.019,         0.150,         0.393
         0.019,         0.150,         0.387
         0.020,         0.159,         0.387
         0.021,         0.159,         0.385
         0.021,         0.159,         0.381
         0.025,         0.159,         0.380
         0.025,         0.159,         0.371
         0.026,         0.159,         0.369
         0.026,         0.159,         0.365
         0.026,         0.168,         0.364
         0.027,         0.168,         0.364
         0.027,         0.168,         0.363
         0.028,         0.168,         0.358
         0.028,         0.178,         0.358
         0.029,         0.178,         0.357
         0.029,         0.178,         0.357
         0.030,         0.178,         0.352
         0.031,         0.178,         0.347
         0.033,         0.178,         0.346
         0.033,         0.178,         0.345
         0.034,         0.178,         0.343
         0.038,         0.178,         0.340
         0.039,         0.178,         0.340
         0.040,         0.178,         0.332
         0.040,         0.178,         0.332
         0.042,         0.178,         0.332
         0.042,         0.178,         0.328
         0.042,         0.178,         0.327
         0.043,         0.187,         0.327
         0.043,         0.187,         0.323
         0.043,         0.187,         0.322
         0.044,         0.187,         0.321
         0.045,         0.187,         0.319
         0.046,         0.187,         0.317
         0.048,         0.187,         0.316
         0.048,         0.187,         0.313
         0.050,         0.187,         0.312
         0.050,         0.196,         0.311
         0.054,         0.196,         0.311
         0.054,         0.196,         0.310
         0.054,         0.196,         0.310
         0.055,         0.196,         0.307
         0.056,         0.196,         0.306
