false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.661
         0.000,         0.004,         0.661
         0.000,         0.004,         0.619
         0.000,         0.011,         0.549
         0.001,         0.011,         0.540
         0.001,         0.015,         0.519
         0.001,         0.015,         0.494
         0.002,         0.019,         0.491
         0.002,         0.019,         0.486
         0.002,         0.023,         0.484
         0.002,         0.023,         0.483
         0.002,         0.034,         0.476
         0.002,         0.034,         0.471
         0.002,         0.038,         0.467
         0.002,         0.038,         0.465
         0.002,         0.042,         0.457
         0.003,         0.042,         0.434
         0.003,         0.045,         0.432
         0.003,         0.045,         0.431
         0.003,         0.057,         0.426
         0.003,         0.057,         0.420
         0.003,         0.064,         0.416
         0.004,         0.064,         0.402
         0.004,         0.068,         0.398
         0.004,         0.068,         0.398
         0.004,         0.075,         0.394
         0.005,         0.075,         0.394
         0.005,         0.083,         0.389
         0.005,         0.083,         0.384
         0.005,         0.083,         0.383
         0.005,         0.087,         0.383
         0.006,         0.087,         0.378
         0.006,         0.091,         0.377
         0.006,         0.091,         0.376
         0.006,         0.094,         0.375
         0.006,         0.094,         0.375
         0.006,         0.098,         0.374
         0.006,         0.098,         0.372
         0.006,         0.102,         0.371
         0.007,         0.102,         0.370
         0.007,         0.102,         0.367
         0.007,         0.102,         0.364
         0.007,         0.106,         0.361
         0.008,         0.106,         0.361
         0.008,         0.113,         0.353
         0.010,         0.113,         0.337
         0.010,         0.117,         0.337
         0.010,         0.117,         0.335
         0.010,         0.117,         0.334
         0.011,         0.117,         0.334
         0.011,         0.117,         0.332
         0.011,         0.121,         0.331
         0.012,         0.121,         0.328
         0.012,         0.125,         0.323
         0.012,         0.125,         0.322
         0.012,         0.125,         0.321
         0.012,         0.128,         0.320
         0.013,         0.128,         0.318
         0.014,         0.128,         0.315
         0.014,         0.132,         0.315
         0.014,         0.132,         0.315
         0.014,         0.140,         0.313
         0.014,         0.140,         0.313
         0.015,         0.140,         0.311
         0.015,         0.143,         0.309
         0.015,         0.143,         0.307
         0.016,         0.151,         0.306
         0.016,         0.151,         0.304
         0.016,         0.155,         0.304
         0.016,         0.155,         0.304
         0.016,         0.158,         0.301
         0.017,         0.158,         0.299
         0.017,         0.162,         0.296
         0.017,         0.162,         0.296
         0.017,         0.162,         0.296
         0.018,         0.162,         0.294
         0.018,         0.162,         0.294
         0.018,         0.162,         0.293
         0.019,         0.162,         0.292
         0.019,         0.162,         0.290
         0.019,         0.166,         0.288
         0.019,         0.170,         0.288
         0.020,         0.170,         0.287
         0.020,         0.174,         0.284
         0.020,         0.174,         0.283
         0.021,         0.177,         0.282
         0.021,         0.177,         0.282
         0.021,         0.181,         0.280
         0.022,         0.181,         0.277
