false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.550
         0.004,         0.000,         0.550
         0.004,         0.000,         0.531
         0.004,         0.002,         0.512
         0.005,         0.002,         0.490
         0.005,         0.012,         0.450
         0.005,         0.012,         0.432
         0.005,         0.015,         0.429
         0.005,         0.015,         0.419
         0.005,         0.017,         0.412
         0.006,         0.017,         0.412
         0.006,         0.020,         0.406
         0.006,         0.020,         0.404
         0.006,         0.020,         0.401
         0.007,         0.020,         0.399
         0.007,         0.022,         0.398
         0.007,         0.022,         0.396
         0.008,         0.022,         0.394
         0.008,         0.022,         0.391
         0.008,         0.025,         0.391
         0.011,         0.027,         0.389
         0.011,         0.037,         0.380
         0.011,         0.037,         0.374
         0.011,         0.045,         0.368
         0.011,         0.045,         0.367
         0.011,         0.047,         0.366
         0.012,         0.047,         0.365
         0.012,         0.047,         0.365
         0.012,         0.050,         0.363
         0.012,         0.050,         0.361
         0.013,         0.050,         0.361
         0.013,         0.052,         0.360
         0.013,         0.052,         0.358
         0.013,         0.060,         0.354
         0.013,         0.060,         0.353
         0.013,         0.060,         0.352
         0.013,         0.060,         0.350
         0.013,         0.062,         0.350
         0.014,         0.062,         0.347
         0.014,         0.067,         0.343
         0.014,         0.067,         0.342
         0.014,         0.067,         0.340
         0.015,         0.067,         0.337
         0.015,         0.069,         0.337
         0.015,         0.069,         0.336
         0.015,         0.072,         0.335
         0.015,         0.072,         0.332
         0.016,         0.074,         0.332
         0.016,         0.074,         0.331
         0.016,         0.077,         0.330
         0.016,         0.077,         0.330
         0.016,         0.077,         0.329
         0.016,         0.082,         0.329
         0.017,         0.082,         0.328
         0.017,         0.082,         0.328
         0.017,         0.084,         0.327
         0.018,         0.084,         0.326
         0.018,         0.084,         0.324
         0.018,         0.084,         0.324
         0.018,         0.084,         0.323
         0.018,         0.087,         0.322
         0.020,         0.087,         0.322
         0.020,         0.087,         0.321
         0.020,         0.089,         0.321
         0.020,         0.089,         0.320
         0.021,         0.089,         0.319
         0.021,         0.089,         0.319
         0.021,         0.092,         0.318
         0.023,         0.092,         0.317
         0.023,         0.094,         0.316
         0.023,         0.094,         0.315
         0.023,         0.097,         0.315
         0.024,         0.097,         0.313
         0.024,         0.099,         0.313
         0.024,         0.099,         0.313
         0.024,         0.102,         0.312
         0.024,         0.102,         0.311
         0.024,         0.104,         0.311
         0.025,         0.104,         0.310
         0.025,         0.107,         0.308
         0.025,         0.107,         0.307
         0.025,         0.109,         0.306
         0.026,         0.109,         0.305
         0.026,         0.112,         0.304
         0.026,         0.112,         0.304
