false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.339
         0.000,         0.003,         0.339
         0.000,         0.005,         0.332
         0.000,         0.005,         0.313
         0.000,         0.026,         0.296
         0.001,         0.026,         0.289
         0.001,         0.028,         0.284
         0.001,         0.028,         0.281
         0.001,         0.034,         0.280
         0.001,         0.046,         0.265
         0.005,         0.046,         0.265
         0.006,         0.046,         0.260
         0.006,         0.049,         0.259
         0.006,         0.052,         0.258
         0.006,         0.057,         0.257
         0.006,         0.057,         0.253
         0.006,         0.059,         0.253
         0.007,         0.059,         0.252
         0.007,         0.064,         0.249
         0.007,         0.064,         0.244
         0.007,         0.067,         0.244
         0.008,         0.067,         0.241
         0.008,         0.070,         0.241
         0.008,         0.070,         0.241
         0.008,         0.072,         0.240
         0.008,         0.072,         0.239
         0.008,         0.085,         0.235
         0.009,         0.085,         0.234
         0.009,         0.088,         0.233
         0.009,         0.090,         0.233
         0.009,         0.093,         0.232
         0.010,         0.093,         0.230
         0.010,         0.095,         0.228
         0.010,         0.095,         0.226
         0.010,         0.098,         0.226
         0.010,         0.103,         0.225
         0.010,         0.106,         0.225
         0.011,         0.106,         0.224
         0.011,         0.111,         0.224
         0.012,         0.111,         0.221
         0.012,         0.119,         0.220
         0.012,         0.124,         0.220
         0.012,         0.124,         0.219
         0.012,         0.126,         0.218
         0.012,         0.126,         0.218
         0.012,         0.129,         0.218
         0.013,         0.129,         0.217
         0.013,         0.131,         0.217
         0.013,         0.131,         0.217
         0.013,         0.134,         0.216
         0.013,         0.134,         0.216
         0.014,         0.134,         0.215
         0.014,         0.137,         0.214
         0.015,         0.137,         0.209
         0.015,         0.137,         0.208
         0.016,         0.139,         0.208
         0.016,         0.142,         0.207
         0.016,         0.142,         0.207
         0.017,         0.142,         0.205
         0.017,         0.142,         0.205
         0.017,         0.144,         0.205
         0.018,         0.144,         0.204
         0.018,         0.144,         0.204
         0.018,         0.147,         0.203
         0.019,         0.147,         0.203
         0.019,         0.149,         0.203
         0.019,         0.149,         0.203
         0.019,         0.152,         0.202
         0.019,         0.152,         0.202
         0.019,         0.152,         0.201
         0.020,         0.152,         0.199
         0.021,         0.152,         0.199
         0.021,         0.152,         0.199
         0.021,         0.160,         0.198
         0.021,         0.160,         0.198
         0.021,         0.162,         0.197
         0.021,         0.162,         0.196
         0.021,         0.165,         0.196
         0.022,         0.165,         0.195
         0.022,         0.165,         0.194
         0.023,         0.165,         0.194
         0.023,         0.168,         0.193
         0.023,         0.168,         0.192
         0.024,         0.168,         0.190
         0.025,         0.168,         0.190
         0.026,         0.168,         0.190
         0.026,         0.170,         0.190
         0.026,         0.170,         0.190
         0.026,         0.170,         0.189
         0.026,         0.170,         0.189
         0.026,         0.175,         0.189
         0.027,         0.175,         0.189
         0.027,         0.175,         0.188
         0.030,         0.178,         0.187
         0.031,         0.178,         0.187
         0.031,         0.183,         0.186
         0.031,         0.183,         0.186
         0.031,         0.183,         0.185
         0.032,         0.183,         0.185
         0.032,         0.186,         0.184
         0.032,         0.186,         0.184
         0.032,         0.188,         0.184
         0.032,         0.191,         0.183
         0.033,         0.191,         0.183
         0.033,         0.196,         0.183
         0.033,         0.196,         0.183
         0.033,         0.198,         0.182
         0.034,         0.198,         0.181
         0.034,         0.198,         0.181
         0.035,         0.198,         0.180
         0.035,         0.201,         0.180
         0.035,         0.201,         0.180
         0.035,         0.206,         0.180
         0.035,         0.209,         0.179
         0.036,         0.209,         0.179
         0.036,         0.211,         0.179
         0.036,         0.211,         0.178
         0.037,         0.211,         0.177
         0.037,         0.214,         0.177
         0.037,         0.214,         0.177
         0.037,         0.214,         0.176
         0.038,         0.214,         0.175
         0.038,         0.219,         0.175
         0.038,         0.219,         0.175
         0.039,         0.222,         0.174
         0.039,         0.222,         0.174
         0.039,         0.224,         0.174
         0.039,         0.224,         0.174
         0.040,         0.224,         0.173
         0.040,         0.224,         0.173
         0.040,         0.224,         0.173
         0.041,         0.224,         0.172
         0.041,         0.224,         0.172
         0.042,         0.224,         0.172
         0.042,         0.227,         0.172
         0.042,         0.227,         0.172
         0.043,         0.229,         0.171
         0.043,         0.229,         0.170
         0.043,         0.235,         0.170
         0.044,         0.235,         0.170
         0.044,         0.235,         0.169
         0.044,         0.237,         0.169
         0.045,         0.237,         0.169
         0.045,         0.237,         0.169
         0.045,         0.242,         0.169
         0.046,         0.242,         0.168
         0.047,         0.242,         0.167
         0.049,         0.242,         0.167
         0.049,         0.245,         0.166
         0.049,         0.245,         0.166
         0.050,         0.245,         0.166
         0.050,         0.247,         0.165
         0.050,         0.247,         0.165
         0.050,         0.250,         0.165
         0.051,         0.250,         0.165
         0.052,         0.250,         0.163
         0.053,         0.253,         0.163
         0.054,         0.253,         0.162
         0.054,         0.253,         0.162
         0.054,         0.253,         0.162
         0.055,         0.255,         0.162
         0.055,         0.260,         0.162
         0.055,         0.260,         0.161
         0.055,         0.260,         0.161
         0.055,         0.265,         0.161
         0.055,         0.268,         0.161
         0.055,         0.268,         0.161
         0.056,         0.271,         0.161
         0.057,         0.271,         0.160
         0.057,         0.271,         0.160
         0.058,         0.271,         0.160
         0.058,         0.273,         0.159
         0.059,         0.273,         0.159
         0.060,         0.273,         0.158
         0.060,         0.273,         0.158
         0.060,         0.273,         0.158
         0.060,         0.276,         0.158
         0.061,         0.276,         0.158
         0.061,         0.281,         0.157
         0.061,         0.281,         0.157
         0.062,         0.281,         0.157
         0.062,         0.281,         0.157
         0.062,         0.281,         0.156
         0.063,         0.281,         0.156
         0.063,         0.281,         0.156
         0.064,         0.281,         0.156
         0.064,         0.281,         0.155
         0.065,         0.281,         0.155
         0.065,         0.289,         0.155
         0.065,         0.289,         0.155
         0.066,         0.291,         0.155
         0.066,         0.294,         0.155
         0.067,         0.299,         0.154
         0.067,         0.299,         0.154
         0.067,         0.302,         0.154
         0.067,         0.302,         0.153
         0.068,         0.302,         0.153
         0.068,         0.302,         0.153
         0.070,         0.302,         0.153
         0.070,         0.302,         0.153
         0.070,         0.302,         0.153
         0.071,         0.302,         0.152
         0.071,         0.302,         0.152
         0.072,         0.304,         0.152
         0.072,         0.304,         0.151
         0.073,         0.307,         0.151
         0.073,         0.307,         0.151
         0.074,         0.307,         0.151
         0.074,         0.307,         0.151
         0.074,         0.307,         0.150
         0.074,         0.307,         0.150
         0.075,         0.307,         0.150
         0.075,         0.307,         0.150
         0.075,         0.307,         0.150
         0.076,         0.307,         0.149
         0.076,         0.307,         0.149
         0.076,         0.307,         0.149
         0.077,         0.307,         0.149
