false_pos_rate,true_pos_rate,threshold
         0.000,         0.000,         1.438
         0.000,         0.003,         0.438
         0.000,         0.096,         0.311
         0.000,         0.096,         0.308
         0.000,         0.105,         0.296
         0.001,         0.105,         0.294
         0.001,         0.109,         0.290
         0.001,         0.109,         0.283
         0.001,         0.134,         0.259
         0.001,         0.134,         0.259
         0.001,         0.137,         0.258
         0.002,         0.137,         0.246
         0.002,         0.141,         0.245
         0.002,         0.147,         0.243
         0.002,         0.147,         0.242
         0.002,         0.150,         0.241
         0.002,         0.150,         0.240
         0.002,         0.157,         0.239
         0.002,         0.157,         0.238
         0.002,         0.160,         0.237
         0.003,         0.160,         0.235
         0.003,         0.166,         0.234
         0.003,         0.169,         0.233
         0.003,         0.169,         0.231
         0.003,         0.173,         0.231
         0.003,         0.173,         0.229
         0.003,         0.176,         0.229
         0.004,         0.176,         0.228
         0.004,         0.176,         0.226
         0.004,         0.182,         0.225
         0.006,         0.182,         0.220
         0.006,         0.195,         0.216
         0.006,         0.195,         0.216
         0.006,         0.198,         0.214
         0.006,         0.198,         0.214
         0.006,         0.204,         0.212
         0.006,         0.204,         0.211
         0.006,         0.211,         0.210
         0.007,         0.211,         0.210
         0.007,         0.224,         0.209
         0.007,         0.224,         0.208
         0.007,         0.230,         0.207
         0.007,         0.230,         0.206
         0.007,         0.240,         0.205
         0.008,         0.240,         0.205
         0.008,         0.249,         0.202
         0.008,         0.249,         0.202
         0.009,         0.249,         0.201
         0.009,         0.249,         0.201
         0.009,         0.256,         0.201
         0.009,         0.259,         0.200
         0.009,         0.259,         0.199
         0.009,         0.262,         0.199
         0.010,         0.262,         0.197
         0.010,         0.265,         0.197
         0.010,         0.265,         0.197
         0.010,         0.265,         0.196
         0.011,         0.265,         0.196
         0.011,         0.265,         0.195
         0.012,         0.265,         0.192
         0.012,         0.268,         0.192
         0.012,         0.275,         0.191
         0.012,         0.275,         0.190
         0.013,         0.278,         0.189
         0.013,         0.281,         0.189
         0.014,         0.281,         0.187
         0.014,         0.284,         0.187
         0.015,         0.284,         0.186
         0.016,         0.284,         0.184
         0.016,         0.288,         0.184
         0.016,         0.288,         0.183
         0.016,         0.288,         0.180
         0.016,         0.288,         0.179
         0.016,         0.291,         0.179
         0.018,         0.291,         0.176
         0.019,         0.291,         0.176
         0.019,         0.294,         0.175
         0.019,         0.294,         0.175
         0.019,         0.294,         0.175
         0.019,         0.294,         0.175
         0.021,         0.294,         0.174
         0.022,         0.294,         0.174
         0.022,         0.297,         0.173
         0.022,         0.297,         0.173
         0.022,         0.300,         0.172
         0.022,         0.300,         0.172
         0.022,         0.304,         0.171
         0.023,         0.304,         0.170
         0.023,         0.304,         0.170
         0.023,         0.304,         0.169
         0.024,         0.307,         0.169
         0.025,         0.307,         0.168
         0.025,         0.310,         0.168
         0.025,         0.310,         0.168
         0.025,         0.313,         0.167
         0.026,         0.313,         0.167
         0.026,         0.313,         0.166
         0.026,         0.313,         0.166
         0.026,         0.316,         0.166
         0.027,         0.319,         0.166
         0.028,         0.319,         0.164
         0.028,         0.323,         0.164
         0.029,         0.323,         0.164
         0.030,         0.323,         0.163
         0.030,         0.326,         0.163
         0.030,         0.326,         0.163
         0.031,         0.326,         0.162
         0.031,         0.326,         0.161
         0.031,         0.326,         0.161
         0.032,         0.326,         0.161
         0.032,         0.332,         0.160
         0.032,         0.332,         0.160
         0.032,         0.335,         0.159
         0.033,         0.335,         0.159
         0.033,         0.335,         0.158
         0.033,         0.339,         0.158
         0.034,         0.339,         0.158
         0.034,         0.342,         0.158
         0.034,         0.342,         0.156
         0.034,         0.342,         0.156
         0.034,         0.348,         0.156
         0.035,         0.348,         0.155
         0.035,         0.351,         0.155
         0.035,         0.358,         0.155
         0.035,         0.361,         0.155
         0.035,         0.364,         0.155
         0.035,         0.364,         0.154
         0.035,         0.371,         0.154
         0.035,         0.377,         0.153
         0.035,         0.377,         0.153
         0.036,         0.380,         0.153
         0.037,         0.380,         0.151
         0.037,         0.380,         0.151
         0.038,         0.380,         0.150
         0.038,         0.380,         0.150
         0.039,         0.380,         0.150
         0.039,         0.380,         0.150
         0.039,         0.380,         0.149
         0.040,         0.380,         0.148
         0.040,         0.380,         0.148
         0.041,         0.380,         0.148
         0.042,         0.380,         0.147
         0.042,         0.383,         0.147
         0.042,         0.387,         0.147
         0.043,         0.387,         0.146
         0.044,         0.387,         0.146
         0.044,         0.387,         0.145
         0.045,         0.387,         0.145
         0.045,         0.390,         0.145
         0.045,         0.390,         0.144
         0.045,         0.390,         0.144
         0.046,         0.390,         0.144
         0.046,         0.390,         0.143
         0.046,         0.390,         0.143
         0.047,         0.390,         0.143
         0.047,         0.390,         0.143
         0.047,         0.393,         0.143
         0.047,         0.393,         0.142
         0.047,         0.396,         0.142
         0.047,         0.396,         0.142
         0.047,         0.399,         0.142
         0.047,         0.403,         0.142
         0.048,         0.403,         0.142
         0.048,         0.409,         0.142
         0.048,         0.409,         0.141
         0.049,         0.409,         0.141
         0.049,         0.409,         0.141
         0.049,         0.412,         0.140
         0.050,         0.412,         0.140
         0.050,         0.412,         0.140
         0.050,         0.412,         0.139
         0.050,         0.412,         0.139
         0.050,         0.415,         0.139
         0.051,         0.419,         0.139
         0.051,         0.419,         0.139
         0.051,         0.419,         0.138
         0.052,         0.419,         0.138
         0.052,         0.419,         0.138
         0.053,         0.419,         0.137
         0.054,         0.419,         0.137
         0.054,         0.419,         0.137
         0.054,         0.422,         0.137
         0.054,         0.422,         0.136
         0.055,         0.422,         0.136
         0.056,         0.428,         0.135
         0.056,         0.428,         0.135
         0.056,         0.431,         0.135
         0.056,         0.431,         0.135
         0.057,         0.431,         0.134
         0.058,         0.431,         0.134
         0.058,         0.435,         0.133
         0.058,         0.435,         0.133
         0.059,         0.438,         0.133
         0.059,         0.438,         0.133
         0.059,         0.438,         0.133
         0.060,         0.438,         0.132
         0.060,         0.438,         0.132
         0.060,         0.438,         0.132
         0.061,         0.438,         0.132
         0.061,         0.441,         0.132
         0.061,         0.441,         0.131
         0.062,         0.447,         0.131
         0.062,         0.447,         0.130
         0.063,         0.450,         0.130
         0.063,         0.450,         0.130
         0.063,         0.450,         0.130
         0.063,         0.454,         0.130
         0.064,         0.457,         0.129
         0.064,         0.457,         0.129
         0.065,         0.460,         0.129
         0.065,         0.463,         0.129
         0.065,         0.463,         0.128
         0.066,         0.466,         0.128
         0.066,         0.470,         0.128
         0.067,         0.470,         0.128
         0.067,         0.473,         0.127
         0.067,         0.476,         0.127
         0.067,         0.476,         0.127
         0.067,         0.476,         0.127
         0.068,         0.476,         0.127
         0.068,         0.476,         0.127
         0.069,         0.476,         0.126
         0.070,         0.476,         0.126
         0.070,         0.479,         0.126
         0.071,         0.479,         0.125
         0.071,         0.479,         0.125
         0.071,         0.479,         0.125
         0.071,         0.479,         0.125
         0.072,         0.479,         0.125
         0.072,         0.479,         0.124
         0.073,         0.479,         0.124
         0.074,         0.479,         0.124
         0.074,         0.479,         0.124
         0.074,         0.482,         0.124
         0.075,         0.482,         0.123
         0.075,         0.482,         0.123
         0.075,         0.482,         0.123
         0.075,         0.482,         0.123
         0.077,         0.482,         0.123
         0.077,         0.482,         0.123
         0.077,         0.489,         0.123
         0.078,         0.492,         0.123
         0.078,         0.492,         0.123
         0.079,         0.492,         0.122
         0.079,         0.495,         0.122
         0.080,         0.495,         0.122
         0.080,         0.495,         0.121
         0.080,         0.498,         0.121
         0.080,         0.498,         0.121
         0.081,         0.498,         0.121
         0.082,         0.502,         0.121
         0.082,         0.502,         0.120
         0.083,         0.502,         0.120
         0.084,         0.502,         0.120
         0.085,         0.502,         0.120
         0.085,         0.502,         0.119
         0.085,         0.502,         0.119
         0.086,         0.502,         0.119
         0.086,         0.502,         0.119
         0.086,         0.502,         0.118
         0.087,         0.502,         0.118
         0.088,         0.502,         0.118
         0.089,         0.505,         0.118
         0.089,         0.505,         0.117
         0.090,         0.505,         0.117
         0.091,         0.508,         0.117
         0.092,         0.511,         0.117
         0.092,         0.511,         0.117
         0.093,         0.511,         0.117
         0.093,         0.514,         0.116
         0.093,         0.514,         0.116
         0.093,         0.514,         0.116
         0.094,         0.518,         0.116
         0.094,         0.518,         0.116
         0.095,         0.518,         0.115
         0.095,         0.518,         0.115
         0.096,         0.518,         0.114
         0.096,         0.518,         0.114
         0.096,         0.518,         0.114
         0.096,         0.518,         0.114
         0.097,         0.521,         0.114
         0.097,         0.524,         0.114
         0.097,         0.524,         0.114
         0.098,         0.524,         0.113
         0.099,         0.524,         0.113
         0.099,         0.524,         0.113
         0.099,         0.527,         0.113
         0.100,         0.527,         0.113
         0.100,         0.527,         0.112
         0.100,         0.530,         0.112
         0.101,         0.530,         0.112
         0.101,         0.530,         0.112
         0.102,         0.530,         0.111
         0.103,         0.530,         0.111
         0.103,         0.530,         0.111
         0.103,         0.534,         0.111
         0.103,         0.534,         0.111
         0.104,         0.534,         0.110
         0.104,         0.534,         0.110
         0.104,         0.534,         0.110
         0.105,         0.534,         0.110
         0.105,         0.537,         0.110
         0.106,         0.537,         0.109
         0.106,         0.537,         0.109
         0.107,         0.537,         0.109
         0.108,         0.537,         0.109
         0.108,         0.537,         0.109
         0.110,         0.537,         0.109
         0.111,         0.537,         0.109
         0.111,         0.537,         0.108
         0.111,         0.537,         0.108
         0.112,         0.537,         0.108
         0.112,         0.537,         0.107
         0.113,         0.537,         0.107
         0.113,         0.537,         0.107
